,Latitude,Longitude,Name,Place_id,Type
0,43.648169,5.5836499,Peyrolles-en-Provence,ChIJk3FegJKHyRIRYcTNc-P_rno,"[u'locality', u'political']"
0,43.626582,5.57223,Centre contrôle technique Dekra,ChIJUTdMHPCHyRIRlnrNQvbv5Rk,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.622042,5.58306,Le Loubatas C.p.i.f.p.,ChIJW2611ZWHyRIRuIT9iuC9wao,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6293038,5.5682874,Mr LAYOTTE,ChIJr8aBytuHyRIRuhbLsmMmECs,"[u'point_of_interest', u'establishment']"
0,43.639289,5.574992,Béatrice devloo Naturopathe région Aix en Provence,ChIJzc3WHemHyRIRVQpi8to7vWQ,"[u'point_of_interest', u'establishment']"
0,43.638568,5.580292,Moreau Nathalie,ChIJBQyZBuuHyRIREeK1lPMOzYo,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.639476,5.575454,GB TERRASSEMENT,ChIJwT06GOmHyRIRtT8DdJ4ecSY,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6442569,5.5783082,Caisse d'Epargne Peyrolles,ChIJT9e2P42HyRIRGCJnp2dm_cA,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.6430609,5.5801647,At'home Renovation Et Depannage,ChIJ58hlAO2HyRIRjmsMLnvBXf0,"[u'point_of_interest', u'establishment']"
0,43.64297,5.572122,Amplifon Groupe France,ChIJC0o8h-WHyRIR2t5CEksGjhE,"[u'health', u'point_of_interest', u'establishment']"
0,43.6431666,5.5820216,Nursery Françoise Dolto,ChIJM4zjJe2HyRIRifErE70F04k,"[u'point_of_interest', u'establishment']"
0,43.6431666,5.5820216,Town Hall,ChIJM4zjJe2HyRIRMmI6RqBpW0I,"[u'school', u'point_of_interest', u'establishment']"
0,43.644132,5.579293,Napolital'food,ChIJ-0t2ve2HyRIRKEHtqwsCKvQ,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6375437,5.5877073,Taxis Arnaud Jean Louis,ChIJW2611ZWHyRIRdRMdKr-5syY,"[u'point_of_interest', u'establishment']"
0,43.6420189,5.5858773,PLOMBIÊR Bernard,ChIJ2d1wpZOHyRIRkUfBAbWz9-o,"[u'point_of_interest', u'establishment']"
0,43.644214,5.583378,Commune de Jouques Mairie,ChIJnfhet5KHyRIRqn-IQXWnn38,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.6464349,5.5767136,Middle School Jean Jaurès,ChIJXygGioOHyRIRsDinNsd3ToI,"[u'school', u'point_of_interest', u'establishment']"
0,43.6437418,5.585787,SRDEV Informatique,ChIJlTbHXZKHyRIRFACjhm2nbGA,"[u'point_of_interest', u'establishment']"
0,43.640044,5.578191,Nathalie Butera photographie,ChIJc517vpSHyRIR5CimzVkIPiU,"[u'point_of_interest', u'establishment']"
