,Latitude,Longitude,Name,Place_id,Type
0,43.80871,4.99713,Plan-d'Orgon,ChIJHx2jIpj5tRIRW3LNOMf1Oek,"[u'locality', u'political']"
0,43.8134469,4.9998728,La Cigale au bord de l'eau,ChIJoVDeAL_5tRIR4v7xDZF4lGU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8124872,5.0028544,Le Pôle Training Du Pays D'arles,ChIJH54n6r_5tRIRtsR5XTQlRpo,"[u'point_of_interest', u'establishment']"
0,43.811257,4.999551,SARL GGE AUTO PROVENCE***,ChIJF2h0Krz5tRIRuUJ5i25TmG4,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.8149692,5.009314,Mtop,ChIJFXh_37f5tRIRUy3wjmpBVQY,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.8140983,5.0036582,Association Familles Rurales,ChIJU9jVwLj5tRIRfbIJNPZHV6c,"[u'point_of_interest', u'establishment']"
0,43.8147101,5.0083172,Credit Agricole Alpes Provence,ChIJw5Xj-rf5tRIRnkdFNAr96dE,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.8144799,4.9985387,Nursery School,ChIJH54n6r_5tRIRZg8PMC-Fo2c,"[u'school', u'point_of_interest', u'establishment']"
0,43.81518,4.997978,Commune Du Plan D Orgon,ChIJAwo4-r_5tRIRoDChmSkrkcc,"[u'point_of_interest', u'establishment']"
0,43.8238799,5.0032419,auto entrepreneur,ChIJNSrUvMT5tRIR7a0STtoblV4,"[u'point_of_interest', u'establishment']"
0,43.8202776,5.00936,La Soleïade,ChIJ86oDXs_5tRIRDs5XRB1ddt4,"[u'food', u'point_of_interest', u'establishment']"
0,43.8121781,5.0033387,Public Primary School Plan D'orgon,ChIJw5Xj-rf5tRIRke3k5xnyBXo,"[u'school', u'point_of_interest', u'establishment']"
0,43.8154298,5.0098088,Samada,ChIJocZjL8j5tRIRkUl6sD4DFTE,"[u'point_of_interest', u'establishment']"
0,43.8115441,5.0023211,Menuiserie Tardieu,ChIJEYZnsb75tRIRNBbOh74yCjI,"[u'point_of_interest', u'establishment']"
0,43.8115441,5.0023211,Tardieu Joseph,ChIJeQEetL75tRIRbZjGgG3EiGo,"[u'point_of_interest', u'establishment']"
0,43.8111342,4.9982556,Ball Trap Club Du Rocher,ChIJz8aWCb75tRIRbKE3tZU5DyE,"[u'point_of_interest', u'establishment']"
0,43.810472,5.000583,Station-service TOTAL,ChIJZwHvKLz5tRIR4rSi9s5gSb0,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.810857,4.9983462,Salle Des Fêtes,ChIJmcSVCb75tRIRW4ejmQh7cH8,"[u'point_of_interest', u'establishment']"
0,43.8095686,4.9988985,Caisse d'Epargne Plan d'Orgon,ChIJPyRfv735tRIRb0mv_CGaOWw,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.822049,5.013445,Toitures Chatillon,ChIJc4lJ0835tRIRq2X5YAnklCI,"[u'roofing_contractor', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8201497,5.0000424,Soc Cercleurop,ChIJnSxLgMH5tRIR4ayoVkKCMnI,"[u'point_of_interest', u'establishment']"
0,43.8201497,5.0000424,Sci Du Chemin de Saint Esteve,ChIJnSxLgMH5tRIRAmlce5WPOFA,"[u'point_of_interest', u'establishment']"
0,43.8208037,4.9992621,PLOMBIÊR Arnould,ChIJMZsjJcL5tRIRYem_LCg6fy8,"[u'point_of_interest', u'establishment']"
0,43.8209398,4.9991308,Veau Nouveau Genevieve,ChIJQ07HKML5tRIRc4USY35Hevw,"[u'point_of_interest', u'establishment']"
0,43.8218819,5.0004916,Trouiller Jacki Fernand,ChIJm2SlscP5tRIRrN3SSeXZZys,"[u'food', u'point_of_interest', u'establishment']"
0,43.8140261,5.0017434,Luong Jean Robert,ChIJAc4dOr_5tRIRoiTsXvoS-rI,"[u'store', u'point_of_interest', u'establishment']"
0,43.8140895,5.0037429,Association Familles Rurales,ChIJhVWDwLj5tRIR6fGSETCxGU4,"[u'point_of_interest', u'establishment']"
0,43.81518,4.997978,Danson Gilles,ChIJAwo4-r_5tRIRaZ98igs9KJk,"[u'point_of_interest', u'establishment']"
0,43.813119,5.003376,13750,ChIJKf_H2bj5tRIRRxv7gQRhhK8,"[u'point_of_interest', u'establishment']"
0,43.815716,4.9959478,Michel Pauleau Andree Augustine Mar,ChIJ9QoYy-r5tRIReFjSCSoSCMI,"[u'point_of_interest', u'establishment']"
0,43.8157158,4.9958793,Pauleau Serge,ChIJO8Y0y-r5tRIRiBaYGNJGV_A,"[u'point_of_interest', u'establishment']"
0,43.812861,5.002789,13750,ChIJabH2Krn5tRIRhifChrPqydE,"[u'parking', u'point_of_interest', u'establishment']"
0,43.8147101,5.0083172,Paroisse,ChIJw5Xj-rf5tRIRMVSKS1KzBDA,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.8127767,5.0045866,Chakour Marie,ChIJuV4zHbn5tRIRJ8C7T0cvSZs,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.8125288,5.0030223,Mairie (Commune),ChIJw-qC1b75tRIRc4iLlfAz_7Y,"[u'point_of_interest', u'establishment']"
0,43.8138976,5.0074286,Déco et événements,ChIJDVhsIrj5tRIR5ksxxOgnSr0,"[u'point_of_interest', u'establishment']"
0,43.8122181,5.0023633,Elluin Cornaire Laurence,ChIJwXEyzL75tRIRW4YX1YQiiSE,"[u'point_of_interest', u'establishment']"
0,43.81233,5.004218,13750,ChIJ96PlGbn5tRIRjYNV0_D-UAU,"[u'parking', u'point_of_interest', u'establishment']"
0,43.8154298,5.0098088,Centre Social P.Faraud,ChIJocZjL8j5tRIRp_Vc-lnFjsw,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8154298,5.0098088,Lefranc,ChIJocZjL8j5tRIRrCxmVhQzXbs,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8154298,5.0098088,Caplan,ChIJocZjL8j5tRIRU6pehy8HGE0,"[u'point_of_interest', u'establishment']"
0,43.8159663,5.0102395,Laty Christophe,ChIJ-TV9L8j5tRIRnovn4zCQu_w,"[u'point_of_interest', u'establishment']"
0,43.8120189,5.0012948,Of Autos,ChIJKXNv6r75tRIRmVZSXXT6bKc,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.8154144,5.009989,Argel Sud Est Plan d'Orgon,ChIJRRCoL8j5tRIRPDRCZIEWvRU,"[u'point_of_interest', u'establishment']"
0,43.811846,5.0029199,13750,ChIJuQnDNbn5tRIR0_6x2iQxQew,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.8123597,5.0064466,Kraskowski Yves,ChIJc51Ltrn5tRIR-FMPbm2zA64,"[u'point_of_interest', u'establishment']"
0,43.8114077,5.0025647,Pasquini Sylvain,ChIJjSZ8s775tRIRi-uItsbqfe0,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8112332,5.0024062,Guichard Jerome,ChIJz91ssr75tRIRuKmCY0tVDwQ,"[u'point_of_interest', u'establishment']"
0,43.8111937,5.0021763,Sport Et Beaute,ChIJExA6sL75tRIRl4kalu0iQmM,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.8111883,5.0017629,Diaz Diaz Juteau Leticia,ChIJ0ULgpL75tRIRTYe1eJLMNBg,"[u'point_of_interest', u'establishment']"
0,43.8173904,5.0120174,Berud Josette,ChIJNW80m8n5tRIRdbMLaVl8hXc,"[u'point_of_interest', u'establishment']"
