,Latitude,Longitude,Name,Place_id,Type
0,43.437882,4.945711,Fos-sur-Mer,ChIJLfdcHXIZthIRHWkZ2JcBpA4,"[u'locality', u'political']"
0,43.4155385,4.8046281,Geodis Logistics,ChIJU-hqR9EVthIRjTckIFUyqNY,"[u'point_of_interest', u'establishment']"
0,43.4144025,4.8081715,CEVA Freight Management France,ChIJleT40_sVthIRHdXj0aXUZZk,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.387847,4.803225,Port-Saint-Louis-du-Rhône,ChIJKwRPkG4WthIRsACX_aUZCAQ,"[u'locality', u'political']"
0,43.399126,4.803749,13230,ChIJdQvF7uYVthIRw8XRFPiMjB8,"[u'train_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.3989049,4.8008554,Bugeia Partida Genevieve,ChIJuey2IuYVthIRGmLjb_An0uc,"[u'point_of_interest', u'establishment']"
0,43.4100329,4.8238191,Veolog,ChIJ4beOdG8WthIRmZoF-7NJ3H4,"[u'point_of_interest', u'establishment']"
0,43.3914746,4.8134521,Le Citron Jaune,ChIJE2MAxwcWthIRZkXMpKc3Q0o,"[u'point_of_interest', u'establishment']"
0,43.3917755,4.8044427,Collège Maximilien Robespierre,ChIJMWRugPwVthIRPAbGZf6s1mM,"[u'school', u'point_of_interest', u'establishment']"
0,43.3921786,4.8085449,Mairie,ChIJkTStnPoVthIRcPcvZ52aHno,"[u'health', u'car_repair', u'point_of_interest', u'establishment']"
0,43.3925149,4.808334,Erilia,ChIJleT40_sVthIRrNM3jxZh5eI,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3952714,4.7993021,Festival Camargue Delta Rhône,ChIJRfuXne8VthIRcDqpy0IwlJg,"[u'point_of_interest', u'establishment']"
0,43.394849,4.813095,Charvet (SAS),ChIJZZX8qgkWthIReE9eRNIB05s,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3929393,4.8092045,Bernard Philibert,ChIJ7W40tuIVthIRkPTHzNpQq9w,"[u'store', u'point_of_interest', u'establishment']"
0,43.3950036,4.80469,A.d.d.a.p,ChIJ-aUpiOQVthIR70NDn-bC1LM,"[u'point_of_interest', u'establishment']"
0,43.3932451,4.8077759,France Shotokan Karate Robert,ChIJqTAHJ-MVthIRNCM4xzSYdFw,"[u'point_of_interest', u'establishment']"
0,43.394849,4.813095,BFT Transports,ChIJZZX8qgkWthIRN4VhcqHdsWo,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.394849,4.813095,Delta Logistics,ChIJleT40_sVthIRprpuEOvLWbM,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.394849,4.813095,Francetruck,ChIJZZX8qgkWthIRaRBQriV8hOM,"[u'point_of_interest', u'establishment']"
0,43.392642,4.803807,Solimut Mutuelle de France (Mutuelle de France Plus),ChIJVYPEvusVthIRevydcbaF33g,"[u'insurance_agency', u'health', u'point_of_interest', u'establishment']"
0,43.394849,4.813095,Transports Charlon,ChIJ2_LzqgkWthIRtkoMKVmh2Kc,"[u'point_of_interest', u'establishment']"
0,43.397368,4.797877,Elkhamlichi Abdilah,ChIJ5XwWKe8VthIRwCjYAZGeub4,"[u'point_of_interest', u'establishment']"
0,43.3909032,4.8067738,Sport Saint Louis Boxe,ChIJzUXN7PwVthIRBqUp3ftIZcc,"[u'point_of_interest', u'establishment']"
0,43.3954218,4.7973853,Mairie,ChIJuZ-cLO8VthIR6PEtB79PX_M,"[u'point_of_interest', u'establishment']"
0,43.3961407,4.7969364,Gima,ChIJ6T08jO4VthIRxdMq0QdYstU,"[u'gas_station', u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.3977865,4.7964814,Croix Rouge Française,ChIJFaAay-4VthIRzxr3liuoRdc,"[u'point_of_interest', u'establishment']"
0,43.3977865,4.7964814,Restaurants du Coeur,ChIJFaAay-4VthIRbAAs0vO1BdI,"[u'point_of_interest', u'establishment']"
0,43.3915792,4.8001962,Maffei-Besin Nélie,ChIJfYwPdfAVthIREFh_WZluqjo,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.390951,4.811008,La Petite Venise,ChIJmRz_iwcWthIReKMIMd38tJo,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.3917702,4.812821,Agenatramp,ChIJDd-eKwYWthIRHcucgoMLSuQ,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.390272,4.805519,Nursery School,ChIJMWRugPwVthIRInkVpRkSd8Y,"[u'school', u'point_of_interest', u'establishment']"
0,43.3912321,4.8124457,Ilotopie,ChIJZ2PY0QcWthIRNnu9OBMxzRE,"[u'point_of_interest', u'establishment']"
0,43.3941088,4.7970835,Proman,ChIJZRAhSu4VthIRUWAsdxyrNOY,"[u'point_of_interest', u'establishment']"
0,43.3911971,4.8005532,Nouvelles Ambulances Silvestre,ChIJmZbynPoVthIRQyo6jK0S770,"[u'health', u'point_of_interest', u'establishment']"
0,43.3906926,4.8110732,Mission Locale Ouest Provence Mission Locale Ouest Provence,ChIJm5kJjwcWthIREBR5wpx-GDA,"[u'point_of_interest', u'establishment']"
