,Latitude,Longitude,Name,Place_id,Type
0,43.404811,5.053728,Martigues,ChIJSdKFn9EfthIRmlyw6ck9db4,"[u'locality', u'political']"
0,43.4238203,4.9848228,Fo-sec,ChIJx3WImdAethIR1rjvyZaybrM,"[u'point_of_interest', u'establishment']"
0,43.4210874,4.9846397,Ponticelli Frères,ChIJRX6O_9AethIRqv_kpCbSHEU,"[u'point_of_interest', u'establishment']"
0,43.4235142,4.985662,Lamblin,ChIJKWE7ctAethIRO1eYGReY6A8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4202546,4.9828331,FICOGRAPHIE,ChIJsaxIadEethIRYU5A8KiDRqU,"[u'point_of_interest', u'establishment']"
0,43.4219116,4.986502,Norbert Dentressangle Chimie,ChIJKWE7ctAethIRB7OftK464j0,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.4243228,4.9839413,RICHARDSON,ChIJB6yMkS8fthIRC4TeUcijeZI,"[u'general_contractor', u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.4194687,4.9880486,SMRI,ChIJRX6O_9AethIRcGUpSN_Im_k,"[u'point_of_interest', u'establishment']"
0,43.4190684,4.9880313,Net Services,ChIJhyKTlx8gthIRNJdJrlCv0qA,"[u'point_of_interest', u'establishment']"
0,43.4210235,4.9845525,UNION-MATERIAUX,ChIJR8H7k9AethIRA1r_fehwOIk,"[u'store', u'point_of_interest', u'establishment']"
0,43.4210874,4.9846397,Gervais Matériaux,ChIJRX6O_9AethIR3JzUw6SydT8,"[u'store', u'point_of_interest', u'establishment']"
0,43.421106,4.98708,Traquini José T.P,ChIJ1-KhctAethIRb2E0h3WOXsc,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.422286,4.986505,GETIM,ChIJKWE7ctAethIRV9gKru2srCQ,"[u'point_of_interest', u'establishment']"
0,43.420959,4.993054,Mairie,ChIJ92rWiNwethIRgXWXHKIaSgQ,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4210874,4.9846397,Neoil services,ChIJJaYazC0fthIRODGcSmT_QNI,"[u'point_of_interest', u'establishment']"
0,43.4219116,4.986502,C.A.T des Etangs (Centre Aide par le Travail des Etangs),ChIJKWE7ctAethIRhgAqiM8taPk,"[u'point_of_interest', u'establishment']"
0,43.4235753,4.9855954,Quincaillerie Generale Pereira et Fils,ChIJKWE7ctAethIRaLIybVtSUd0,"[u'hardware_store', u'store', u'point_of_interest', u'establishment']"
0,43.4212057,4.9837429,Atec Serrage,ChIJm325ltAethIRukB5_5EH_6g,"[u'point_of_interest', u'establishment']"
0,43.4176324,4.9953903,Thalassina,ChIJC92DZN4ethIRbfbvpLBhm68,"[u'food', u'point_of_interest', u'establishment']"
0,43.405449,4.985931,Port-de-Bouc,ChIJ-RzUxt8ethIRksIaOl-0tJY,"[u'locality', u'political']"
0,43.4248236,4.9853686,Zavattoni Jean-Marc,ChIJp-pkuc8ethIRWjlPuTefrKw,"[u'food', u'point_of_interest', u'establishment']"
