,Latitude,Longitude,Name,Place_id,Type
0,43.631049,5.150567,Pélissanne,ChIJd-7yaiL5yRIRQAGX_aUZCAQ,"[u'locality', u'political']"
0,43.6311295,5.1532779,Axe Pro Formation,ChIJFzX0Xi_5yRIRJog--wl3PAc,"[u'point_of_interest', u'establishment']"
0,43.631448,5.149982,L'Invitation Gourmande,ChIJTc_vxS75yRIRn39USwp7ZQw,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6352117,5.1530924,Primary Schools Yvette Besson,ChIJA_IKZSj5yRIR8rrdwQGMnv0,"[u'school', u'point_of_interest', u'establishment']"
0,43.6320353,5.1568426,Middle School Roger Carcassonne,ChIJaxqlhCb5yRIRThEnRXsK5zk,"[u'school', u'point_of_interest', u'establishment']"
0,43.630911,5.152233,Office de Tourisme du Massif des Costes,ChIJzfpKRi_5yRIRt6x2FStulac,"[u'city_hall', u'travel_agency', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.630057,5.150109,Les Vacances du Zèbre,ChIJB3d28S75yRIR6ImuevP1p2o,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.6313416,5.1520892,Mairie,ChIJzfpKRi_5yRIRrerSTdK8Q3E,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.6304024,5.1504103,Pelimmo Pélissanne,ChIJn_hL7i75yRIRax2BI6e9mYU,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.630482,5.151581,Le Moulin à Poivre,ChIJ3wPaFi_5yRIRARBVLFW0jjQ,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6304392,5.1506035,Flesh-Industry,ChIJPcKV4y75yRIRghIQmsfL9Kk,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.6317542,5.1493821,Cabinet de Sophrologie France Marie Perreault,ChIJ9zUWSSn5yRIRUS0Bv9hn3Oc,"[u'health', u'point_of_interest', u'establishment']"
0,43.6304165,5.1492605,Agence Du Centre,ChIJx5BOkC75yRIRZWljRdVYNWw,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.629751,5.154445,Centre Médical Le Galion,ChIJkXJ4myX5yRIR96puJNe8_3Q,"[u'health', u'point_of_interest', u'establishment']"
0,43.6301662,5.1610062,Résidence Clos St Martin,ChIJiVLZtiP5yRIRaYiYC11_qGQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.6290371,5.1581371,Cheminées Philippe Godin,ChIJzS64iCT5yRIR279H37ZxZrs,"[u'point_of_interest', u'establishment']"
0,43.6283482,5.1545801,Gefauto Distribution GMS FOURNITURES AUTOS,ChIJ_27TgyX5yRIR31VYUs0niXA,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.6307509,5.151798,Crédit Agricole Alpes Provence,ChIJJ5BOFi_5yRIR5mZDb7L0NMQ,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.6312527,5.1518171,Point Emploi Mairie annexe,ChIJzfpKRi_5yRIRkxM2cqErbzA,"[u'point_of_interest', u'establishment']"
0,43.630199,5.176181,La Barben,ChIJWcwJKa75yRIR6Khumpwi2Bo,"[u'locality', u'political']"
0,43.6290371,5.1581371,C.a.r.d,ChIJzS64iCT5yRIRfqmoxevc7Yk,"[u'point_of_interest', u'establishment']"
0,43.6304218,5.1493621,Laforet immobilier PELISSANNE,ChIJg7mekS75yRIRnOT1DeNrOWA,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6311295,5.1532779,La CLE Des Ages,ChIJhzT0Xi_5yRIRmJurzNMTUCk,"[u'point_of_interest', u'establishment']"
0,43.6291978,5.1567771,Cuisines ESPI,ChIJqZB16-_-yRIRczIXD2O4Vy8,"[u'general_contractor', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6281525,5.1626788,Vincent villegas educateur comportementaliste canin,ChIJs5cT6yL5yRIRlre1etN_cAo,"[u'point_of_interest', u'establishment']"
0,43.6305675,5.1523879,Laboratoire Pélissanne,ChIJq3BtaS_5yRIR6yshnDYBGB4,"[u'health', u'point_of_interest', u'establishment']"
0,43.6292848,5.1568084,Azur Pose,ChIJ8by-btj4yRIRgFkiyN0jUjc,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6309772,5.152105,Police municipale,ChIJzfpKRi_5yRIRICJR_b8kyeU,"[u'police', u'point_of_interest', u'establishment']"
0,43.629048,5.157532,Flavors Of France,ChIJc6m19CT5yRIRjIUO8fUgVm0,"[u'point_of_interest', u'establishment']"
