,Latitude,Longitude,Name,Place_id,Type
0,43.487871,5.23463,Rognac,ChIJN1CAiY_vyRIRDG5r72DVVsQ,"[u'locality', u'political']"
0,43.492178,5.228814,Market Rognac,ChIJx4SHBonvyRIRtpG62E-TFHI,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4940059,5.2276316,Mairie,ChIJv7kh81DlyRIRPTsS7IPyfow,"[u'point_of_interest', u'establishment']"
0,43.4921937,5.2288009,Carrefour Drive,ChIJXy7Up4nvyRIRYF7eKIs2Txg,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4918978,5.238193,"Home Childcare ""The Petit Prince""",ChIJv7kh81DlyRIRqBDGx8S4bas,"[u'point_of_interest', u'establishment']"
0,43.4943824,5.2263275,Centre de Secours,ChIJz8aR-GHlyRIRLuLvNpOXvCc,"[u'point_of_interest', u'establishment']"
0,43.4949876,5.2264119,Groupe Promotrans,ChIJ_e6k5GHlyRIRfAT7lCZCLgY,"[u'point_of_interest', u'establishment']"
0,43.4962478,5.2329369,Public Primary School Romain Rolland,ChIJA00wq43vyRIR07RzzwSVkbM,"[u'school', u'point_of_interest', u'establishment']"
0,43.4918718,5.2295185,Concorde Gestion,ChIJP4kkAonvyRIRGU2JGlmHqss,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4942427,5.2342216,Eliades Transports,ChIJUTAbLIzvyRIRJD3zmMCmYA0,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.4974612,5.2339289,Laurent GEOFFROY,ChIJSU815ozvyRIRQ02dzDJtxXc,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.493161,5.2258627,Societe Peri,ChIJ7yRNbWLlyRIRZrd8_UcCLSk,"[u'point_of_interest', u'establishment']"
0,43.4896111,5.2299992,Harmony Beauté,ChIJ7U6DgojvyRIRPIg8W6C3bdE,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.4973947,5.2347925,Aix Assistance Volets,ChIJkbbXHo3vyRIRbNCmKZP4o1U,"[u'point_of_interest', u'establishment']"
0,43.49194,5.2254788,Mairie,ChIJv7kh81DlyRIRSKHw10AP4bY,"[u'point_of_interest', u'establishment']"
0,43.4920683,5.2296068,Mairie - service des sports,ChIJ6eL9A4nvyRIRjiQwYP-JgLQ,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4920683,5.2296068,Mairie Service Sécurité - police municipale Brets Barjaquets,ChIJ6eL9A4nvyRIRvxE9s36NPS4,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5002448,5.2226101,ADMR Salon de Provence,ChIJLdPMFV7lyRIRE4jRfAvGjE8,"[u'point_of_interest', u'establishment']"
0,43.5009596,5.2247362,Pro Bureau Amenagement,ChIJVUakul_lyRIR7Ah7eaEeEMQ,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.5009596,5.2247362,JMB Environnement,ChIJVUakul_lyRIR8mTTPdz43K4,"[u'point_of_interest', u'establishment']"
0,43.5009596,5.2247362,Géosel Manosque,ChIJVUakul_lyRIRbWSio2k80pQ,"[u'point_of_interest', u'establishment']"
0,43.5009596,5.2247362,Ortec Industrie / Valortec,ChIJVUakul_lyRIRBRrsauSBTz0,"[u'point_of_interest', u'establishment']"
0,43.4912819,5.233238,Leader Price,ChIJDebX-o7vyRIRizcpXS_nfbs,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5002557,5.222589,Les Marcottes,ChIJkSwzFF7lyRIRkYbAahVjmBg,"[u'point_of_interest', u'establishment']"
0,43.489738,5.2299906,Nail Styl' Sylwia,ChIJ7U6DgojvyRIRF9mm4EK2p4M,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.5017038,5.2231702,L'Habilleur du Siège,ChIJD9cLpIXvyRIRR0nHwtMF0NE,"[u'point_of_interest', u'establishment']"
0,43.4895644,5.2293206,Mairie,ChIJv7kh81DlyRIRsCM9xTMubCQ,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.50176,5.222699,Gardetout.fr location box de stockage Rognac,ChIJQRsqYF7lyRIRJgK04JfN1KE,"[u'storage', u'point_of_interest', u'establishment']"
0,43.4893849,5.2293481,JS.Duracher et JC Roussel - NOTAIRES,ChIJGzfSen3lyRIRvRHCazfYi3Y,"[u'finance', u'point_of_interest', u'establishment']"
0,43.4894793,5.2322925,Centre d'Animation Municipal Georges Batiget,ChIJ6eL9A4nvyRIR8Y9x3Q1sV7c,"[u'point_of_interest', u'establishment']"
0,43.4919742,5.2225127,les jardins de l'étang,ChIJRRgFdmPlyRIRMyEu83p7uz8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4933739,5.2209807,Dr. PC services,ChIJa99Sc2TlyRIRKN6Ye6uHVz0,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.488558,5.230118,Centre de Psychologie Preventive et Contemplative,ChIJlWE4AonvyRIRFZYg38MaT2s,"[u'health', u'point_of_interest', u'establishment']"
0,43.488545,5.230017,Baddly Quintric Laurence,ChIJRQiUR4bvyRIRAnGQ7fSA8oo,"[u'health', u'point_of_interest', u'establishment']"
0,43.48859,5.230039,Cabinet d'ostéopathie de Maud Bensa-Guémené,ChIJLUuxO4bvyRIR_MNk1CrMXYA,"[u'health', u'point_of_interest', u'establishment']"
0,43.4884114,5.2297981,Cavavin - La passion du conseil,ChIJ8dceOIbvyRIRQcRUqmsmH7w,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
