,Latitude,Longitude,Name,Place_id,Type
0,43.663327,5.347199,Rognes,ChIJdafql3j1yRIRy6GGVS9CEoU,"[u'locality', u'political']"
0,43.6626056,5.3495429,Les Cyprès d'Antan,ChIJSZ0lp4H1yRIR0E32ASj-a38,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6584709,5.3511819,Acquarella,ChIJRVTci4L1yRIRcrYrKpOcPHo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6642563,5.3463983,La Villageoise,ChIJG7rGMYf1yRIR2C684OT2DjE,"[u'point_of_interest', u'establishment']"
0,43.6644734,5.3415497,La Baume,ChIJu7jBeIj1yRIRNT-5i5Qnagg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6628645,5.3491932,Le Piano Gourmand,ChIJuSz9BIH1yRIRXlGUDnJXAAY,"[u'restaurant', u'meal_takeaway', u'food', u'point_of_interest', u'establishment']"
0,43.6629598,5.3486579,Youth Center And Culture,ChIJJT90GoH1yRIRCm6k35Xt-_c,"[u'point_of_interest', u'establishment']"
0,43.661614,5.353766,Le Moulin du Rossignol (bed & breakfast in Provence),ChIJ6coSdnz1yRIR3CK2P9uOsL8,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6639686,5.3472907,Office du Tourisme de Rognes,ChIJYXE5uYD1yRIRodS3vWK3aFU,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.6654791,5.3467147,Club 3Rd Age La Belle Epoque,ChIJYXE5uYD1yRIRp2hfME2eOG4,"[u'city_hall', u'travel_agency', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.6642563,5.3463983,maison d'hotes rognes,ChIJ6brGMYf1yRIReCyZb48Ut5g,"[u'travel_agency', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.66352,5.347334,Ajyl Immo,ChIJUwmyKYH1yRIRNL1uOKWUpz8,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.669423,5.3508118,Serres de Versailles,ChIJITb6PyseyhIR8NpWopi5uBU,"[u'pet_store', u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.663327,5.347199,DOMAINE LA COULADE,ChIJd8an2mP1yRIRScnIKQE2mxw,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6640096,5.3475497,Crédit Agricole Alpes Provence,ChIJb_efzoD1yRIRmec6SpkC_Iw,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.6635029,5.3477799,Institut Hairbox,ChIJB1ms4oD1yRIRPWtSMigwYbE,"[u'hair_care', u'spa', u'health', u'point_of_interest', u'establishment']"
0,43.66352,5.347334,MGEN Action Sanitaire et Sociale,ChIJUwmyKYH1yRIRVCSIu8OaLxQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.6658359,5.3483978,Post Office,ChIJMXTSjoD1yRIR1mGZ5CWi_Hw,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.6604636,5.3525574,Eurorepar Garage Meca-Rognes,ChIJCeZd7IH1yRIRW3EHfCEaOhw,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6625061,5.3497912,La Boutique Doun,ChIJGRmwo4H1yRIRAYR5WEu1-OE,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6627523,5.3493503,La Biscuiterie de Rognes,ChIJlYcvp4H1yRIRGpjQsR8Fk8Y,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.6638114,5.3474068,Marché aux Truffes,ChIJifFm1oD1yRIR_4jzywkBFJ8,"[u'point_of_interest', u'establishment']"
0,43.6642228,5.3472351,Square Habitat,ChIJVctPzoD1yRIR8n97IFPMe7E,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.66352,5.347334,L' Estelan Résidence du Troisième Age,ChIJUwmyKYH1yRIRJYrn9DhI-Og,"[u'health', u'point_of_interest', u'establishment']"
0,43.66352,5.347334,Média Sound Art,ChIJUwmyKYH1yRIRAHaSDkFDdT0,"[u'point_of_interest', u'establishment']"
0,43.6643142,5.3472136,Au Moulin de la Presse,ChIJoXfBzoD1yRIR8fAHyqNjIhU,"[u'store', u'point_of_interest', u'establishment']"
0,43.6662308,5.3485717,Neil Formation Conseil,ChIJ7aLydioeyhIR81YVjHm5FaI,"[u'point_of_interest', u'establishment']"
0,43.664014,5.345138,Benoît Svahn apiculteur,ChIJtal0HIf1yRIR87Py-hK7lj8,"[u'food', u'point_of_interest', u'establishment']"
0,43.66352,5.347334,Etape L',ChIJUwmyKYH1yRIRKwTnb8YCkqE,"[u'food', u'point_of_interest', u'establishment']"
