,Latitude,Longitude,Name,Place_id,Type
0,43.898503,4.803017,Rognonas,ChIJVwR1hDbptRIR0GPhnwenCk4,"[u'locality', u'political']"
0,43.8976905,4.8011917,Logis Auberge Rognonaise,ChIJOycRDTfptRIRJCxfGoj5msA,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8989852,4.8032325,Fabricant Aire de Jeux,ChIJ9dksSDbptRIRgKyX7HTjgT0,"[u'point_of_interest', u'establishment']"
0,43.9003672,4.7949227,Les Charettes de la Crau,ChIJA6ULUzjptRIRbDoWLDuvYGU,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.898438,4.803328,Terres d'Alpilles,ChIJuTB-slXutRIRS9pBkiv0kwE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.89907,4.802312,Zénith Photo,ChIJSax5MzHptRIRdGHcZW1z-OM,"[u'point_of_interest', u'establishment']"
0,43.8986926,4.8001929,Post Office,ChIJQ5XmiDfptRIRBcuXuVzPOkc,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.8981242,4.8000509,Sudinvest Sarl,ChIJO6D7MzjptRIRBmSzQyuP6LA,"[u'finance', u'point_of_interest', u'establishment']"
0,43.8975241,4.8054278,Résidence Foyer Logement La Ben Vengudo,ChIJ29GzgTbptRIRKxfdBUWwN5c,"[u'health', u'point_of_interest', u'establishment']"
0,43.8984925,4.8028102,Carré Noir,ChIJga-xsjfptRIRWyfk3szASng,"[u'point_of_interest', u'establishment']"
0,43.8989606,4.8034975,Bmt Alpilles Durance,ChIJr_XgNzbptRIRJ2tM0lhwMjQ,"[u'point_of_interest', u'establishment']"
0,43.8986291,4.8034389,La Carreto,ChIJ5dxRTzbptRIRY3AF9zHtA2k,"[u'meal_delivery', u'meal_takeaway', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.89816,4.799892,Caisse d'Epargne Rognonas,ChIJLSYJLDjptRIR9aipV8hpmtc,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
