,Latitude,Longitude,Name,Place_id,Type
0,43.247341,5.5904809,Roquefort-la-Bédoule,ChIJ93HDKRSkyRIRQACX_aUZCAQ,"[u'locality', u'political']"
0,43.247015,5.623025,CHATEAU BARBANAU,ChIJVbog9kCkyRIRaLnr5nYx90Y,"[u'food', u'point_of_interest', u'establishment']"
0,43.252048,5.624877,kaligarus,ChIJWWCIvMWgyRIRAGrQJOr_rF4,"[u'painter', u'point_of_interest', u'establishment']"
0,43.2529056,5.6219721,Cerbera Daniel,ChIJZxMuoWukyRIRW8ywIlww7Q4,"[u'point_of_interest', u'establishment']"
0,43.2521696,5.6239295,Besson Déménagements,ChIJMxKnJWukyRIR-RbDJ19jOhQ,"[u'moving_company', u'store', u'point_of_interest', u'establishment']"
0,43.249666,5.638963,Château de Roquefort,ChIJjThmlBikyRIRDUmgpFW3lsU,"[u'point_of_interest', u'establishment']"
0,43.251865,5.625092,13830,ChIJiz3W1RSkyRIRkRhAnRBKfhA,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.2518249,5.624844,13830,ChIJLXVA1RSkyRIRIdB0r36dUzs,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.252121,5.624304,Fournet Cyril Michel,ChIJj17aLmukyRIRKyBK7MYBUwE,"[u'point_of_interest', u'establishment']"
0,43.2517263,5.6227947,Cbweb-concept,ChIJ9dEs_WqkyRIRSMbrkHIudxM,"[u'point_of_interest', u'establishment']"
0,43.2547632,5.6375956,Raimond de Villeneuve Flayosc,ChIJBZYDShqkyRIRB-JPPjjIfJE,"[u'point_of_interest', u'establishment']"
0,43.2548222,5.6386308,Vidal Marie-Christine,ChIJAxE0uBukyRIR6uxrb_w6h2M,"[u'point_of_interest', u'establishment']"
0,43.2525716,5.6176282,Muratorio Gérard,ChIJiYjKy2ukyRIRJl8gK6ue9Kc,"[u'point_of_interest', u'establishment']"
0,43.24795,5.631913,Vieux Roquefort,ChIJf8t0lz2kyRIRDGvS98G55ts,"[u'premise', u'point_of_interest', u'establishment']"
0,43.2517489,5.623531,Roquefort,ChIJ9zg45mqkyRIRUGRjk6gZCAo,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.221502,5.634811,Ceyreste,ChIJWUcSQ8KlyRIRSYTKDqpLaw8,"[u'locality', u'political']"
0,43.2637851,5.6266795,Gaec de Grand Rouvière,ChIJexxeYgukyRIROXqxi1aU4y0,"[u'food', u'point_of_interest', u'establishment']"
0,43.2637851,5.6266795,Brisson Christelle,ChIJexxeYgukyRIRyhYzETFDga8,"[u'point_of_interest', u'establishment']"
0,43.2637851,5.6266795,Bellon Pierre,ChIJexxeYgukyRIRbk_ie4AeYYk,"[u'food', u'point_of_interest', u'establishment']"
0,43.2637851,5.6266795,Leydier Denis,ChIJexxeYgukyRIRNJBox4cb0kg,"[u'point_of_interest', u'establishment']"
0,43.252184,5.642773,Chapelle Saint-André,ChIJCw-SjB6kyRIRR9L2p5Z3JW4,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.255229,5.6404685,Gîte Les Portes Des Calanques,ChIJszzXiRukyRIRMB3q5-2xjQ8,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.2496481,5.614707,Castelet Notre Dame Maison de Repos,ChIJ7wAQqUKkyRIRcbZfPWxK6LM,"[u'health', u'point_of_interest', u'establishment']"
0,43.249495,5.609402,BCLINE / EM DIFFUSION,ChIJ6dRK-12kyRIRNVjiINBtc_4,"[u'point_of_interest', u'establishment']"
0,43.2495258,5.6092446,Easy Informatic,ChIJBzUk_F2kyRIR-3zHlVSg6Rs,"[u'point_of_interest', u'establishment']"
0,43.2502178,5.6147818,Baron SCP,ChIJgfryBGikyRIRXLDGL8CUWB4,"[u'point_of_interest', u'establishment']"
0,43.2506183,5.6128188,Tron Mulder Catherine,ChIJsWVijWekyRIRM3N1x2jPDmA,"[u'point_of_interest', u'establishment']"
0,43.248044,5.6128349,13830,ChIJs11HGF2kyRIRji1TddBcfi0,"[u'hospital', u'point_of_interest', u'establishment']"
0,43.25781,5.649914,Château de Julhans,ChIJh62LoKimyRIRubvZqV8LWgQ,"[u'premise', u'point_of_interest', u'establishment']"
0,43.2578528,5.6096929,JAS DE LA LEBRE,ChIJzSQN4uq6yRIRzyxq06DYfHo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.25824,5.609469,Serreau Deffontaines Anaick,ChIJexxeYgukyRIRJDu-_DzCN-4,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.256657,5.649593,Chapelle Notre-Dame des Pieds Noirs,ChIJd5mmP6amyRIRnkKUsQuKBE0,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.257824,5.650363,Le Cabanon de Manou,ChIJsX9oHaamyRIRvNG-JY049Sc,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.2492786,5.6023299,Les Vignerons de Roquefort-la-Bédoule,ChIJXxoeavWkyRIRaTORFx1Pu7E,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.247145,5.604643,Mint-e,ChIJVQbzbl-kyRIRH1t0ShcxmAI,"[u'point_of_interest', u'establishment']"
0,43.2491562,5.6078322,B.m.s.,ChIJeZLQFV6kyRIR3OAV02fQEuE,"[u'hardware_store', u'store', u'point_of_interest', u'establishment']"
