,Latitude,Longitude,Name,Place_id,Type
0,43.349537,5.603996,Roquevaire,ChIJDwkDuoGYyRIR00RGJ_O95JU,"[u'locality', u'political']"
0,43.3484012,5.6034703,Société Générale,ChIJCVys2X-YyRIRif3yosVNWFc,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.343968,5.6022,Clinique Saint-Laurent,ChIJhWmXXn6iyRIReUmM76Ei4Do,"[u'health', u'point_of_interest', u'establishment']"
0,43.345941,5.599873,Middle School Louis Aragon,ChIJBfRwt4GiyRIRTUEvcc36Qb0,"[u'school', u'point_of_interest', u'establishment']"
0,43.338623,5.600039,GiFi ROQUEVAIRE,ChIJcSYeQYaiyRIRBmCKG9O1AR4,"[u'home_goods_store', u'furniture_store', u'store', u'point_of_interest', u'establishment']"
0,43.3375824,5.6003162,Bricomarché,ChIJebGYg4CYyRIRaiQRwuIELqc,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3487981,5.6040199,Mairie de Roquevaire,ChIJgZov2H-YyRIR_HI2fK2OB58,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3376919,5.600434,Intermarché Super,ChIJsR37onmYyRIRO6sGO9DpWno,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.342946,5.603756,Mama Corsica le brazero,ChIJ1-MqHn6iyRIRj_500C1KMRI,"[u'restaurant', u'meal_delivery', u'food', u'point_of_interest', u'establishment']"
0,43.3484012,5.6034703,Roquevaire Automobiles,ChIJCVys2X-YyRIReHH6re-t7Zs,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.349413,5.603404,Maison Retraite Roquevaire-Auriol,ChIJ2cMGLH6YyRIR0iKkE09BBB0,"[u'health', u'point_of_interest', u'establishment']"
0,43.3494831,5.6007437,La Bastide Saint Nabor,ChIJ2-_K_X6YyRIRp1O_HXqJEY8,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.344919,5.597436,Sarl Garage Denis - Citroën,ChIJjYmgNoKiyRIR84yndoylGUM,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.34041,5.603156,PC SAFE,ChIJYfCgGHuiyRIRRJe3_Eq0vp4,"[u'convenience_store', u'electronics_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.346179,5.6037046,Santons Lise Berger,ChIJHeHmB4CiyRIRAqAJBIfKYNI,"[u'point_of_interest', u'establishment']"
0,43.3481283,5.6011113,MAIRIE,ChIJgZov2H-YyRIRbGJt0jOscSg,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3396445,5.6021981,La Halle au Bois,ChIJ20SMCoeiyRIRlmOyl9KU_Nw,"[u'point_of_interest', u'establishment']"
0,43.3461789,5.6037046,SANTONS COLETTE,ChIJHeHmB4CiyRIRX8dzgCiMXKk,"[u'point_of_interest', u'establishment']"
0,43.350255,5.593647,Caisse d'Epargne Roquevaire,ChIJrbAS2nmYyRIR8nX5Qv8I35k,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.349178,5.591196,La Tuilerie,ChIJYavpr3eYyRIRo3WuOf50r1U,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.347433,5.591052,sextoys-boulevard.com,ChIJNUlE1neYyRIRo1kkO-WRDiw,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.336772,5.598674,CLUB EB MUSCULATION & FITNESS ROQUEVAIRE,ChIJebGYg4CYyRIRwBHT_CTVP4Y,"[u'gym', u'bar', u'health', u'point_of_interest', u'establishment']"
0,43.343766,5.598971,S'danse Roquevaire,ChIJf5FTZIGiyRIRZR2WeBQK_c4,"[u'point_of_interest', u'establishment']"
0,43.3409374,5.6027743,3D Expertise,ChIJa1tAH_OiyRIRXYrXaXGTqTk,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.3447156,5.5985638,L Martinez Entretien de jardins,ChIJMR2eKoKiyRIRb2YNeq6Lf4U,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.347573,5.59689,NAVWEB,ChIJ0VONmXiYyRIRCEhF5xEXJ0Y,"[u'point_of_interest', u'establishment']"
0,43.341792,5.602329,Générale Menuiserie,ChIJG6tsiYCYyRIR0Aj8lbnpupE,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3482721,5.6004503,WAS International,ChIJ3-aOEn-YyRIRDJTy2sNag54,"[u'finance', u'point_of_interest', u'establishment']"
0,43.34766,5.592319,Cavali-cavalo,ChIJMZE-5HeYyRIRwNKaArIQtWo,"[u'point_of_interest', u'establishment']"
0,43.3404165,5.6024778,Someda,ChIJgxgsIvOiyRIRV5cdvZH5u_I,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3391461,5.6022227,Les Plaisirs de la Balnéo,ChIJIy6Mo4eiyRIRx5uJNWatsp8,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.3433654,5.5961532,PC SAFE ASSISTANCE,ChIJEwown4OiyRIRJb1i9Oq5pYo,"[u'point_of_interest', u'establishment']"
0,43.341518,5.599153,Ville de Roquevaire,ChIJScequoaiyRIRJGBTBQAK5dg,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.341518,5.599153,Les Artistes,ChIJScequoaiyRIRR4-Nb65ARQE,"[u'point_of_interest', u'establishment']"
0,43.3482721,5.6004503,Wise Alternative Solution,ChIJS_h7En-YyRIRYzKYFb50RHA,"[u'point_of_interest', u'establishment']"
0,43.341361,5.6026213,FORGEAUD Marie-Claire,ChIJ19UKBYw--kcROTmyEEGgyB4,"[u'health', u'point_of_interest', u'establishment']"
0,43.34223,5.603468,Michèle Grassi,ChIJeZtZqYCiyRIRCRvCDrIgDe0,"[u'point_of_interest', u'establishment']"
0,43.3410767,5.6030729,Centre contrôle technique Norisko Auto,ChIJx7rWXIeiyRIRIVllQfK0SKQ,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.336837,5.5996636,Crédit Agricole Alpes Provence,ChIJAchRroCYyRIR6Kw6SoaF6Lk,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.3475363,5.6034357,Gaudin Benoît Ostéopathe,ChIJg56o43-YyRIRw6hKUHyHHYc,"[u'health', u'point_of_interest', u'establishment']"
0,43.3482576,5.6011094,Town De Roquevaire,ChIJ2bJ1Cn-YyRIRZmXE-g5Bb48,"[u'school', u'point_of_interest', u'establishment']"
0,43.3378411,5.600595,Pharmacie Colomb-Dervaux,ChIJoVW713-YyRIRHmg_-tQ6duc,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.339687,5.593085,La Vie de Chaton .,ChIJB_5405qiyRIR31HzUAoDeDA,"[u'point_of_interest', u'establishment']"
0,43.3389636,5.601638,JFNP,ChIJKcy8X3mYyRIRmVixUqkeoKI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.3485622,5.6012903,Ville de Roquevaire,ChIJOWI1pn-YyRIRFagkAhnkxS0,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3387739,5.6014127,Dominique Drake Coiffure,ChIJa7EUiYCYyRIRFAdxwyTuSMs,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.3489059,5.6011284,Ecole Primaire Publique Joseph Martinat,ChIJ98r1Cn-YyRIRxz5Dr_zM6qk,"[u'school', u'point_of_interest', u'establishment']"
0,43.3491371,5.6015417,Canovas Plomberie Services,ChIJV_PNrH-YyRIRsvI7nGJ_KY8,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.3376496,5.6003353,L'Aurore,ChIJB87XvYCYyRIR6Bj_4inc1Lw,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.3494832,5.6042237,DERVAUX THIERRY OSTEOPATHE,ChIJre8AnICYyRIRgRvCeWP-5rs,"[u'health', u'point_of_interest', u'establishment']"
0,43.3490028,5.60267,LOLA,ChIJXYGhy3-YyRIRx4YFThpH4i4,"[u'point_of_interest', u'establishment']"
0,43.3383992,5.601408,LVA Cuisines et bains,ChIJf94HyoeiyRIRy1D1V9KRi3g,"[u'general_contractor', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3487098,5.6034108,Librairie Histoire de Famille,ChIJX6v01n-YyRIR4DeND20xPlU,"[u'book_store', u'store', u'point_of_interest', u'establishment']"
0,43.3484191,5.603613,Mairie,ChIJzVRO2H-YyRIRNT-rhfhJSHA,"[u'point_of_interest', u'establishment']"
0,43.3486765,5.603726,taxi etoile,ChIJJadU1n-YyRIRP5tgF-NxvKY,"[u'point_of_interest', u'establishment']"
0,43.3490028,5.60267,Ville de Roquevaire,ChIJXYGhy3-YyRIRkRi4NhjSZH0,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.349284,5.604648,Interieur Pierre,ChIJG6tsiYCYyRIRQwTyTO3zIuo,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.3486466,5.6037251,Societe Provencale de Services,ChIJO9mx13-YyRIRvCahtsY4Jew,"[u'point_of_interest', u'establishment']"
0,43.3495917,5.6036945,Télé Satellite Services,ChIJ-_7M2X-YyRIRHLqVHHbmSLY,"[u'point_of_interest', u'establishment']"
0,43.3368178,5.5993073,Nao Athena,ChIJFTAuvYiiyRIRg6Xa5Z0meV0,"[u'food', u'point_of_interest', u'establishment']"
0,43.2926781,5.5676425,Aubagne,ChIJyyal8DOjyRIRvMKMseEhjSw,"[u'locality', u'political']"
0,43.3288811,5.597993,Le Casque Bleu,ChIJhQSqmIyiyRIRvoMnaodQu7Y,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.3284671,5.5990842,Company Hippique D'abbeville,ChIJvSqaoMmM3UcRvSl5IgrRyfs,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.3275715,5.5975242,Immob Du Pont De L'Etoile,ChIJXcSDL4KiyRIR1zU7ThvxSR8,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
