,Latitude,Longitude,Name,Place_id,Type
0,43.480621,5.622019,Rousset,ChIJtaQ4bjmbyRIRIACX_aUZCAQ,"[u'locality', u'political']"
0,43.490433,5.619522,Le Clos des Mools,ChIJZSvwUjebyRIRNbDIrcGCd2E,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.4826537,5.6178955,A E B,ChIJB8QVtD2byRIRk54qMIz8Nnc,"[u'point_of_interest', u'establishment']"
0,43.478444,5.625365,Middle School De Rousset,ChIJsTkzLRWbyRIRsgaY4AhYmTo,"[u'school', u'point_of_interest', u'establishment']"
0,43.4807979,5.622691,Votre Maison,ChIJRcyn0T-byRIRYu8bi87jtj4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4804093,5.6226628,Crédit Agricole Alpes Provence,ChIJlx6g1z-byRIRxR_3J_cIdKg,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.482636,5.622594,Cave de Rousset,ChIJoR2wqT-byRIRQ4Ln_rj-2QM,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4801063,5.6232947,Caisse d'Epargne Rousset,ChIJAagxYRWbyRIRfpp9A6dU3u4,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.4819158,5.6238999,Le Fournil de Rousset,ChIJkw5bnj-byRIRxkDZytbjEeM,"[u'bakery', u'restaurant', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4799623,5.6231452,Post Office,ChIJzRJHZxWbyRIRH0wM4nGN0rU,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.4811382,5.6224804,ATC/BATECO,ChIJDdDkzj-byRIR7pi-1XWBALw,"[u'point_of_interest', u'establishment']"
0,43.4810027,5.6239316,Distroy Coiffure,ChIJa7S1sJ6KyRIRiNFvmdrNA0U,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.4798654,5.6226002,CNRFID (Centre National de référence RFID),ChIJd0IuehWbyRIReV8NvsxezPk,"[u'point_of_interest', u'establishment']"
0,43.484389,5.61792,AIXPLORER,ChIJl5f2BjCDyRIR9afU30jAE_o,"[u'point_of_interest', u'establishment']"
0,43.4795161,5.6222432,Pharmacie Pignon,ChIJP9OGeRWbyRIR5u1f0TT3uFg,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.482625,5.622409,"Brigitte Buonamici, assistante maternelle agréée",ChIJebayqz-byRIR9ey23RA0RHo,"[u'point_of_interest', u'establishment']"
0,43.4804956,5.6226666,Paroisse,ChIJg37W0T-byRIREtDxsi6dDgY,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.483185,5.621255,Sailndream,ChIJiws-8T6byRIR_LEIhJF1bxY,"[u'point_of_interest', u'establishment']"
0,43.48269,5.6260604,Les Ateliers Ré-Création,ChIJRyXiikCbyRIRu1dWFpf-OtM,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.490122,5.628458,La Bégude,ChIJaUCfmUibyRIRnhZpWDA81wg,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.4812866,5.6227442,Denis Coiffure,ChIJBVfYyD-byRIR_k1klYRBHBI,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.4797635,5.624015,Patrick GRIGNON.économiste,ChIJ6-ZsUBWbyRIRvuQ0LQLkopY,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.481139,5.6241596,I.F.A.C 83,ChIJaQZn8j-byRIRyZ3MZoj8Li4,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.4791269,5.6221295,M.f.r.e.o,ChIJD33EChWbyRIRjSX08KaxjrA,"[u'point_of_interest', u'establishment']"
0,43.4831324,5.6252267,Psychologue Séverine de Junnemann,ChIJE4HshECbyRIRkdhPXLyfNXw,"[u'health', u'point_of_interest', u'establishment']"
0,43.4812666,5.622596,Boucherie Charcuterie de Rousset,ChIJ13Lvzj-byRIRIzonVPOU4LE,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4800337,5.623449,TREIZIEME RUGISSANT//13RU,ChIJ2-tFZxWbyRIRDc8TtblYuMM,"[u'point_of_interest', u'establishment']"
0,43.4818784,5.6206066,Le Cellier du Cengle,ChIJea-wJcmEyRIRCVnedRn-m7k,"[u'point_of_interest', u'establishment']"
0,43.4844073,5.6200844,123 Webimmo,ChIJry33pD6byRIRAAjIFxxA5aU,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4837336,5.62499,Pierre & Vacances l'Albane,ChIJbUURn0CbyRIR2PDm7hAzuAE,"[u'point_of_interest', u'establishment']"
0,43.4845903,5.6251073,La Crèche Trampoline,ChIJx0uztjibyRIRe3nvJyhmmpE,"[u'point_of_interest', u'establishment']"
0,43.4815063,5.6238747,Vival,ChIJnd0RxT-byRIRElC5k8EfetU,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4816494,5.6221225,Chauffage Plomberie Rousset,ChIJLRLKSj6byRIR_plN9abQR8A,"[u'point_of_interest', u'establishment']"
0,43.4812374,5.6220627,Chappe Thibault,ChIJ4zRdMz6byRIRGT6MLp3RImU,"[u'point_of_interest', u'establishment']"
0,43.4808934,5.6226338,Guida Formation,ChIJZ6DR0T-byRIRhV6_tbVhOk8,"[u'point_of_interest', u'establishment']"
0,43.4807849,5.6225638,Amis Instruction Laïque (A.I.L.),ChIJHZQL0T-byRIRJx1ELfflSzM,"[u'point_of_interest', u'establishment']"
