,Latitude,Longitude,Name,Place_id,Type
0,43.835465,4.944566,Saint-Andiol,ChIJ9-2LsHb6tRIRAACX_aUZCAQ,"[u'locality', u'political']"
0,43.827165,4.9559,Hôtel Restaurant le Lou Mistralou,ChIJyQ-WghL6tRIRaVcYNJyZef0,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8273971,4.9572114,Biscuits Charly,ChIJOa9Sumz6tRIRTIkAg5iRflA,"[u'bakery', u'food', u'museum', u'store', u'point_of_interest', u'establishment']"
0,43.82752,4.958625,Premier,ChIJe0KMB9f7tRIRHGHy8XZQvzw,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.835465,4.944566,Office de Tourisme Saint Andiol,ChIJzZ_ePnj6tRIRCjMVTX_40hY,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.824619,4.953932,La Villa Malta Salle de Récéption,ChIJO2Kq4mz6tRIR8seHCiCvHew,"[u'point_of_interest', u'establishment']"
0,43.8265859,4.9521357,Xeda International SA,ChIJ307guXn6tRIRjFUVmLKKrmE,"[u'point_of_interest', u'establishment']"
0,43.8353258,4.9452628,Pulsat,ChIJS4QuJnj6tRIRKrycIq-Q8Hw,"[u'electronics_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.8365108,4.944954,Mairie,ChIJzZ_ePnj6tRIRmxNzLImP580,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.8339686,4.9462847,Crédit Agricole Alpes Provence,ChIJL3i6bnf6tRIR8J0hzF7OIio,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.8355062,4.9487192,Bertaud Bernard,ChIJIdv1R3b6tRIRFmXE24DZXqc,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.827708,4.95567,L.C.I. - Les Constructions Innovantes,ChIJd8Svs3L6tRIR3ykPTHubx5g,"[u'point_of_interest', u'establishment']"
0,43.8340845,4.9464763,Crcam Alpes Provence,ChIJ2fB1cXf6tRIR4xHLPPN1FEI,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.8268162,4.9516666,Eurolabel 06,ChIJ307guXn6tRIRGM53d-IJZmQ,"[u'point_of_interest', u'establishment']"
0,43.8356051,4.9449551,Le Salon de Coiffure,ChIJG3BEPXj6tRIRyrFpflElYLY,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.825357,4.9533023,Mati Industries et Technologies,ChIJ_0KamXL6tRIRlpipy34tMew,"[u'point_of_interest', u'establishment']"
0,43.833988,4.943927,Comimpex,ChIJDUASmnL6tRIRvjGfJ2oCrUE,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8323353,4.9483806,Provence Materiaux,ChIJm6au1nb6tRIROEpHjXAvTP0,"[u'store', u'point_of_interest', u'establishment']"
0,43.8357786,4.9445638,Location Costume Décorration,ChIJgef2PXj6tRIRRlOYt8RE1X4,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.824906,4.94756,L'Ensouleiado,ChIJuWX1om_6tRIRgGIumKgZCAo,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.8364952,4.9441021,Town Hall,ChIJuUne73f6tRIRSs34K8-RDKw,"[u'point_of_interest', u'establishment']"
0,43.8332125,4.9467183,Agi Services,ChIJDX0TQHf6tRIRUBp1urHSCJw,"[u'point_of_interest', u'establishment']"
0,43.8332125,4.9467183,Services Autos,ChIJDX0TQHf6tRIRjPEL4-VvjDg,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.833988,4.943927,Millias Jean Marc,ChIJ307guXn6tRIROboXqeUVDQo,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.833602,4.9461769,CUISINE PLAISIR,ChIJ0TNNb3f6tRIRh0Z3aZ-npYE,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8338653,4.9464499,Sarl video Labo,ChIJj48uJnj6tRIRLzxQ6kR6dOE,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.8278867,4.9557929,JV Pose Menuiserie,ChIJk1ihWg36tRIRaFNbivBKh6A,"[u'point_of_interest', u'establishment']"
0,43.824867,4.95419,HEPRO SARL,ChIJa5URHG36tRIRkGNI0WBXwBE,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.833988,4.943927,GIP 13,ChIJ-6vhuXn6tRIRbMx0Q_6OVsM,"[u'point_of_interest', u'establishment']"
0,43.833988,4.943927,Tabac Mnjc,ChIJ-6vhuXn6tRIR9wId73HVW78,"[u'store', u'point_of_interest', u'establishment']"
0,43.833988,4.943927,Julien Felix Antoine,ChIJ-6vhuXn6tRIRlvkJK37R2Dk,"[u'point_of_interest', u'establishment']"
0,43.82865,4.9418748,Pépinières Louis Gauthier,ChIJEy7TQIn6tRIRcqcuH15zdAA,"[u'food', u'point_of_interest', u'establishment']"
0,43.8356622,4.9446317,1001 Lucioles,ChIJgef2PXj6tRIRyouUAw2TRbM,"[u'point_of_interest', u'establishment']"
0,43.826724,4.958532,Pressoirs de Provence - SA Sojufel,ChIJOa9Sumz6tRIRKGiEEAGu-ys,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8356085,4.9448738,Vignobles et Terroirs,ChIJpUDUJXj6tRIRW0INF8qq2-Q,"[u'point_of_interest', u'establishment']"
0,43.8355284,4.9443641,Admr Plan d'Orgon,ChIJzZ_ePnj6tRIRVaI7tnguZ3Q,"[u'point_of_interest', u'establishment']"
0,43.827948,4.95868,NCFE,ChIJ86lvnw36tRIRFK1FGO-E0Zo,"[u'store', u'point_of_interest', u'establishment']"
0,43.8364986,4.9448587,SSIAD Durance Alpille,ChIJo95pD3j6tRIRqz2WaAIwYkU,"[u'point_of_interest', u'establishment']"
0,43.827339,4.959168,Agenda Diagnostics SALON DE PROVENCE-AVIGNON,ChIJoVflzqz_yRIRrNxbpi4fBHM,"[u'health', u'finance', u'point_of_interest', u'establishment']"
0,43.832991,4.940801,Icone Internet : Votre agence web de proximité,ChIJ3cvZj7AAyhIRjhUaDmyGId8,"[u'store', u'point_of_interest', u'establishment']"
0,43.8364879,4.9437977,Caisse d'Epargne Saint Andiol,ChIJz1miuzLwtRIRSUQTFSdjbYE,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.8381187,4.9476161,ATSAC,ChIJ6UMsDJ3wtRIRFZ1zdI389RU,"[u'point_of_interest', u'establishment']"
0,43.8361983,4.9430993,Le Tempelier,ChIJ1-24Y3j6tRIRhrAVQi2s4Cc,"[u'point_of_interest', u'establishment']"
0,43.8381354,4.9476549,Philtaxi-provence,ChIJk_HzDJ3wtRIR7GK4RJ0Eryw,"[u'point_of_interest', u'establishment']"
0,43.836446,4.958416,C Fer Different,ChIJl2HEf6DwtRIR7YLp6c-s3iw,"[u'point_of_interest', u'establishment']"
0,43.82297,4.9551,Claas Réseau Agricole,ChIJOa9Sumz6tRIRwADuz50cvHo,"[u'store', u'point_of_interest', u'establishment']"
0,43.82297,4.9551,Sapam Sa,ChIJOa9Sumz6tRIRr8x_dUu-dtg,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.82297,4.9551,Jesfruit Sa,ChIJOa9Sumz6tRIR2pQi39bfFBE,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.82297,4.9551,Val Sourcing,ChIJW4toRVTutRIR1MXDvhqNTzk,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8374798,4.9429938,Saint Andiol,ChIJp4imh4LwtRIRO2b35giPvlE,"[u'store', u'point_of_interest', u'establishment']"
0,43.831865,4.948781,Vinadore Sport,ChIJv71CzXb6tRIRJzUTKngKEIA,"[u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.8290457,4.9530742,Class,ChIJKV7yVnL6tRIRH29XGbEsP2k,"[u'point_of_interest', u'establishment']"
0,43.832877,4.947489,Copra Sani Cuisines 7,ChIJs0y_JHf6tRIRipKXX0eKncs,"[u'general_contractor', u'food', u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.8332125,4.9467183,Campus Provence,ChIJDX0TQHf6tRIRIP3i2Uwgi_c,"[u'point_of_interest', u'establishment']"
0,43.8332125,4.9467183,Campus Provence SAS,ChIJDX0TQHf6tRIRFdp9sD78ZvA,"[u'point_of_interest', u'establishment']"
0,43.8332125,4.9467183,France Iso Sud,ChIJDX0TQHf6tRIRKrYDNTO4Xd8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.8332125,4.9467183,Pontier Paul,ChIJDX0TQHf6tRIR9Ykg_L1sq9U,"[u'point_of_interest', u'establishment']"
0,43.8332125,4.9467183,Demichelis Fréres,ChIJDX0TQHf6tRIRIRLk3DHpLdI,"[u'point_of_interest', u'establishment']"
0,43.8332125,4.9467183,Ad Constructions,ChIJDX0TQHf6tRIRmJKT9jwvUbQ,"[u'point_of_interest', u'establishment']"
