,Latitude,Longitude,Name,Place_id,Type
0,43.518757,5.583172,Saint-Antonin-sur-Bayon,ChIJH-NIECKFyRIR8P-W_aUZCAQ,"[u'locality', u'political']"
0,43.522881,5.584817,Oppidum Untinos,ChIJb3zuAhWFyRIRV334WKQya9E,"[u'point_of_interest', u'establishment']"
0,43.5190631,5.5841743,Maison de Sainte-Victoire,ChIJ1QEwvD-FyRIRtUj1WqxHqj8,"[u'point_of_interest', u'establishment']"
0,43.518757,5.583172,La table de Saint Antonin,ChIJ1QEwvD-FyRIRTwHYjRBXOCo,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5187241,5.582882,La Haute Terre,ChIJpcB4hz-FyRIR7OZ9Jw2unL8,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5191174,5.5946218,parking la marbrière,ChIJbfqUlSKFyRIRvhxjjZEtDdA,"[u'parking', u'point_of_interest', u'establishment']"
0,43.520695,5.588969,13100,ChIJX_z9GxaFyRIR2hjBGVQzC_w,"[u'parking', u'point_of_interest', u'establishment']"
0,43.5207379,5.5888824,Parkind des Deux Aiguilles,ChIJH5qUGxaFyRIRDsBrUkhZy1s,"[u'parking', u'point_of_interest', u'establishment']"
0,43.5192369,5.585536,13100,ChIJ07dZSj6FyRIRTjPmiXXO4Wk,"[u'parking', u'point_of_interest', u'establishment']"
0,43.518896,5.583139,13100,ChIJy0Bdjz-FyRIRritTM3XnvVc,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5188739,5.582999,13100,ChIJI8qgiD-FyRIRzS0c5Ed4MpU,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.517907,5.582669,13100,ChIJF0NrgkCFyRIRbvNrr3C91-I,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.516667,5.583333,Saint-Antonin,ChIJsT05Wz-FyRIR7CoKt3upDEM,"[u'neighborhood', u'political']"
0,43.480621,5.622019,Rousset,ChIJtaQ4bjmbyRIRIACX_aUZCAQ,"[u'locality', u'political']"
0,43.48905,5.568998,Châteauneuf-le-Rouge,ChIJK34bW6SayRIRAASX_aUZCAQ,"[u'locality', u'political']"
0,43.555284,5.602142,Vauvenargues,ChIJNzNcnT6EyRIRoP6W_aUZCAQ,"[u'locality', u'political']"
0,43.519,5.57671,Mairie,ChIJn_DOqZWNyRIRG2t7T8C5FmA,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.519,5.57671,Leaud,ChIJha-xMUKFyRIRk7wBmPAzO9A,"[u'point_of_interest', u'establishment']"
0,43.519,5.57671,Davico Romano,ChIJha-xMUKFyRIRgi92kn6ttGs,"[u'point_of_interest', u'establishment']"
0,43.5317269,5.578322,Le Prieuré,ChIJsZ-cPXKFyRIRCvwvaQ8Mw5c,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.5182173,5.6175435,Clos Sainte Victoire,ChIJBfWsbOiEyRIR2VoBj0yP4g8,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.511132,5.617902,L'Étang,ChIJT436ucWEyRIRmi-8UBp8m_M,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.522532,5.569691,Le Moulin en Provence,ChIJTb7PpmeFyRIR6GQ-N9kWtKc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.515533,5.567702,Faure Michel,ChIJOT1m6FuFyRIRDFX2EfsqJak,"[u'point_of_interest', u'establishment']"
0,43.5215432,5.5671072,Villa Sainte Victoire Aix en Provence,ChIJs0kOVWeFyRIRGwfoaYAkmiQ,"[u'point_of_interest', u'establishment']"
0,43.523085,5.566916,Pont de l'Anchois,ChIJzbXezGCFyRIR-0iCBcmQELc,"[u'premise', u'point_of_interest', u'establishment']"
0,43.500531,5.610349,Petaïte,ChIJ7xMjNtOEyRIROAQgqDMpSQA,"[u'premise', u'point_of_interest', u'establishment']"
0,43.5095621,5.5652967,Les Masques,ChIJ4aZo6FuFyRIR-126az5T41U,"[u'food', u'point_of_interest', u'establishment']"
0,43.499987,5.572642,La Lèbre,ChIJK3JChLKayRIRDq4RnJMB6EM,"[u'premise', u'point_of_interest', u'establishment']"
0,43.53028,5.618865,Refuge Barthélémy Baudino,ChIJ8Sr8j_GEyRIRwVJKahTGFtw,"[u'point_of_interest', u'establishment']"
0,43.5252229,5.672943,Puyloubier,ChIJbW9CdhCDyRIRjzouofs5FGA,"[u'locality', u'political']"
0,43.528829,5.569738,Refuge Cézanne,ChIJA98uAmWFyRIRh2DNugtmgms,"[u'point_of_interest', u'establishment']"
0,43.5300956,5.5710799,Sainte victoire,ChIJF8yqR2WFyRIRqThZP-le_xE,"[u'park', u'point_of_interest', u'establishment']"
0,43.523896,5.5647719,13100,ChIJj4OU_WCFyRIRNIMV-dJAqJQ,"[u'parking', u'point_of_interest', u'establishment']"
0,43.5114189,5.546729,Beaurecueil,ChIJaQQRqe2PyRIR0ASX_aUZCAQ,"[u'locality', u'political']"
0,43.529595,5.631932,Escale Detox,ChIJ32BBRY6EyRIRt2i3SN0o_0k,"[u'point_of_interest', u'establishment']"
0,43.529548,5.6320488,Domaine Genty,ChIJFR2RT46EyRIRaScJ7zpNGDY,"[u'lodging', u'point_of_interest', u'establishment']"
