,Latitude,Longitude,Name,Place_id,Type
0,43.62126,5.29792,Saint-Cannat,ChIJFcLORSf0yRIR4P-W_aUZCAQ,"[u'locality', u'political']"
0,43.6150606,5.3162096,Les Villagines Appart Hôtel,ChIJy5Q-DyT0yRIR2xtuGFtJOX4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6110062,5.300231,Centre 3B,ChIJIUdlBpj2yRIREmhXdVIXMZA,"[u'gym', u'spa', u'health', u'point_of_interest', u'establishment']"
0,43.6144041,5.3175756,STELLINA PIZZA,ChIJ4bMVU7f_yRIR73tnQikQ5NU,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6151632,5.3158213,o2 bicycle shop,ChIJU7b0uBTzyRIRIowY3PnPH-Q,"[u'bicycle_store', u'store', u'point_of_interest', u'establishment']"
0,43.614329,5.318069,Mariage sous l'olivier,ChIJDXH0giP0yRIRie3wq9jg1Lc,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.6174263,5.310639,Maison Blanche Home Staging et décoration d'interrieur,ChIJ58t1gif0yRIRqhZx0T6rKsA,"[u'general_contractor', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.6149316,5.3177381,QUARTIER DES TISSUS Saint Cannat,ChIJpQMV-Sb0yRIRwzHqSVJkdjs,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.617148,5.313282,AIX'PISCINE,ChIJpQMV-Sb0yRIRhIhrDf2CI5o,"[u'general_contractor', u'store', u'point_of_interest', u'establishment']"
0,43.6150069,5.3167471,Servi-Bennes,ChIJIUTbCiT0yRIRpnuccICklq4,"[u'car_rental', u'point_of_interest', u'establishment']"
0,43.6174263,5.310639,A.L.C Décoration Florale evenementielle,ChIJ2S90gif0yRIRv_P8Qzr-E_c,"[u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.61093,5.3138867,chez Kinou,ChIJO17PwyH0yRIRbovHDE6xnWA,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6119976,5.318157,Mix Diffusion,ChIJler_VSL0yRIR2LPHS5D5l_g,"[u'point_of_interest', u'establishment']"
0,43.613934,5.315271,Autocars Telleschi,ChIJkZ8y6iP0yRIRKvzWGq80RvM,"[u'point_of_interest', u'establishment']"
0,43.613871,5.316653,La Barbouille,ChIJt8Uc6SP0yRIRfTva5naxH_w,"[u'store', u'point_of_interest', u'establishment']"
0,43.6120219,5.3112647,Canneddu Michel Georges Rene,ChIJu-mwaCD0yRIRRiUpLFlqUf0,"[u'point_of_interest', u'establishment']"
0,43.6134062,5.3149942,SERC MARIN DUBUARD,ChIJTbbG3I_2yRIRLBOlhXYNOKw,"[u'store', u'point_of_interest', u'establishment']"
0,43.6109061,5.3036133,Provence Seminaires,ChIJZTIxn5j2yRIRn2L5PmzQC8E,"[u'point_of_interest', u'establishment']"
0,43.6142775,5.3178426,Saint-Maury INTERNATIONAL,ChIJKd1lgyP0yRIR8BS8POBKxUw,"[u'store', u'point_of_interest', u'establishment']"
0,43.6161929,5.3150309,Cermibat,ChIJpQMV-Sb0yRIRSbovpvCXtWs,"[u'point_of_interest', u'establishment']"
0,43.615106,5.314802,Au Temps Des Bastides,ChIJpQMV-Sb0yRIRw6v7y5-jdEY,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.61603,5.315494,Chez pizz'à Vincent,ChIJP7b8HyT0yRIRtSJ4oEwdyGM,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.613646,5.315666,BARRACO BRUNO MACONNERIE RENOVATION,ChIJeUwp3iP0yRIRzOikoybnmGg,"[u'point_of_interest', u'establishment']"
0,43.6106106,5.2999302,JCL Textiles Hoteliers,ChIJaQwPq6L2yRIRH4Rcerijx3o,"[u'point_of_interest', u'establishment']"
0,43.61377,5.316498,Devea Conseil,ChIJkZ8y6iP0yRIR0Ut0U3N8pbU,"[u'point_of_interest', u'establishment']"
0,43.6150783,5.3159754,CreaSun,ChIJVUX_BiT0yRIRgg_qxbTU2to,"[u'point_of_interest', u'establishment']"
0,43.6149928,5.3155833,C.T.A. Morelli,ChIJY7pOACT0yRIRBXeo1hIvVh0,"[u'point_of_interest', u'establishment']"
0,43.6154171,5.3154409,CENTRE MONTAGE PNEUMATIQUE,ChIJcREaqCb0yRIRVIMJoPzKe68,"[u'point_of_interest', u'establishment']"
0,43.6142342,5.3178794,Associations Sports Advice (A.s Conseils),ChIJM2LwgiP0yRIRUfS6ZFuxPQ0,"[u'point_of_interest', u'establishment']"
0,43.6195873,5.3030991,Easy A Dom,ChIJ_WCwOpv2yRIRlUHd-Ji0Qeo,"[u'point_of_interest', u'establishment']"
0,43.616223,5.315394,Autovision Contrôle Technique,ChIJ27pKnib0yRIRi7Nur8xb_fg,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6196857,5.3031426,Valerie OUCHENE,ChIJp8NNtJr2yRIRkonCDQnuf8Y,"[u'lawyer', u'point_of_interest', u'establishment']"
0,43.614901,5.316302,L'Alchimie,ChIJN6ArCiT0yRIRDHEZMTSDW7I,"[u'spa', u'health', u'point_of_interest', u'establishment']"
0,43.61377,5.316498,Opti.Finances Entreprises,ChIJP2ct6iP0yRIRgRcxdzKXIAA,"[u'point_of_interest', u'establishment']"
0,43.61501,5.316311,LES VILLAGINES,ChIJaXMDCST0yRIRSHsVmuKvNps,"[u'point_of_interest', u'establishment']"
0,43.6106066,5.2977,Mitic Equipements,ChIJK4p9e732yRIRm8Q4qInch18,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6136743,5.317331,AC Motorsports,ChIJkZ8y6iP0yRIRirwue8MADXU,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6149632,5.3164738,Garage A.j.c,ChIJN6ArCiT0yRIRcLTbzxh3IQE,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6136167,5.29718,Marcucci Josette,ChIJTftt_pb2yRIR2XqKG8ewCms,"[u'accounting', u'finance', u'point_of_interest', u'establishment']"
0,43.612377,5.317241,Erelia,ChIJcSPSTCL0yRIRa6xxaXbSL8A,"[u'point_of_interest', u'establishment']"
0,43.6180594,5.2983097,Paroisse de Saint Cannat,ChIJM1j1X5D2yRIRPKh8g7eqxCs,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.6120696,5.3180487,Conflits et Stratégie,ChIJGyDjVSL0yRIRp6KcuRHADBo,"[u'book_store', u'store', u'point_of_interest', u'establishment']"
0,43.6106066,5.2977,Iryse Distribution,ChIJK4p9e732yRIR2s8F5LNqo4U,"[u'point_of_interest', u'establishment']"
0,43.612377,5.317241,Pierre et Céramique d'Aix,ChIJHUQq_iL0yRIRxs4NjXrKMi0,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6138935,5.3172323,La Table De Charlotte,ChIJLbsykSP0yRIRVXssDD7N_nI,"[u'food', u'point_of_interest', u'establishment']"
0,43.614365,5.3173726,3T-Meca,ChIJkZ8y6iP0yRIRpZkZdi_JzgE,"[u'point_of_interest', u'establishment']"
0,43.6147584,5.3173458,ADEMLOG,ChIJ9wHWiSP0yRIRzxi9a3c3MgU,"[u'point_of_interest', u'establishment']"
0,43.6151506,5.318031,CENTRE REGIONAL DE LA CHEMINEE,ChIJDXH0giP0yRIRGztlwjAfgaI,"[u'point_of_interest', u'establishment']"
0,43.6139238,5.3179139,CONFI'13,ChIJe7_z4s-NyRIRMvDopK99HLU,"[u'point_of_interest', u'establishment']"
