,Latitude,Longitude,Name,Place_id,Type
0,43.550669,5.034508,Saint-Chamas,ChIJTRirTeoCthIRTIH89NUuxbE,"[u'locality', u'political']"
0,43.5429101,5.0745557,Pavillon Les Cresets,ChIJ-T4XPEL9yRIRCk0PxSI7x-o,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.548451,5.069684,Dauba Eric,ChIJAfX2GWb9yRIR7B1fAdug12M,"[u'point_of_interest', u'establishment']"
0,43.548696,5.069621,Le Château des Plaines Saintes-Marthe,ChIJgfoKEGb9yRIRTuAMVxZGaBI,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.532813,5.067682,CT2M,ChIJPVXAZeoCthIRtPC0VP_JKeo,"[u'point_of_interest', u'establishment']"
0,43.527454,5.0797481,EDF-GRPH Méditerranée Groupe Régional de Production Hydraulique Méditerranée,ChIJDSR0hlL9yRIR_XvRF2nqXbc,"[u'point_of_interest', u'establishment']"
0,43.531705,5.080188,unnamed,ChIJnYqm0Un9yRIRVBaE7p9UkTg,"[u'point_of_interest', u'establishment']"
0,43.527432,5.073186,13250,ChIJ1wXO_kz9yRIRMZhU44ZLmU0,"[u'point_of_interest', u'establishment']"
0,43.5269267,5.0727737,Centrale Electrique Saint Chamas,ChIJ-yYOHU39yRIRLUDwcl_VCsU,"[u'point_of_interest', u'establishment']"
0,43.5269229,5.067505,France,ChIJ46OJHlP9yRIRYkg3Mpu61no,"[u'parking', u'point_of_interest', u'establishment']"
0,43.557698,5.075454,PL2G Immobilier,ChIJ06PFVtwDthIRp34D0mHxDBE,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.55815,5.076102,SOS Informatique 13,ChIJu0yY-nP9yRIRopf6JN6mxDU,"[u'point_of_interest', u'establishment']"
0,43.5565805,5.0758107,Zone d'activité La Pecette,ChIJXwTn0HP9yRIRRPEJy6tk63M,"[u'point_of_interest', u'establishment']"
0,43.5567962,5.0756112,SARL MARTINEZ RENE ET FILS,ChIJPVXAZeoCthIR5L3HfhxkmKU,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5606748,5.071571,MSS record,ChIJL8FqDXf9yRIRbAUYhU_ZC8A,"[u'point_of_interest', u'establishment']"
0,43.56073,5.071668,A-P-R-CLAUDE,ChIJp5rd7OsCthIRbJ1C4fKj_Iw,"[u'point_of_interest', u'establishment']"
0,43.55605,5.075326,Conseil Formation Création,ChIJm_1M2GL9yRIRSae3lYx3lig,"[u'point_of_interest', u'establishment']"
0,43.558002,5.075465,SWYD,ChIJt8NjoukCthIRTQDdKV3Ozvo,"[u'point_of_interest', u'establishment']"
0,43.560466,5.0743562,Chapelle Saint-Vincent,ChIJ9Xs15nb9yRIR3Mja-r_YFaE,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.561546,5.072442,Atelier du Carton,ChIJldR2ZTP8yRIR7WaWtJsKMiM,"[u'point_of_interest', u'establishment']"
0,43.56219,5.0722569,Cornillon-Confoux,ChIJzRaqCXj9yRIR_yAzkDXzIo0,"[u'locality', u'political']"
0,43.544233,5.053008,SUDCOSMETICS,ChIJE2DIhF0BthIRXXqbuT4CC3A,"[u'point_of_interest', u'establishment']"
0,43.539976,5.053722,Le Mas du Roseau,ChIJWaFKjXf9yRIRbYyP0gCYndI,"[u'point_of_interest', u'establishment']"
0,43.543289,5.052747,L'age de Pierre,ChIJgVPAZeoCthIRiHpioBWiY18,"[u'point_of_interest', u'establishment']"
0,43.543423,5.052312,Medica plus,ChIJjVTAZeoCthIRX78vRkhDvMw,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.5432174,5.0564415,MARTINS ET L'ART DU TOIT,ChIJgcd8r6ECthIRmQcVGEuqFpk,"[u'point_of_interest', u'establishment']"
0,43.543209,5.0545289,Sarl Amdo,ChIJhekJUqICthIRkBZ24qCKm-4,"[u'point_of_interest', u'establishment']"
0,43.54312,5.0545111,Medica,ChIJL3krKqICthIRvmtCK1UF_3Y,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.543165,5.052709,Zone Artisanale des Plaines Sud,ChIJhekJUqICthIRZbRUWgXcuu8,"[u'point_of_interest', u'establishment']"
0,43.52762,5.08299,La Pinède,ChIJDSR0hlL9yRIRoWbwe4WwmbE,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.527838,5.082515,Beau Rivage,ChIJIUXQujX9yRIRFgNWlkaEmkg,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.588896,5.002136,Miramas,ChIJza-aYrADthIRQFNhmV8_0cw,"[u'locality', u'political']"
0,43.557381,5.058774,Le Mas de la Rabassière,ChIJUSbFZoICthIRiUcRbmLWbgw,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5532614,5.0600836,L'Escapade,ChIJp9OGVesCthIReTKd1-tRMk0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5440577,5.0462175,Tennis Club de Saint Chamas,ChIJRaTuSL4CthIRvstDHu5b-r4,"[u'point_of_interest', u'establishment']"
0,43.5425835,5.048778,Les Charpentiers de Provence,ChIJ5RUU0LwCthIRXSyfrrAWsLo,"[u'point_of_interest', u'establishment']"
0,43.539507,5.050238,RM2S Revêtements Métallisations Soudures Spéciales,ChIJjVTAZeoCthIRsKhZcnMNHbM,"[u'store', u'point_of_interest', u'establishment']"
0,43.5461061,5.0487737,Parcomvet,ChIJj_T575cCthIR1-I57G067FU,"[u'store', u'point_of_interest', u'establishment']"
0,43.5394923,5.050444,RM2S,ChIJu49Kv6QCthIRTd69JmZ1u1Q,"[u'store', u'point_of_interest', u'establishment']"
0,43.5486879,5.0460176,Abeel,ChIJJf5e7pYCthIRwPt8Uelwock,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.536571,5.048196,Deshons Hydraulique,ChIJmTxbvboCthIR147NuAqXUc0,"[u'point_of_interest', u'establishment']"
