,Latitude,Longitude,Name,Place_id,Type
0,43.638628,4.812107,Saint-Martin-de-Crau,ChIJvdow99MLthIRjbqdXn-T3UM,"[u'locality', u'political']"
0,43.611543,4.860786,Marchetto Jerome,ChIJWeTOztIIthIR_qwsMhshTIc,"[u'point_of_interest', u'establishment']"
0,43.611543,4.860786,La Crau Energies Vertes,ChIJWeTOztIIthIRD6BlBxDJBwg,"[u'point_of_interest', u'establishment']"
0,43.601662,4.874926,Titanobel,ChIJJ7vjZEgPthIRpK2P2SgnHwU,"[u'food', u'point_of_interest', u'establishment']"
0,43.601729,4.874768,Guigue Jacky,ChIJJ7vjZEgPthIRe9c1k39a8eA,"[u'food', u'point_of_interest', u'establishment']"
0,43.601729,4.874768,Lextrait Alfred,ChIJJ7vjZEgPthIRaebn1SV84Bo,"[u'food', u'point_of_interest', u'establishment']"
0,43.601662,4.874926,Balbis Catherine,ChIJJ7vjZEgPthIRuqWKvO_Seuk,"[u'food', u'point_of_interest', u'establishment']"
0,43.601662,4.874926,SCEA Le Petit Rouvian,ChIJJ7vjZEgPthIRLJE8JRvO6OA,"[u'point_of_interest', u'establishment']"
0,43.601662,4.874926,Les Jours Heureux,ChIJT1TiZEgPthIRS5LgufW5LkY,"[u'point_of_interest', u'establishment']"
0,43.601662,4.874926,Mas Paul,ChIJJ7vjZEgPthIRhKhpoiNFlTQ,"[u'point_of_interest', u'establishment']"
0,43.601662,4.874926,Balbis Henri Baptiste,ChIJJ7vjZEgPthIRAjgc3V5RQBc,"[u'food', u'point_of_interest', u'establishment']"
0,43.6028634,4.8765062,Centre d'enfouissement MPM d'Entressen,ChIJA0r65kgPthIR8FGA_UbyLi0,"[u'park', u'point_of_interest', u'establishment']"
0,43.595746,4.841375,13310,ChIJv0HiLcMOthIRXdXgQpa3V9I,"[u'point_of_interest', u'establishment']"
0,43.626862,4.866737,Dumas Jean,ChIJe6xHxMMIthIRwIUn86AHmrs,"[u'food', u'point_of_interest', u'establishment']"
0,43.637534,4.859135,13310,ChIJ8awOWOQIthIRIy4ZYCKKLRY,"[u'point_of_interest', u'establishment']"
0,43.63781,4.857619,13310,ChIJyxTFhuQIthIRG1FT6izF7Rw,"[u'point_of_interest', u'establishment']"
0,43.638257,4.857534,13310,ChIJ-VWlnOQIthIRY_KjtwoeUb8,"[u'point_of_interest', u'establishment']"
0,43.638394,4.85931,13310,ChIJGb3F5eQIthIRZu9OM5LcsbM,"[u'point_of_interest', u'establishment']"
0,43.629913,4.872637,POMPES FUNEBRES Pascal LECLERC,ChIJ9XVXquoIthIRT8c_VBSa7lE,"[u'funeral_home', u'point_of_interest', u'establishment']"
0,43.637013,4.870729,La Lieutenante,ChIJmTXYReQGthIRfPDjWHgN5es,"[u'food', u'point_of_interest', u'establishment']"
0,43.577933,4.871756,Le Petit Carton,ChIJ79hpvAwPthIRnYKklc08R0M,"[u'point_of_interest', u'establishment']"
0,43.5883442,4.8833823,Entrepot Logtrans,ChIJ9cDQK2YPthIRd-gNssCsZNU,"[u'point_of_interest', u'establishment']"
0,43.592096,4.827636,Bergerie de Baussenq,ChIJkZRIvpUOthIRCuXH_P8t6Ss,"[u'point_of_interest', u'establishment']"
0,43.6558839,4.8562092,La Jumenterie du village,ChIJh0ZGwVMIthIR5De1nE5JAs8,"[u'lodging', u'food', u'point_of_interest', u'establishment']"
