,Latitude,Longitude,Name,Place_id,Type
0,43.4376515,5.0368613,Saint-Mitre-les-Remparts,ChIJwSnDbiwcthIRcP-W_aUZCAQ,"[u'locality', u'political']"
0,43.4635381,5.0173831,Résidence La Provence,ChIJN4BL0DIcthIRA21BJbAz1iA,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.4538546,5.0137906,AC DECO,ChIJEbPY0SscthIRfglo7orUE_Y,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4518899,5.0141001,Mairie de SAINT MITRE LES REMPARTS,ChIJh2oyZSkcthIR32b0xzzhBUw,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4533185,5.0142983,Les Remparts,ChIJTexjNiocthIR5h6n1hRKDZ4,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4518881,5.0141312,Mairie Social CCAS,ChIJMZDoRykcthIRLUSsUDHaprI,"[u'point_of_interest', u'establishment']"
0,43.4534948,5.0131649,Agence Saint-Mitre Saint-Chamas,ChIJHQ1S1SscthIRZ0HoAocAYAk,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.453775,5.020161,FIT'N'SOL,ChIJjVKQwdQdthIRghSXDhuZhqk,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.4549081,5.0121395,Docteur Gaëlle Maury,ChIJa-_23z0ethIRHm6K5VsDNb0,"[u'dentist', u'health', u'point_of_interest', u'establishment']"
0,43.4535097,5.0129702,Caisse d'Epargne Saint Mitre les Remparts,ChIJHbsrxCscthIRH0S2v6XoczA,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.4528864,5.0167991,Post Office,ChIJOTH9WyocthIRvBt7o2ebm5I,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.4537369,5.0108467,La Manare,ChIJ5ZlYBikcthIRmaIENhwUYtc,"[u'point_of_interest', u'establishment']"
0,43.4536133,5.0147582,Sarl Jevousloge,ChIJkXMusiscthIRmDXX-fEe_wQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
