,Latitude,Longitude,Name,Place_id,Type
0,43.6870649,5.707942,Saint-Paul-lez-Durance,ChIJXZzeAeAqyhIR6RUEeEIEwwE,"[u'locality', u'political']"
0,43.6937032,5.761583,SSB,ChIJ_____-_UyxIRiaXLFQ-1wqc,"[u'point_of_interest', u'establishment']"
0,43.699005,5.746921,Commissariat à l'Énergie Atomique (Centre de Cadarache),ChIJIfwe4cPUyxIROJLQLqbo6Lo,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.701016,5.741987,HABITAT PLURIEL - Résidence Le Hameau,ChIJiy1Y-h8ryhIR1w0XQv1fcZo,"[u'point_of_interest', u'establishment']"
0,43.702772,5.744797,13115,ChIJWcHUOMfUyxIR2x6HKKGlrBM,"[u'point_of_interest', u'establishment']"
0,43.693441,5.7324386,Resid'Artel Val De Durance,ChIJS863sdLUyxIRgYV5IrAFKZM,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6992169,5.7407159,CEA Cadarache,ChIJExT1v_zUyxIRvwK4NJralIo,"[u'point_of_interest', u'establishment']"
0,43.698212,5.735015,O.T.C,ChIJe-R-zNQByxIRZqGw9y6iMx8,"[u'point_of_interest', u'establishment']"
0,43.69821,5.73501,Segula Technologies Sud,ChIJd4byJszUyxIRdA-_6mqUW_I,"[u'point_of_interest', u'establishment']"
0,43.6924139,5.7340265,Usimec,ChIJy8pZ-h8ryhIRVakV6rZsvOM,"[u'point_of_interest', u'establishment']"
0,43.693639,5.733318,Energy Terre,ChIJTTFYQ9LUyxIRr61V8a8d2mU,"[u'point_of_interest', u'establishment']"
0,43.698248,5.7344274,Santé au Travail Provence,ChIJy8pZ-h8ryhIR094cs3-371c,"[u'point_of_interest', u'establishment']"
0,43.6936782,5.7327558,Derichebourg Services Industries,ChIJo6cuX9LUyxIRnBd4pVuoyIY,"[u'point_of_interest', u'establishment']"
0,43.6937516,5.7325261,Segula Technologies Sud,ChIJpd-A9dLUyxIR8GT_XWbUd1Q,"[u'point_of_interest', u'establishment']"
0,43.6938187,5.7344566,MAINCO AREVA ST PAUL LES DURANCE,ChIJJYNxPdLUyxIRmzmxZfGj2WQ,"[u'point_of_interest', u'establishment']"
0,43.698371,5.735292,13115,ChIJV2gXns7UyxIRpFLee3fCsHM,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.6977428,5.7348023,CEA - Cité Des Énergies,ChIJzROdLszUyxIRrFt9QKar2yA,"[u'point_of_interest', u'establishment']"
0,43.693659,5.733906,L'URBAN,ChIJy8pZ-h8ryhIR8W5o3tPj5Ks,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.698212,5.735015,Mandico Albert,ChIJi4ntJszUyxIRgxiOHcW_h78,"[u'point_of_interest', u'establishment']"
0,43.70028,5.7392116,SAINT-PAUL-LeS-DURANCE Rond point CEA le hameau,ChIJsch0uMjUyxIRWAStbJAYqtg,"[u'bus_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.606476,5.7565929,Rians,ChIJK0ERQnx_yRIRQMqP_aUZCAQ,"[u'locality', u'political']"
0,43.658184,5.757562,Les Dérots,ChIJ0w3J327VyxIRujycTG-pXmA,"[u'premise', u'point_of_interest', u'establishment']"
0,43.6767718,5.7776703,IRSN - Bât. 720,ChIJA6b3za7VyxIR3Zab5o6Okls,"[u'point_of_interest', u'establishment']"
0,43.716427,5.752932,I.n.s.t.n.,ChIJm_0S75jUyxIRWXSKi4Z2uzI,"[u'school', u'point_of_interest', u'establishment']"
0,43.7159509,5.750509,13115,ChIJoc7vfKLUyxIRBOogWJlbkYw,"[u'point_of_interest', u'establishment']"
0,43.7164907,5.749197,Chateau de Cadarache,ChIJ2bMiRaLUyxIRHZ3vbV23Yn0,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7171779,5.746493,13115,ChIJUeVO7aPUyxIRSK5Mbmv63PM,"[u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.737653,5.688886,Beaumont-de-Pertuis,ChIJ6-7gC4ksyhIRstnikND2zsA,"[u'locality', u'political']"
0,43.704766,5.7699139,Omega Consortium iter,ChIJ9cYL-4rUyxIRVf2q5DB01lc,"[u'point_of_interest', u'establishment']"
0,43.7025549,5.734638,13115,ChIJSbgPLsrUyxIRzhwAs1RSRJw,"[u'point_of_interest', u'establishment']"
0,43.702847,5.734162,13115,ChIJ_VzfOcrUyxIR4tO8I4yaREg,"[u'point_of_interest', u'establishment']"
0,43.702744,5.734108,13115,ChIJg_sIN8rUyxIRjGORwI_4p_o,"[u'point_of_interest', u'establishment']"
0,43.700345,5.734703,unnamed,ChIJt__o-svUyxIRju_gPlbdg68,"[u'point_of_interest', u'establishment']"
0,43.6925102,5.7265796,Imex Services,ChIJx3JRRSwryhIRDriqdn6l5VI,"[u'point_of_interest', u'establishment']"
0,43.6934229,5.7276122,Savoir & Mets,ChIJBTWSBi0ryhIRUZFFVNcwTuw,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.692278,5.726481,O.T.C,ChIJk8AP_isryhIRjB-AxYnOyDI,"[u'point_of_interest', u'establishment']"
0,43.6914113,5.7256929,GTM Sud,ChIJH9z8DywryhIR4OjCTelL2Zs,"[u'point_of_interest', u'establishment']"
0,43.6916122,5.7250908,Csmr,ChIJyahmWdLUyxIRQqoaoDy4sVU,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.6916122,5.7250908,Sogedec,ChIJyahmWdLUyxIRyvSaJbMs0e8,"[u'point_of_interest', u'establishment']"
0,43.6916122,5.7250908,ATR Ingenierie,ChIJ8QynHiwryhIR016yCIb_mdk,"[u'point_of_interest', u'establishment']"
0,43.691612,5.725091,Valtech Industrie,ChIJmw2nHiwryhIRTMTDTnEJTJ4,"[u'point_of_interest', u'establishment']"
0,43.6916122,5.7250908,SGN sté Générale pour Techniques Nouvelles,ChIJyahmWdLUyxIRE8ItbMcXU4I,"[u'point_of_interest', u'establishment']"
0,43.690857,5.725419,Groupe Institut de Soudure Cadarache,ChIJo_Js_isryhIRVGWdUmaObJI,"[u'point_of_interest', u'establishment']"
0,43.6916647,5.724992,Delta 3 E,ChIJiw2nHiwryhIRdHgb5NTUwJs,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.6911855,5.7246943,Orys,ChIJfcyUrS4ryhIR0CkKg7ueap0,"[u'point_of_interest', u'establishment']"
0,43.6906204,5.7246979,Agence d’intérim Manpower St Paul Les Durance Recrutement offres d’emploi Jobs,ChIJm_0S75jUyxIRPbE1UQ_cMLQ,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.6905677,5.7246976,Société Industrielle Littoral Méditérranéen,ChIJo_Js_isryhIRXolwqziWiLE,"[u'point_of_interest', u'establishment']"
0,43.6905677,5.7246976,Menpro,ChIJo_Js_isryhIRcQ7cqIkMM_I,"[u'point_of_interest', u'establishment']"
0,43.6905677,5.7246976,Inéo A N C,ChIJo_Js_isryhIRfag0BQpWmpg,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.6928154,5.7275818,Steph Auto,ChIJaTvNDeAqyhIRVdmMHfddCbc,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6922369,5.7272732,C.T.E (Controles Tests Expertises Nordtest),ChIJxWaTWCwryhIRxWF7PAUvAM4,"[u'point_of_interest', u'establishment']"
0,43.6922369,5.7272732,Cofely (GDF Suez E.s.),ChIJxWaTWCwryhIRkexQDr3VB8A,"[u'point_of_interest', u'establishment']"
0,43.6922369,5.7272732,GDF Suez Energie Services,ChIJxWaTWCwryhIRyVAAQ3jjG0k,"[u'point_of_interest', u'establishment']"
0,43.6920318,5.726307,Centre de travaux de Cadarache,ChIJp0ycQSwryhIRkOZFkysZSYU,"[u'point_of_interest', u'establishment']"
0,43.6910972,5.725639,Societe de Peinture Lucas,ChIJI5yqDiwryhIR_yV3d5PrLHE,"[u'painter', u'point_of_interest', u'establishment']"
0,43.691279,5.7253086,De Castro Sarl,ChIJH9z8DywryhIR4FtdnWc5cQ8,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.6916122,5.7250908,A.P.P.A Adell Portail Automatique,ChIJ4a5mWdLUyxIRwJkQNg1ry4w,"[u'point_of_interest', u'establishment']"
0,43.6916157,5.7250736,GGC,ChIJQVynHiwryhIRBd9KlMcO7Fw,"[u'point_of_interest', u'establishment']"
0,43.6912927,5.724999,C.T.E (Controles Tests Expertises Nordtest),ChIJLeZCAywryhIRsZA-MCOd8Mo,"[u'point_of_interest', u'establishment']"
0,43.6905677,5.7246976,Endel,ChIJiy1Y-h8ryhIR-vVd3QgD3Nc,"[u'point_of_interest', u'establishment']"
0,43.6914878,5.7245577,La Ferbleue,ChIJAYFfpi4ryhIRmaUUtKTSkLQ,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.6905677,5.7246976,C-Con France,ChIJiy1Y-h8ryhIR8ULr2nUWVkQ,"[u'point_of_interest', u'establishment']"
0,43.6903542,5.7242444,Cegelec Sud Est,ChIJiy1Y-h8ryhIR5tiCWyMHGjc,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.6909693,5.7242187,Cofely,ChIJfcyUrS4ryhIRLMZVA1zarsw,"[u'point_of_interest', u'establishment']"
0,43.6899997,5.723095,Bouygues Energies & Services Centre Cadarache,ChIJLQjxQSkryhIRsCemA-wKLnQ,"[u'point_of_interest', u'establishment']"
0,43.6909693,5.7242187,Akka Services,ChIJfcyUrS4ryhIRSz5dlpxfSw0,"[u'point_of_interest', u'establishment']"
0,43.69103,5.724127,Ekium,ChIJfcyUrS4ryhIReqQ7y9u_gvU,"[u'point_of_interest', u'establishment']"
0,43.69103,5.724127,S.t.c.,ChIJfcyUrS4ryhIR5HpcgcGcFWw,"[u'point_of_interest', u'establishment']"
0,43.6880069,5.716051,Ronin,ChIJndqThyAryhIRFcHgIxZSBBo,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.690532,5.724374,unnamed,ChIJQdn5UykryhIR-8keqmPYQQo,"[u'point_of_interest', u'establishment']"
0,43.6909693,5.7242187,S.a.i.s.i,ChIJfcyUrS4ryhIRGgVbKzZRkb4,"[u'point_of_interest', u'establishment']"
0,43.69103,5.724127,Nassau Boyer Maryse,ChIJfcyUrS4ryhIRiBC9WA8R_58,"[u'point_of_interest', u'establishment']"
0,43.69103,5.724127,Velio Christian,ChIJfcyUrS4ryhIRKHXCkzaSxT4,"[u'point_of_interest', u'establishment']"
0,43.6878589,5.7189978,Station Service Carrosserie Mecanique Gard,ChIJP6dIa-AqyhIRZbZwqQPunHw,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6898276,5.718471,Moto Club St Paul Les Durances,ChIJiUjgPSYryhIRTe62oUTlhb8,"[u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.690408,5.718646,unnamed,ChIJ6wtKECYryhIRq36LRJN3BBA,"[u'point_of_interest', u'establishment']"
0,43.726075,5.81282,Vinon-sur-Verdon,ChIJP_L751XRyxIR3hLp3YX6uCo,"[u'locality', u'political']"
0,43.7226798,5.7444218,Villa Le Grand Chene,ChIJYx_uZ6fUyxIRKZTeAyaXtSQ,"[u'point_of_interest', u'establishment']"
0,43.7110989,5.7728863,13115,ChIJm75uvWLUyxIR5vUY1GOzUSU,"[u'parking', u'point_of_interest', u'establishment']"
0,43.7071903,5.7753969,ITER Organization,ChIJ_3zRqYvUyxIRztFDJEq1g6c,"[u'point_of_interest', u'establishment']"
0,43.7103534,5.7770401,ITER HQ,ChIJzVeDZGPUyxIRMjqZLRv2GLA,"[u'point_of_interest', u'establishment']"
0,43.697319,5.718528,84120,ChIJY_m5ljoryhIRJ243rIjRo_0,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.6988028,5.7193373,Grotte de Saint Eucher,ChIJ_a4neDoryhIR8qpTPaSnX0U,"[u'point_of_interest', u'establishment']"
0,43.685055,5.709152,Relais de l'Abéou,ChIJGfNoPt4qyhIRtyFSa3LjZAE,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6870095,5.7083142,Sarl Cafe Restaurant de la Mairie,ChIJR-Pl_B8ryhIRbfKxIH71BbA,"[u'cafe', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.68693,5.710136,Le Boeuf Chantant,ChIJeR1sjd8qyhIRqtyziho3AjQ,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6860724,5.7127897,STATION SERVICES ELAN,ChIJmVeKXd8qyhIRS4L71G4L23k,"[u'gas_station', u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Energie Industrie Services,ChIJiy1Y-h8ryhIR8LxWEXTjGdQ,"[u'point_of_interest', u'establishment']"
0,43.6855204,5.7117965,Fondatech,ChIJiy1Y-h8ryhIRyLesICu8sx8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.686176,5.710346,Mavi,ChIJeR1sjd8qyhIRZK5qflvJCQ8,"[u'point_of_interest', u'establishment']"
0,43.686779,5.710427,Cazo'Vins,ChIJ0-CNit8qyhIRigBBfjyEqYE,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Wurth France,ChIJiy1Y-h8ryhIR8YZAie8dtv8,"[u'store', u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Centre de Secours,ChIJiy1Y-h8ryhIR9fGPYoMuSss,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Office National des Forêts (O.N.F.),ChIJiy1Y-h8ryhIRtD2rL_jdEIQ,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Kiloutou,ChIJiy1Y-h8ryhIR2ZaFMcO8FHU,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Kaefer Wanner,ChIJiy1Y-h8ryhIRsA01R9FJ0hU,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Art et Culture Cadarache,ChIJiy1Y-h8ryhIRwB8iHFiIbzk,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Phocomex,ChIJiy1Y-h8ryhIRYkLPron_pOU,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Delta 3 E,ChIJiy1Y-h8ryhIRpT36nm8kn_w,"[u'point_of_interest', u'establishment']"
0,43.686998,5.708373,Mairie,ChIJGerl_B8ryhIRGr7b79sI97M,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Intercontrôle,ChIJiy1Y-h8ryhIRb5Femh6Vn2E,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Spie Nucléaire,ChIJy8pZ-h8ryhIRaPh8xIORSrg,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Effinor Services,ChIJy8pZ-h8ryhIRbygHK-CblK4,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,D Et S,ChIJy8pZ-h8ryhIRST_g6u0vhJ4,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,E.D.F Electricité De France,ChIJy8pZ-h8ryhIRfuWipDbdXo0,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Mainco,ChIJy8pZ-h8ryhIRr3OhOibfBn0,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Delta 3 E,ChIJy8pZ-h8ryhIRVu5a6Nu7VVw,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Reel,ChIJy8pZ-h8ryhIRou-lsgTP1z4,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Akka Services,ChIJy8pZ-h8ryhIReXUpxRWs0D0,"[u'finance', u'point_of_interest', u'establishment']"
0,43.687302,5.708441,L' Air Liquide,ChIJy8pZ-h8ryhIRdDCpFKOKoxU,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Cegelec Sas,ChIJy8pZ-h8ryhIR-lB7Rh1chhM,"[u'point_of_interest', u'establishment']"
0,43.687302,5.708441,Elitt,ChIJy8pZ-h8ryhIR9BcMY0Tbzwo,"[u'point_of_interest', u'establishment']"
0,43.687305,5.708371,ONET Services,ChIJ4Ujv-h8ryhIRJzjLPxUrEvM,"[u'point_of_interest', u'establishment']"
0,43.687064,5.707975,PROMAN,ChIJmRTg4x8ryhIRUq1-9QPDrqs,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.687049,5.708081,CSMR-CIMAT - Saint-Paul-lès-Durance,ChIJTVVVVeXUyxIRWkr3rZM4Es4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.687057,5.707952,FOSELEV PROVENCE - Cadarache,ChIJmRTg4x8ryhIRs09kWK79o6Q,"[u'moving_company', u'point_of_interest', u'establishment']"
0,43.683887,5.707385,Bagarry Patrick,ChIJiy1Y-h8ryhIRBSA3_stDqok,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.66243,5.72241,Le Carry,ChIJlXZ11LYqyhIR6iT_xHV2ixA,"[u'point_of_interest', u'establishment']"
0,43.671062,5.848495,Ginasservis,ChIJe4zGmD7WyxIRoMyP_aUZCAQ,"[u'locality', u'political']"
0,43.636647,5.63955,Jouques,ChIJd0Vr3MaAyRIRkAKX_aUZCAQ,"[u'locality', u'political']"
0,43.6829825,5.7095714,Jouques Peinture Jouques Peinture Philippe,ChIJac3ZGd4qyhIRSEjrOohQsXU,"[u'point_of_interest', u'establishment']"
0,43.6996589,5.792752,Le Prionnet,ChIJ7Z6Xe0DUyxIRLA210O3cMnY,"[u'premise', u'point_of_interest', u'establishment']"
0,43.694275,5.713287,BOURJAC,ChIJh-nBcSMryhIRuqG9DKhV3Gc,"[u'point_of_interest', u'establishment']"
0,43.694893,5.712016,unnamed,ChIJX03wGCMryhIRAribwfAc3LQ,"[u'point_of_interest', u'establishment']"
0,43.6874014,5.7042964,A.p.o.a.e.s,ChIJ-79YAx4ryhIRmhFwxfKfuX4,"[u'point_of_interest', u'establishment']"
0,43.687315,5.704262,Town Hall,ChIJ-79YAx4ryhIR69IudZ2P3fI,"[u'school', u'point_of_interest', u'establishment']"
0,43.687555,5.7045389,Le Retour,ChIJse1uGh4ryhIRyigZy36-LHY,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.6849244,5.7082896,TAXI JEAN MARC,ChIJPWPOeuAqyhIRRHRc4lIrJNE,"[u'point_of_interest', u'establishment']"
0,43.684967,5.71042,13115,ChIJAcrNud8qyhIR6UIUKKGfetA,"[u'fire_station', u'point_of_interest', u'establishment']"
0,43.686498,5.707236,13115,ChIJIVJtJOAqyhIRWrzjzoQ6Rjo,"[u'point_of_interest', u'establishment']"
0,43.6866747,5.7074558,Groupe Scolaire,ChIJX797IeAqyhIRJjyuM7QB0pc,"[u'point_of_interest', u'establishment']"
0,43.6865,5.710391,13115,ChIJywkLi98qyhIRh51pqSkgiKM,"[u'parking', u'point_of_interest', u'establishment']"
0,43.6868924,5.7099487,Castelano Joseph,ChIJeR1sjd8qyhIRsAyBkCOpZDc,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.687131,5.709202,13115,ChIJwdLtAyAryhIRBR9KrNSqku0,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.6870649,5.707942,Garage AD Expert,ChIJmRTg4x8ryhIRhEPTbu5iFaw,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.686646,5.7105314,L' Accent,ChIJeR1sjd8qyhIRG3rMvyGmxVM,"[u'restaurant', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.687187,5.708236,13115,ChIJp1W25B8ryhIRipYtzokV6Ig,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.6870673,5.7099323,Le Salon Elise,ChIJ45wEDCAryhIRkf0CiIj44g0,"[u'point_of_interest', u'establishment']"
0,43.6870673,5.7099323,Cuomo Pasquier Stephanie,ChIJ45wEDCAryhIR6Ovtxqf85QI,"[u'point_of_interest', u'establishment']"
0,43.6873,5.70844,Sci Adda,ChIJiy1Y-h8ryhIRnzgtGmHszjI,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
