,Latitude,Longitude,Name,Place_id,Type
0,43.788652,4.831343,Saint-Rémy-de-Provence,ChIJ80hgrDHktRIR3XcOUlvR8rU,"[u'locality', u'political']"
0,43.7842104,4.841853,Hôtel Canto Cigalo,ChIJHa4IVV3ktRIR8mSPRXbTISc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7863925,4.8587022,Hôtel De La Caume,ChIJhWJ5t0DktRIRs90JOCfbFnE,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7891508,4.845344,Camping Le Parc de la Bastide,ChIJzwyJWkPktRIRu1GXW5ppgN4,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.781954,4.85012,Mas de l'Amarine - St Remy de Provence,ChIJdZ9pUGDktRIRSt63qiDKoGc,"[u'lodging', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.7828532,4.8510153,Abacasud,ChIJNw8f_VzktRIRDJiJHpHQpD4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.7874856,4.8472795,Le Garage,ChIJHdTnlV7ktRIROABEgh47flI,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.7870039,4.8560437,Ajvt,ChIJsTPvjvHktRIRIvqGxGiwRNo,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.7817914,4.8552505,Domaine Milan,ChIJv4m7GovktRIR4tjS3uE01Tc,"[u'food', u'point_of_interest', u'establishment']"
0,43.7828733,4.8505962,Abaca Sud,ChIJcfxibGDktRIR7RGzjiNrOiE,"[u'point_of_interest', u'establishment']"
0,43.781745,4.845925,Gitevasion.com,ChIJPdzLJmfktRIRzxM8U2lDuLA,"[u'travel_agency', u'real_estate_agency', u'lodging', u'point_of_interest', u'establishment']"
0,43.782077,4.844688,Gites Piscine La Balancelle,ChIJrSUJnJPktRIRssI0ftyg9-8,"[u'travel_agency', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.783664,4.86113,SCEA Delacommune,ChIJXyHfyfLktRIRmMO5X4id2ls,"[u'point_of_interest', u'establishment']"
0,43.78432,4.8416819,Hostellerie Du Vallon De Valrugues,ChIJmZg1q0LktRIRLMYeeESlss8,"[u'point_of_interest', u'establishment']"
0,43.785698,4.8619,"AC13 cheminée, Saint Rémy de Provence,avingon, alpilles,luberon,poêles à bois et granulés",ChIJPxttffLktRIRRHVEThnOaD4,"[u'store', u'point_of_interest', u'establishment']"
0,43.787415,4.845002,Clinique Vétérinaire des Alpilles,ChIJ0c7YV-zktRIRVslMpT5tLXI,"[u'veterinary_care', u'point_of_interest', u'establishment']"
0,43.782039,4.84452,4 Gites en Provence,ChIJUXf1BmfktRIReoSSAjnu-Uk,"[u'travel_agency', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.78226,4.844386,La Balancelle,ChIJt2_0p0DktRIR6FgazGsbDEo,"[u'point_of_interest', u'establishment']"
0,43.789537,4.861975,"Au mas vinos, appartement & location saisonnière, saint remy de provence, alpilles",ChIJ-_BbgX3vtRIRA0jJjoJKrvs,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7831094,4.8498473,Tortel Jean-Marc,ChIJvTxEY2DktRIRvg0QtEnii3I,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.7844627,4.8416699,Olea,ChIJEZliq0LktRIRBI563qERa-E,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.78432,4.8416819,Hôtelière de Valrugues,ChIJmZg1q0LktRIR7w05FFcXaUs,"[u'point_of_interest', u'establishment']"
0,43.784402,4.841578,irna,ChIJp3ioR0fktRIRhexPmKZMO0Y,"[u'point_of_interest', u'establishment']"
0,43.7844452,4.8414011,KILOWATT,ChIJzVIFrELktRIRT57t2Rx2W7k,"[u'general_contractor', u'electrician', u'point_of_interest', u'establishment']"
0,43.7829839,4.8523752,"Mas Aurelia, Vacation Rental",ChIJaQULporktRIRJnoRIfiKKg0,"[u'travel_agency', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7832204,4.8499596,Monteux PN Arboriculture,ChIJeYRfQPcHthIRDTa6A0CJtoU,"[u'point_of_interest', u'establishment']"
0,43.7832204,4.8499596,Pellat Roger Hubert,ChIJeYRfQPcHthIR0mfRjdG3uyA,"[u'food', u'point_of_interest', u'establishment']"
0,43.783444,4.8498206,Gros Sonia,ChIJF0D8e2DktRIR29BW3_LkIAE,"[u'point_of_interest', u'establishment']"
0,43.7831098,4.849598,Mistral Gagnant Eurl,ChIJlYIGdIHltRIRy25BIhsrYps,"[u'point_of_interest', u'establishment']"
0,43.781691,4.849391,Bar de la Galine,ChIJ22C1-GDktRIR5D_tOMn25D8,"[u'point_of_interest', u'establishment']"
0,43.785434,4.848107,Loiseau Olivier Nicolas Christian,ChIJrZvIaV7ktRIRtJROxQLxjZM,"[u'point_of_interest', u'establishment']"
0,43.785434,4.848107,Baculard Sebastien,ChIJrZvIaV7ktRIRFS5qCjplriE,"[u'point_of_interest', u'establishment']"
0,43.787197,4.850256,13210,ChIJY2CuF1_ktRIRtqNY4-BLyEg,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.7874804,4.8493413,Baudry Pascal Charles,ChIJ_dMQ317ktRIRDcQv_Ns_gOc,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.7884416,4.8520705,Perez Et Fils Earl,ChIJ_04AAPbktRIRs7qB4k_G7A0,"[u'point_of_interest', u'establishment']"
0,43.7873543,4.8489571,Deltorre Sébastien,ChIJ_dMQ317ktRIR2T4xH3jevBk,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.787715,4.849317,Goninet Philippe,ChIJjyTf2F7ktRIR6TTLkV5ICO0,"[u'point_of_interest', u'establishment']"
0,43.7836666,4.8611143,Gonfond Jean Marie Emile,ChIJ6yCdOD_ktRIRE9c3XJ9yVXM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.787625,4.8488559,Fraîcheur du Pays SARL,ChIJu-iw3F7ktRIRGXoagKjVQPk,"[u'point_of_interest', u'establishment']"
0,43.787625,4.8488559,SDF Banos Pujades,ChIJu-iw3F7ktRIRS7WmmJodku8,"[u'physiotherapist', u'health', u'point_of_interest', u'establishment']"
0,43.787625,4.8488559,Dumazedier Valérie,ChIJu-iw3F7ktRIRNTxhzbuVmeo,"[u'point_of_interest', u'establishment']"
