,Latitude,Longitude,Name,Place_id,Type
0,43.414078,5.504583,Mimet,ChIJHyMj88CWyRIRsAGX_aUZCAQ,"[u'locality', u'political']"
0,43.4059496,5.5282969,Nisenman Charles,ChIJSSVuUhiXyRIRpLtNdd5Tmtk,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.4097437,5.5261473,Netto,ChIJ7Y5oUBiXyRIR137PjRy7694,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.405825,5.527922,"""Vivre à l'Oustaou"" Résidence de Retraite Saint-Savournin",ChIJhZH5kRaXyRIRhq_C7CYthrA,"[u'point_of_interest', u'establishment']"
0,43.4074879,5.5265396,Mairie de Saint Savournin,ChIJZY6tkBiXyRIRZFA5ZcBYUGQ,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.412091,5.530491,Banque Populaire Provençale et Corse,ChIJZY6tkBiXyRIRF8xIdiWb428,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.406601,5.527251,Post Office,ChIJ361P8RiXyRIRG64hDoRwJn4,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.4037718,5.5388203,Chambres d'hôtes Le 13 Original,ChIJNwGAkRSXyRIRcuSx09j0oug,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.406727,5.527411,Benchimol Eric,ChIJD8FI9BiXyRIRG5m35spenx0,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.4076284,5.5266606,Delsamat,ChIJZY6tkBiXyRIRdjJHabrONVY,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4040808,5.5356213,SF Pro Nettoyage,ChIJTVDtHxSXyRIRbLXHQ4Groh0,"[u'point_of_interest', u'establishment']"
0,43.4062867,5.5373079,Albelia Stehan,ChIJ7S_LvRWXyRIR-XCg6lonIcc,"[u'point_of_interest', u'establishment']"
0,43.4094494,5.5262912,Normand Sandra,ChIJKykRkTyXyRIRHvmgTq_Tq9o,"[u'health', u'point_of_interest', u'establishment']"
0,43.403695,5.5334243,L'Une et l'Autre,ChIJuYeW2haXyRIR3ymW8C3mDLQ,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.4071098,5.5265233,Guillas Laurent,ChIJGwyHkxiXyRIRqbr_GfdAh48,"[u'point_of_interest', u'establishment']"
0,43.405825,5.527922,badoux,ChIJgUmDVBiXyRIR2Gj_q78A6aA,"[u'point_of_interest', u'establishment']"
0,43.40201,5.534804,www.led-system.fr,ChIJu3xJQxGXyRIRW2zdr62vurw,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.4045912,5.5376772,www.lamederasoir.fr,ChIJGy1sWhSXyRIRGjIG_J7AU_g,"[u'point_of_interest', u'establishment']"
0,43.4106146,5.5277737,Bertrand Bonnaud | Photographie,ChIJH8bUASOXyRIRWL7w5iLjo3I,"[u'point_of_interest', u'establishment']"
0,43.405825,5.527922,Saint-Savournin,ChIJibod2xCXyRIRQP-W_aUZCAQ,"[u'locality', u'political']"
0,43.4095552,5.5261159,Play Back,ChIJW_gQyxmXyRIRFYDF7ZalCOA,"[u'point_of_interest', u'establishment']"
0,43.4076128,5.5390438,Sourcing Production et Packaging,ChIJzdHp2D-XyRIRjQgi4kRPZnE,"[u'point_of_interest', u'establishment']"
0,43.4037235,5.5386442,Galibert Alamelle Claudine,ChIJP8DajRSXyRIRhLap-dmRj0Y,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.4076835,5.5390035,Comelec,ChIJ7zbo2D-XyRIRNihN460QAuY,"[u'point_of_interest', u'establishment']"
0,43.41393,5.5329,Lamberti,ChIJ-9MRoDuXyRIRN9E3aNX9nl4,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4049476,5.5301452,La Fournee de Marie,ChIJHRckTRiXyRIRYl9Ldz3kO-Q,"[u'point_of_interest', u'establishment']"
0,43.40494,5.529891,Docteur GORTCHAKOFF Agnès,ChIJgd8h2hmXyRIRBoh37FBapps,"[u'health', u'point_of_interest', u'establishment']"
0,43.404586,5.530711,PAILLETTE PHOTOGRAPHY,ChIJh0D0ZheXyRIRx5De-sbCVQQ,"[u'point_of_interest', u'establishment']"
0,43.4056925,5.5290318,Art Studio Toilettage,ChIJC933yRmXyRIRSJcrSJ1mMlk,"[u'point_of_interest', u'establishment']"
0,43.4057476,5.5289867,Matrix,ChIJccRrNRiXyRIRnkMQKmJdOx8,"[u'point_of_interest', u'establishment']"
0,43.4057402,5.5284062,Pharmacie du Grand Jardin,ChIJHRckTRiXyRIRvxg0VYbOrlw,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.4059496,5.5282969,Zapico Terente Catherine,ChIJdTBuUhiXyRIREAPTXJknw8E,"[u'health', u'point_of_interest', u'establishment']"
0,43.4059496,5.5282969,Saint-Savournin,ChIJdTBuUhiXyRIRdrteqrJvwC4,"[u'health', u'point_of_interest', u'establishment']"
0,43.4059711,5.5282679,Hincker Goulart Celine Audrey,ChIJZzBuUhiXyRIRGYUinRgE8Tw,"[u'health', u'point_of_interest', u'establishment']"
0,43.406354,5.528334,13119,ChIJkxNBRRiXyRIRagPuyHpJ8xg,"[u'parking', u'point_of_interest', u'establishment']"
0,43.404893,5.5282878,Lima Protection,ChIJrzajpBmXyRIRzzSMSKbDe-Q,"[u'point_of_interest', u'establishment']"
0,43.4037795,5.5322777,Badoux Loic,ChIJB7k_JReXyRIR0T64cM0kEs0,"[u'point_of_interest', u'establishment']"
0,43.405731,5.528016,13119,ChIJXcFJUxiXyRIRHqHg-w6R2CM,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.4041165,5.5337022,tfn proprete,ChIJP6FQwhaXyRIRc2M5nXjh69M,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.403922,5.533624,Mairie,ChIJO1CcxBaXyRIRuhV5rWNcx-E,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.405836,5.527415,13119,ChIJdR1P_hiXyRIRpS1Ii1MVJWI,"[u'point_of_interest', u'establishment']"
0,43.4066473,5.527388,Moulard Cedric Jean-Charles,ChIJ75ez9hiXyRIRU79olVxMwEk,"[u'point_of_interest', u'establishment']"
0,43.406727,5.527411,Parat Robert,ChIJD8FI9BiXyRIRNpXe4qTlsuA,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.406727,5.527411,Roux,ChIJD8FI9BiXyRIRygsIR6H1-Mk,"[u'physiotherapist', u'health', u'point_of_interest', u'establishment']"
0,43.406727,5.527411,Sphenoide,ChIJD8FI9BiXyRIRWNV7W1c2Lcg,"[u'physiotherapist', u'health', u'point_of_interest', u'establishment']"
0,43.406727,5.527411,Eclat de Rose,ChIJZY6tkBiXyRIR0dFwzE3qf5A,"[u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.406727,5.527411,Satta Pierre Eric,ChIJD8FI9BiXyRIR2Inv3SQmd4s,"[u'point_of_interest', u'establishment']"
0,43.406727,5.527411,Gorchs Rome Christiane Francoise,ChIJD8FI9BiXyRIRwv__vExoA1w,"[u'point_of_interest', u'establishment']"
0,43.4032428,5.5328675,Mecasud Sarl,ChIJK4-aKheXyRIRDF2RVve0z8k,"[u'point_of_interest', u'establishment']"
0,43.406601,5.527251,Tessier Gerard,ChIJI7NP8RiXyRIRkdGUW3GQH_E,"[u'point_of_interest', u'establishment']"
0,43.4068762,5.5273494,Info'com Affichage,ChIJs54Z8xiXyRIRuBC3BCzh7nk,"[u'point_of_interest', u'establishment']"
0,43.4067177,5.5272426,13119,ChIJwaXy8xiXyRIRJSR4forfhQw,"[u'parking', u'point_of_interest', u'establishment']"
0,43.4061153,5.5270253,Costin Olimpia,ChIJoYUT8BiXyRIRKiDflLaIOKk,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.4044506,5.5346836,Pharmacie Du Grand Jardin Clement,ChIJ5Wj7lhaXyRIRy6U0etpOnmI,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.40686,5.527221,13119,ChIJMX1p8xiXyRIRpB_BlOQMpAI,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.4029508,5.5332197,Segura Daniel,ChIJaS-GKxGXyRIR65lUGvJ-m5s,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.406107,5.526631,13119,ChIJ778C5BiXyRIR6oYLIJc4BDQ,"[u'parking', u'point_of_interest', u'establishment']"
0,43.4082835,5.5280678,Roussel Cathy,ChIJL0iAhCKXyRIROBSqRyP2yPE,"[u'health', u'point_of_interest', u'establishment']"
0,43.40287,5.53344,Ingarao Fabrice,ChIJ-9CYLRGXyRIRRu9iFYQYuVQ,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.4069629,5.5266022,Dupeyrat Florent Gerard Philippe Rene,ChIJF5NT6xiXyRIRJ244Y3h8EfI,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.4147826,5.5362667,Senlio,ChIJWY7enjmXyRIRx6--OEUVzqc,"[u'point_of_interest', u'establishment']"
0,43.419205,5.5380422,Bauer Consulting,ChIJ54rcqTeXyRIRZXL5N_RG5lc,"[u'point_of_interest', u'establishment']"
0,43.4186827,5.5404432,Auto LS,ChIJJZ3R2zeXyRIR3x0HxQMgqOg,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.415004,5.5201419,Tessier Gérard,ChIJsTDWZCeXyRIRyhz3uT6-EFE,"[u'point_of_interest', u'establishment']"
0,43.4233279,5.5289156,Les Bains du Jasmin,ChIJje058C2XyRIRtSYOnSADfxc,"[u'point_of_interest', u'establishment']"
0,43.4196241,5.5210347,Sericap,ChIJ12BKkyuXyRIRXWAp3N3vbeg,"[u'store', u'point_of_interest', u'establishment']"
0,43.4182906,5.5357887,Baeza Philippe Pierre,ChIJ303PSzeXyRIRYKZhl7S0DYo,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.431255,5.544496,Gréasque,ChIJN3Xb7LCQyRIRBU0f50YqRew,"[u'locality', u'political']"
0,43.4162792,5.5310174,La Sante Par Le Mouvement,ChIJp72kxzqXyRIR2xfqQsSl6Nc,"[u'store', u'point_of_interest', u'establishment']"
0,43.4155761,5.5289578,Satta Anais,ChIJe6ICIiWXyRIRH8__sPeeO3E,"[u'physiotherapist', u'health', u'point_of_interest', u'establishment']"
0,43.4154558,5.5332823,Le Can Cedric,ChIJKzwUUTqXyRIRwYfUgtHfyf0,"[u'point_of_interest', u'establishment']"
0,43.4139333,5.5342605,Crampe Bourret Isabelle,ChIJHyJdwDuXyRIRTPfGqinRRpM,"[u'point_of_interest', u'establishment']"
0,43.4144166,5.5347275,Lebon Jean-Marc,ChIJgROMzzuXyRIRogAu71R_Puw,"[u'point_of_interest', u'establishment']"
0,43.4115777,5.5298667,Saint Savournin Plomberie,ChIJdTkhPyOXyRIRefN07m8Oj-s,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4127849,5.5265507,Pavia Philippe,ChIJu2lz9SOXyRIR2FhDFkSlAaI,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.4109295,5.5314696,Quantin Marina,ChIJZSFK3TyXyRIRqgrPYlUHLYg,"[u'point_of_interest', u'establishment']"
0,43.4109295,5.5314696,J. Quantin Decoration,ChIJKTxnSiOXyRIR6sYsHeBV_A4,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.413943,5.5255605,Lanza Jean-Philippe,ChIJ4fJ7HiSXyRIRESgIxtT5DOU,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.410424,5.5294723,SCF Rolando,ChIJSzNmJiOXyRIRmi7NE6xxY1s,"[u'point_of_interest', u'establishment']"
0,43.4152939,5.5372317,Giordano-antonietti Fran Ois,ChIJyb-EpjmXyRIR4B_eXfGwiUc,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4175032,5.5363517,Sci Skillas,ChIJXTxuQzeXyRIRSxDgwjL1hLM,"[u'point_of_interest', u'establishment']"
0,43.4105383,5.5277986,Lenel Laurent,ChIJab7WASOXyRIR3AFJVKSgpcM,"[u'point_of_interest', u'establishment']"
0,43.4100606,5.5288577,Merli Noel Gille Michel,ChIJW_dt5yKXyRIR4gDUqus9ixI,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.4103004,5.5276227,Saint Savournin Ecole L'estello,ChIJiU9e_yKXyRIR_5xspo30JRE,"[u'school', u'point_of_interest', u'establishment']"
0,43.416834,5.5375838,Cantéro Mercédès,ChIJz9KD0DmXyRIRbz67atnBBs8,"[u'point_of_interest', u'establishment']"
0,43.416834,5.5375838,Reynoird Claude,ChIJz9KD0DmXyRIRUlqPAhghnIY,"[u'point_of_interest', u'establishment']"
0,43.4104001,5.5268794,Corso Bruno Marcel,ChIJQTKfTSKXyRIRuav2xRqisC8,"[u'point_of_interest', u'establishment']"
0,43.4117148,5.5247937,Ruiz Serge,ChIJl-jBYCGXyRIRemnAyBYAY1Q,"[u'health', u'point_of_interest', u'establishment']"
0,43.416137,5.538418,Institut Atout Beauté,ChIJoz3XNTiXyRIRCOSRKrpa8LI,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.4176034,5.5377181,Baeza,ChIJr1LKezeXyRIRxPG-hAEtEj8,"[u'point_of_interest', u'establishment']"
0,43.410285,5.52623,Noel Merli Renovation Agencement Multiservices,ChIJGZYLNiKXyRIRWVA1oDPVE-c,"[u'point_of_interest', u'establishment']"
0,43.409888,5.526485,13119,ChIJpaJORiKXyRIR7UIynj8asDo,"[u'parking', u'point_of_interest', u'establishment']"
0,43.4089786,5.52891,Coste Geoffroy Jean Patrick,ChIJX_n-lSKXyRIR4xUPrCABng8,"[u'point_of_interest', u'establishment']"
0,43.4116962,5.5234708,Pichet Frederic,ChIJA5GDEyGXyRIRhkRL2ovjZhE,"[u'point_of_interest', u'establishment']"
0,43.4094397,5.526343,Bruno Traiteur Bruno,ChIJuYeW2haXyRIRP2616hJP7wc,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.409498,5.52597,13119,ChIJY2LfPSKXyRIRt4vL2hgHZLw,"[u'parking', u'point_of_interest', u'establishment']"
0,43.4092781,5.52627,Le Marché de St Savournin,ChIJZY6tkBiXyRIRMZ0N4RIDPWo,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4092769,5.5262725,Fruits Et Legumes,ChIJf0IuFSKXyRIRI4bnXLdf0Fc,"[u'point_of_interest', u'establishment']"
0,43.4091958,5.5263454,Saint Savournin Optique,ChIJZY6tkBiXyRIR-qE4oabXVJQ,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.4208098,5.5346116,Jrs Provence,ChIJe8ApOTGXyRIRmmwGF6IVcvw,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
