,Latitude,Longitude,Name,Place_id,Type
0,43.458598,5.249703,Vitrolles,ChIJJdMaTCbvyRIRQP6W_aUZCAQ,"[u'locality', u'political']"
0,43.414461,5.24665,Auto Sécurité - Auto bilan abbadie,ChIJr_nPC5PoyRIRvw51hMOSf8Y,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.4222001,5.2522273,GLS,ChIJsQv0IN3oyRIRAD0FspTzIfQ,"[u'point_of_interest', u'establishment']"
0,43.4147573,5.2461963,Asia D'ko,ChIJTWB_CpPoyRIRSlivrJU-wdc,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4164947,5.2458847,Smartspine,ChIJAYUgYpPoyRIRwn8HvgYpR2U,"[u'point_of_interest', u'establishment']"
0,43.4096465,5.2551739,Tpdm,ChIJ27jLs_HoyRIREzX5BGMCzzQ,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4151245,5.252473,Guillot Johanne,ChIJkXs1GOzoyRIRr1Aw4jjcIPE,"[u'point_of_interest', u'establishment']"
0,43.4137452,5.2552567,Picard,ChIJGzvk9J7oyRIRNveSe4ClOH4,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.4107809,5.2545437,Weir Power et Industrial,ChIJu3i6_0HnyRIRthqNfr8WjxQ,"[u'point_of_interest', u'establishment']"
0,43.4191029,5.2604544,Sangha France,ChIJ5QVMp-foyRIRjbrfR_rTGYU,"[u'point_of_interest', u'establishment']"
0,43.4175593,5.2453605,Design Carrelages,ChIJqxOonpfoyRIRDRboR01uNt0,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.4125782,5.2518584,S.t.g.v,ChIJtRiB6e3oyRIRUDLE2_wkmH4,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.4160664,5.2454801,Public Library,ChIJ45XzN5joyRIROOj0heu83yY,"[u'library', u'point_of_interest', u'establishment']"
0,43.4104292,5.2486657,Docteur Thierry SAGE,ChIJJ17xwPLoyRIRqXjpTWEk3Vc,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.4132549,5.2498202,eSpark,ChIJ82Knp-3oyRIR0oPfzAYp5wY,"[u'store', u'point_of_interest', u'establishment']"
0,43.4090561,5.2515437,Plein Sud Façades - Rénovation Façade - Ravalement Façade Marseille,ChIJ8eT6yvPoyRIRC30e9I-ztys,"[u'painter', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4141069,5.2468356,Fm-courtage auto,ChIJuVJq2JLoyRIR-YLS63XXO64,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
