,Latitude,Longitude,Name,Place_id,Type
0,43.780147,4.72617,Saint-Étienne-du-Grès,ChIJfYiNo13ntRIRsP-W_aUZCAQ,"[u'locality', u'political']"
0,43.7808869,4.7418421,Gite du Moulin de la Croix,ChIJIwwMu0XntRIRgeU9-uC6klM,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7865944,4.7451222,Mas de Ravert,ChIJTxrLsEHntRIRKJ8Mq7uu6is,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.77813,4.743736,Chapelle de Notre-Dame du Château,ChIJkT02rkjntRIRsaWgYqOOj4w,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.7809313,4.7420946,Mas Calbret,ChIJzRyex0XntRIRGTIkrHGS5_E,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7811182,4.7328759,Alpilles Natural Regional Park,ChIJN0fQ9DPjtRIROJluW1ocWos,"[u'park', u'point_of_interest', u'establishment']"
0,43.781289,4.730371,Via Domitia Immobilier,ChIJAeR3VFjntRIRoY5N1KUfDwk,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7815214,4.7292198,Salle des Fêtes,ChIJI8HveVjntRIRpns38zZyJxE,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.781626,4.732437,LOCATION SAISONNIERE Rhones Alpes,ChIJFetXeFnntRIRFj_Hi5B0DKU,"[u'travel_agency', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7835034,4.7386202,SCEA Domaine Trevallon,ChIJK8_LqUTntRIRAY8I57cbM4g,"[u'food', u'point_of_interest', u'establishment']"
0,43.7852936,4.7431746,Mairie,ChIJWVAa2EPntRIRAPgv4Py2nBU,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.7814,4.7323727,Deltapack,ChIJMSnmglnntRIRTqvbJWAdxbo,"[u'point_of_interest', u'establishment']"
0,43.7812783,4.7316245,Sarl Merandal,ChIJK9YCnFnntRIRLS9q8ml6h7Q,"[u'food', u'point_of_interest', u'establishment']"
0,43.780107,4.7325762,Famille Et Provence,ChIJI3Gy81nntRIRLs4qtC6cm58,"[u'point_of_interest', u'establishment']"
0,43.7790088,4.7328608,AFITCH studio graphique et éditions,ChIJCz48VVfntRIRRoByD6fu5yM,"[u'point_of_interest', u'establishment']"
0,43.778881,4.732823,Patrice Fender Studio Afitch,ChIJ3-OhFffdtRIRWSp0Ramv0hg,"[u'point_of_interest', u'establishment']"
0,43.7813277,4.7320402,J.c.b,ChIJG0Xoh1nntRIRZKu3OPJYhQw,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
