,Latitude,Longitude,Name,Place_id,Type
0,43.453241,4.429074,Saintes-Maries-de-la-Mer,ChIJexX9dpdhthIRLWbvPeXuCYM,"[u'locality', u'political']"
0,43.494212,4.470425,Réserve des Impériaux,ChIJuyPPaI1jthIRyvZSvuofY8A,"[u'park', u'point_of_interest', u'establishment']"
0,43.507632,4.4498749,Pont des Cinq Gorges,ChIJtzGB5KVjthIRYsbuAjh2eFk,"[u'premise', u'point_of_interest', u'establishment']"
0,43.4930513,4.4449291,Hôtel de Cacharel,ChIJ85vN6MljthIRv3Aez64xi6o,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.52543,4.4566,Ejyd Sarl,ChIJNXtWIUx9thIR6M6VujitVKo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.525472,4.457123,Mas de Bardouine,ChIJScSJCxNjthIRIOCsm0zTuOo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.4903864,4.4430065,Les cabanes de cacharel,ChIJb0fQw8tjthIRplT-BCxWQe8,"[u'point_of_interest', u'establishment']"
0,43.5,4.5,Camargue Natural Regional Park,ChIJ4evSAcN7thIRP4NxcYvcLOQ,"[u'park', u'point_of_interest', u'establishment']"
0,43.4992232,4.4286678,Mas de Calabrun,ChIJDy4H9kVithIRfotue3WvnBg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.499479,4.429399,La Coursejade - Mas de Calabrun,ChIJKc-xh6JhthIRd6AijagNXAg,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.546666,4.457832,Pont des Ivrognes,ChIJezFJwzVjthIRevPGzJ61GkI,"[u'premise', u'point_of_interest', u'establishment']"
0,43.504484,4.422893,Côté Camargue,ChIJm4MprFxithIR_hn-NZgHEB0,"[u'travel_agency', u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5056781,4.4170189,Gîtes Equestres Les Cabanes de Cambon - Saintes Maries de la Mer,ChIJg7c-lWdithIRrgMI_rWWuBI,"[u'point_of_interest', u'establishment']"
0,43.4529482,4.4713715,Mauguio - Country Passion,ChIJXXPouDdhthIRcPix_hld1YU,"[u'point_of_interest', u'establishment']"
0,43.475903,4.4389269,Pont des Éventails,ChIJsyCPStVjthIR24ItnRzj1L0,"[u'premise', u'point_of_interest', u'establishment']"
0,43.456529,4.444929,Pertuis de la Fourcade,ChIJ5c0EanNhthIR_eDwQsUO6Z8,"[u'premise', u'point_of_interest', u'establishment']"
0,43.676647,4.6277769,Arles,ChIJzRRIXQdythIRUAWX_aUZCAQ,"[u'locality', u'political']"
