,Latitude,Longitude,Name,Place_id,Type
0,43.640199,5.097022,Salon-de-Provence,ChIJofoBqDMAthIRIP-W_aUZCAQ,"[u'locality', u'political']"
0,43.6458923,5.0654889,Eurorepar Garage Saint Christophe,ChIJu2Pv89v_yRIRQ17iEp225L0,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.6499706,5.070161,AZUR ET CONSTRUCTIONS,ChIJleXmlFb-yRIR6Qf9wwjTu80,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.649963,5.069936,Loxam Rental,ChIJ92JWrNr_yRIRunNr-mMcoAE,"[u'point_of_interest', u'establishment']"
0,43.649932,5.070279,Coiff&Co,ChIJQQAAAND_yRIR4M5apblNdhE,"[u'beauty_salon', u'hair_care', u'point_of_interest', u'establishment']"
0,43.6499323,5.0702794,agence de mazet,ChIJ_____8__yRIR7iMnAv8oTxs,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.6424146,5.0620234,CHP Formation,ChIJzZ0aG9X_yRIR_lz6HoxmsgE,"[u'point_of_interest', u'establishment']"
0,43.6428108,5.0750741,Mas Bleu,ChIJ1d1yfMz_yRIRB_pORgBxkY4,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6401778,5.0723765,Psychadom,ChIJRa-r06__yRIRqP3nponLuR4,"[u'health', u'point_of_interest', u'establishment']"
0,43.6425079,5.0600611,Town Hall,ChIJv7MbY9X_yRIRor05mmQZT8s,"[u'school', u'point_of_interest', u'establishment']"
0,43.6429867,5.0593004,Elementary School De La Crau Bel-Air,ChIJzZ0aG9X_yRIRM4U2uWQBx0o,"[u'school', u'point_of_interest', u'establishment']"
0,43.640502,5.062328,Air Bel,ChIJ4SG01Sr-yRIR9kOrsayv1KY,"[u'point_of_interest', u'establishment']"
0,43.639781,5.073633,RICHARDSON,ChIJswO0MTP-yRIRofRvxxycTzk,"[u'general_contractor', u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.638186,5.071932,Gite des Bergeronnettes,ChIJ229sqND_yRIRyePMusQXyBc,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.64092,5.058603,Media Comm RH,ChIJaepatSoAthIRrQMePXGAuM4,"[u'point_of_interest', u'establishment']"
0,43.6502558,5.0792535,LES VOLAILLES A GIL,ChIJ9d8Mvcf_yRIRKcMhxxBV6-E,"[u'food', u'point_of_interest', u'establishment']"
0,43.6404039,5.0775413,SCS Salon Chauffage Sanitaire,ChIJ7WFMLsv_yRIRkxPlhc4Wl2g,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.6439542,5.0737218,Fillacier Fabien,ChIJNwKLOMz_yRIR1xt3WZ1EAfg,"[u'food', u'point_of_interest', u'establishment']"
0,43.6416261,5.0680914,Michel Claude,ChIJ-f9k3dL_yRIRhiaktFdPWAA,"[u'point_of_interest', u'establishment']"
0,43.64966,5.075278,Les Mouledas,ChIJMZSQVc__yRIRMMLLesCi8g8,"[u'sublocality_level_1', u'sublocality', u'political']"
