,Latitude,Longitude,Name,Place_id,Type
0,43.332412,5.11057,Sausset-les-Pins,ChIJEY9760beyRIREP-W_aUZCAQ,"[u'locality', u'political']"
0,43.340346,5.113982,Golf Côte Bleue,ChIJfyop6FreyRIRVQBLzC6mrLY,"[u'health', u'point_of_interest', u'establishment']"
0,43.3409864,5.1151145,Cape Reussite,ChIJVRKw1kTeyRIROidQjukIXVs,"[u'point_of_interest', u'establishment']"
0,43.3425987,5.1260747,ceva logistics formatilies,ChIJRVLQ4WjeyRIReCC8yPYYTho,"[u'point_of_interest', u'establishment']"
0,43.339599,5.110015,F.C.C.B. (Football Club Côte Bleue) - Sausset les Pins,ChIJBbjTR1DeyRIRtNrt7pQ_GYA,"[u'stadium', u'point_of_interest', u'establishment']"
0,43.3379515,5.1128461,ACTIVES TECHNEWLOGIES,ChIJqXRqZVreyRIRoilSkJGROh8,"[u'point_of_interest', u'establishment']"
0,43.3414388,5.1150729,Cavalliere-Panaciulli Christel,ChIJoeJH2ETeyRIRF2p9P02Xt4Q,"[u'health', u'point_of_interest', u'establishment']"
0,43.341428,5.1149762,Sci Contard And Co,ChIJz-lF2kTeyRIRcB1scEBBMP8,"[u'point_of_interest', u'establishment']"
0,43.3417126,5.1137081,Carvalho Jean-Jacques,ChIJt333PEXeyRIRYgrIxB5gJZw,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.3417308,5.1136327,Delphin Patricia,ChIJFSsvPEXeyRIRrFcjTCxYQHY,"[u'point_of_interest', u'establishment']"
0,43.340122,5.1155945,Adra Thierry,ChIJMbGoMFveyRIRPeNj706mBvE,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.3386673,5.1133124,Ramadier Frederick,ChIJN1TSiFreyRIRHhHr-HfIdAc,"[u'physiotherapist', u'health', u'point_of_interest', u'establishment']"
0,43.3385439,5.1131645,Matte Emilie,ChIJHxAgi1reyRIR6HWtrzcgU2k,"[u'point_of_interest', u'establishment']"
0,43.339731,5.109617,13960,ChIJqUYPSlDeyRIREe65Y8pvAsw,"[u'stadium', u'point_of_interest', u'establishment']"
0,43.3382665,5.1119616,Poulain Eloise,ChIJUYB7f1reyRIRMa4wpywdM_g,"[u'point_of_interest', u'establishment']"
0,43.3382731,5.111937,Paul Claude,ChIJURHWgVDeyRIRJSbhxBAqfh0,"[u'point_of_interest', u'establishment']"
0,43.3382742,5.1118318,Lanteri Danielle,ChIJ8RPWgVDeyRIR27GVEDAuzsE,"[u'point_of_interest', u'establishment']"
0,43.337865,5.1121533,Etablissement Laffitte,ChIJRePaeVreyRIRgFndr7GmJ2w,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.3378737,5.1119407,Rodriguez Pascal,ChIJS-SueFreyRIRAGgmYaXhpFQ,"[u'point_of_interest', u'establishment']"
0,43.332002,5.109535,Mairie de Sausset les pins,ChIJ3ZQCdPjeyRIR8a8UZy85eg4,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.3310042,5.1117128,Projet immobilier,ChIJI-MeAfjeyRIRK0TRJKmPQio,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3317765,5.1235613,Laforêt Sausset les Pins,ChIJiw4_TGDeyRIRD8B2Lv3zkDY,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3311336,5.1128813,Agence Nouvelle,ChIJWbBF4vfeyRIRd8A2I41ROUU,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.332838,5.11002,Surf Shop De La Gare,ChIJbwOsv1feyRIRIKCNzr5-4CY,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.3314009,5.1118248,Thomas Cook,ChIJsd4rBvjeyRIRVgIlfJW3ovI,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.331156,5.108495,L'Amphore,ChIJ7Ss8oPjeyRIRF6UbVWveuBA,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.332747,5.1155414,AZUTEK - Informatique - Multimedia - Communication,ChIJvRj851jeyRIRtXmrK-4wNJ4,"[u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.3305463,5.1146322,Informatique Cote Bleue,ChIJEQoXLfbeyRIRPckTNgsWOTQ,"[u'hardware_store', u'electronics_store', u'store', u'point_of_interest', u'establishment']"
0,43.3311251,5.1100594,Agence Montamer,ChIJ06VNf_jeyRIRPOwTe7j4KAQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3310536,5.1104737,OK Immo Sarl,ChIJxZz6dPjeyRIRbbuYIZQwp20,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.3322874,5.1245148,LIDL,ChIJiw4_TGDeyRIReNlXCBx8lhk,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.3343979,5.1099045,Primary School Victor Hugo,ChIJs7ANEFfeyRIRJdU0_ISS-gE,"[u'city_hall', u'local_government_office', u'school', u'point_of_interest', u'establishment']"
0,43.3309594,5.1099336,Immobilière du Forum,ChIJ7Ss8oPjeyRIRHh4bBYoyePg,"[u'real_estate_agency', u'travel_agency', u'point_of_interest', u'establishment']"
0,43.3353794,5.1165484,VERNAL,ChIJb5T8UFneyRIRvnfg1CJmOuo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.3346785,5.1159976,Flexodev,ChIJd8T_c1neyRIRVD7-mwNAT1s,"[u'point_of_interest', u'establishment']"
0,43.3318066,5.1155204,The Aloha Company,ChIJ9XM2kVjeyRIR-yo7ZUXLpNA,"[u'point_of_interest', u'establishment']"
0,43.33269,5.114549,P'titatelier,ChIJpzK0wZBTsRIRSTzBRrEIThk,"[u'store', u'point_of_interest', u'establishment']"
0,43.3306399,5.1142404,Une Pensée à L'Envers,ChIJdQVRzffeyRIRpLbqHbXCQlU,"[u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.3326101,5.1216448,Benarroche Paul,ChIJs1Aww1_eyRIRfW7xLuDRxRw,"[u'point_of_interest', u'establishment']"
0,43.3343954,5.1112371,L'Escale Côte Bleue - Chambres d'hôtes,ChIJTxp4QlfeyRIRj8mR1W-GEYI,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.331147,5.1123,Crédit Agricole Alpes Provence,ChIJ1W_m_ffeyRIRzXV_VXr9ouQ,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.3311981,5.1120173,Elite informatique,ChIJa_GB_1feyRIR0hX5gH12VmM,"[u'point_of_interest', u'establishment']"
0,43.330546,5.114632,Bullen Christophe assurance,ChIJdQVRzffeyRIRO5OAYQ9_eH0,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.3350867,5.1095867,Albert Philippe,ChIJy0O3JFfeyRIR3uagmBzUVf4,"[u'point_of_interest', u'establishment']"
0,43.3311489,5.1132567,Jayko,ChIJMZP-3_feyRIRzGIX6kfQV1k,"[u'point_of_interest', u'establishment']"
0,43.3320998,5.1109133,AXA Assurance EIRL COMBARET CEDRIC,ChIJYYf3wlPeyRIR6GQRHwO2BQE,"[u'insurance_agency', u'bank', u'health', u'finance', u'point_of_interest', u'establishment']"
0,43.3306809,5.1143704,Cave à vin à sausset les pins Vincent & Co,ChIJa32p0_feyRIRoDY_NLhvK1o,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.3309851,5.1118236,Librairie Les Anges Bleus,ChIJI-MeAfjeyRIRosE3SzjFP3s,"[u'book_store', u'store', u'point_of_interest', u'establishment']"
0,43.3316927,5.1107069,Pirate Surf Shop,ChIJyRP55lfeyRIRUrhzKlv1U5c,"[u'store', u'point_of_interest', u'establishment']"
0,43.3306469,5.1143211,Agence A2MIMMO,ChIJg4bHgGHeyRIRV--j6E0yOkg,"[u'real_estate_agency', u'travel_agency', u'point_of_interest', u'establishment']"
0,43.3313198,5.1115241,vizz optique,ChIJQV25B_jeyRIRbXMO8RN0Q4I,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.3316927,5.1107069,Driving School Le Galion,ChIJyRP55lfeyRIRMj19jEj8n3Y,"[u'point_of_interest', u'establishment']"
0,43.3310042,5.1117128,Srpl plomberie,ChIJI-MeAfjeyRIR3uSHJTHYhWg,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.3297697,5.1150675,Mairie - école primaire,ChIJVb53SPbeyRIRdFxjVJ_kpJ0,"[u'point_of_interest', u'establishment']"
