,Latitude,Longitude,Name,Place_id,Type
0,43.296482,5.36978,Marseille,ChIJM1PaREO_yRIRIAKX_aUZCAQ,"[u'locality', u'political']"
0,43.3883571,5.3772856,Plan B,ChIJ79Z9-9zqyRIRC7u6ajQRJ9Y,"[u'point_of_interest', u'establishment']"
0,43.390623,5.373728,Direction Départementale Sécurité Publique,ChIJ-TU67t3qyRIRmIZg7Ms4-Ho,"[u'point_of_interest', u'establishment']"
0,43.3925209,5.3717932,Actif Sound,ChIJn83_wuDqyRIRQnaK8VHSMo0,"[u'point_of_interest', u'establishment']"
0,43.3975666,5.3705829,Spi Polyols,ChIJ8_n1yh_ryRIRGMlDF0WOAy8,"[u'point_of_interest', u'establishment']"
0,43.3911435,5.374885,Vallon de la Rougière,ChIJVTq-2d3qyRIR5avoeh2mU1Y,"[u'bus_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.395644,5.374687,unnamed,ChIJe8cNjt_qyRIRkop26n_86oY,"[u'point_of_interest', u'establishment']"
0,43.3911048,5.3748284,Royere Andre,ChIJC_7D393qyRIRlodo-S15eC0,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.3890298,5.3775691,Pinède Rougière,ChIJkboxY9zqyRIRMh1LLyPOaK0,"[u'bus_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.3910309,5.3747326,Vallon de la Rougière,ChIJtRno293qyRIRRirYW0BQtWI,"[u'bus_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.3891049,5.3773349,Pinède Rougière,ChIJk-ntY9zqyRIRYsevxXdrtpc,"[u'bus_station', u'transit_station', u'point_of_interest', u'establishment']"
0,43.3921662,5.3731105,Broquier Christophe Paul Yves,ChIJXZwNHd7qyRIR09Be73LNyGA,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.39062,5.37373,Lou Thierry,ChIJr8877t3qyRIR98RO_X2WEdQ,"[u'point_of_interest', u'establishment']"
0,43.39062,5.37373,Lombard David,ChIJr8877t3qyRIRGhXJc24XYcg,"[u'point_of_interest', u'establishment']"
0,43.39062,5.37373,Caloprisco Eric,ChIJr8877t3qyRIRzSckb3nF0zo,"[u'point_of_interest', u'establishment']"
0,43.39062,5.37373,Berger Alain,ChIJIdqA9t3qyRIRODzYTexYYR8,"[u'jewelry_store', u'store', u'point_of_interest', u'establishment']"
0,43.392087,5.372511,Benouard Fulconis Nathalie,ChIJ2WB-peDqyRIRF6RvG39Msm4,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.398568,5.375736,unnamed,ChIJVX4jACHryRIRELs_dRDxS2w,"[u'point_of_interest', u'establishment']"
0,43.3897367,5.3738866,Sisouphanh-sak,ChIJMWDkkN3qyRIRGeRkTBzWV6o,"[u'point_of_interest', u'establishment']"
0,43.398686,5.3684079,Septèmes-les-Vallons,ChIJKxQn0dnqyRIR8P6W_aUZCAQ,"[u'locality', u'political']"
0,43.3819525,5.3711209,Résidence Médicis,ChIJGyv09enqyRIRe77idRMhJJ8,"[u'health', u'point_of_interest', u'establishment']"
0,43.3830695,5.3750522,voyance cartomanciene,ChIJZXv6RsLqyRIR5xh7xIbMW3s,"[u'health', u'point_of_interest', u'establishment']"
0,43.383344,5.3754008,L'etoile D'Orient,ChIJ1-Cua8LqyRIRQk4Ri6oOKlc,"[u'point_of_interest', u'establishment']"
0,43.383159,5.3741329,DAN MEDIUM PUR VOYANCE EN LIGNE,ChIJ1-Cua8LqyRIReDnbPLf0FTc,"[u'point_of_interest', u'establishment']"
0,43.3811428,5.37447,Magali Esthétique,ChIJy6aGksHqyRIRZw48PuMkZxs,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.382225,5.3710901,Le Haras,ChIJVzStiOnqyRIRDPTBMx_v_yI,"[u'health', u'point_of_interest', u'establishment']"
0,43.3852965,5.369796,Féder Amis Instruction Laïque,ChIJLdkkvujqyRIRbzuziSz7XbM,"[u'health', u'point_of_interest', u'establishment']"
0,43.381099,5.3702369,Association Accueil et Rencontres au jardin des Aures,ChIJoazwzOvqyRIReIK_9xu1qlk,"[u'point_of_interest', u'establishment']"
0,43.3863403,5.3691103,Pharmacie Du Parc Kalliste,ChIJ5bJDV-_qyRIRhUaHxj9g1Ow,"[u'health', u'pharmacy', u'store', u'point_of_interest', u'establishment']"
0,43.3881472,5.3695536,AGS MULTISERVICE nettoyage Marseille,ChIJH3_QRubqyRIRe_o1ILX902U,"[u'point_of_interest', u'establishment']"
