,Latitude,Longitude,Name,Place_id,Type
0,43.429668,5.434833,Simiane-Collongue,ChIJy4oZ1mGUyRIR4P6W_aUZCAQ,"[u'locality', u'political']"
0,43.4162393,5.4393945,Communaute Benedictine de Sainte Lioba,ChIJPZVwbGGUyRIRHjQiRB5sdi4,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.415279,5.43589,Garage Robert,ChIJD9L_dI7-8EcRNGTWXlEZ_e0,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.415279,5.43589,JM AUTOS,ChIJZ2sa1mGUyRIRGGHp8dciCX8,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.4163038,5.444801,Franchi Nathalie - Les Arts du Bien Etre,ChIJB_VMV2aUyRIRxwwCXY0tyjU,"[u'spa', u'health', u'point_of_interest', u'establishment']"
0,43.4162,5.4454909,G.f.p.c.c,ChIJhw__EGaUyRIRFyh4WNZ7_UE,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.4133814,5.4381293,Pinna Sebastien,ChIJ5Ti0ZmCUyRIR9zFm2D6hfZg,"[u'point_of_interest', u'establishment']"
0,43.4135228,5.4381351,Sie 13,ChIJNc3tyWGUyRIRm80bSnKjVZY,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.413451,5.440967,13109,ChIJh7d6tWCUyRIRIXa4CBT2_7M,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.413758,5.435243,Beghin Victor,ChIJexkImIqUyRIRCsHtT92297s,"[u'point_of_interest', u'establishment']"
0,43.4128425,5.4342495,Pinna Laurent,ChIJ-W9eyYqUyRIRm66bcLc9syY,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.4119009,5.4425759,Roux Jean-Luc,ChIJI6B_jF2UyRIRKcBRuoh1wuU,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.4119009,5.4425759,Alecsi Daniel,ChIJI6B_jF2UyRIRWg0vcqgeK3c,"[u'point_of_interest', u'establishment']"
0,43.4141569,5.4342993,Besson Patrick,ChIJaT2i7oqUyRIR4MkPdW4vQz0,"[u'point_of_interest', u'establishment']"
0,43.414171,5.434269,Besson Patrick Florent Paul Germain,ChIJOU4W7IqUyRIRJcCPg2tgFtQ,"[u'real_estate_agency', u'lodging', u'point_of_interest', u'establishment']"
