,Latitude,Longitude,Name,Place_id,Type
0,43.7454589,5.077758,Sénas,ChIJNT0C4LkAyhIRgOoAldxk5fc,"[u'locality', u'political']"
0,43.7432682,5.076782,Logis Hôtel le Terminus,ChIJt0-JqbkAyhIR71eMvkOUxzE,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.7434676,5.0793779,Association Familles Rurales de Senas,ChIJ0wDvQrgAyhIR-WCre26SRtM,"[u'point_of_interest', u'establishment']"
0,43.7453954,5.0782479,Mairie,ChIJTfAxwbYAyhIR2DbByvNqvx0,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.74501,5.0774,Médiathèque Sénas,ChIJcVjd2bkAyhIRNMmC69luNkA,"[u'point_of_interest', u'establishment']"
0,43.7450177,5.0801233,Centre de Secours,ChIJSy7b98cAyhIRUubQ9VWynFQ,"[u'fire_station', u'point_of_interest', u'establishment']"
0,43.7460895,5.0825667,Les Sinoplies - Résidence le Grand Pré,ChIJv4j1aMgAyhIRc0ZHRJARS7Q,"[u'point_of_interest', u'establishment']"
0,43.7444,5.0774,MMA Senas,ChIJLwwVtrkAyhIRNc78Pkkvqtc,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.745491,5.089154,Imprimerie GAYET,ChIJm1EWUtAAyhIRpEM3fin7SDc,"[u'store', u'point_of_interest', u'establishment']"
0,43.742207,5.084755,Alpilles Soleil Immobilier,ChIJcbV10LkAyhIRCugz-zWpUEU,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.7407539,5.0847396,Senas ferronnerie,ChIJ9SP3NMEAyhIRz3FeXX6PpR8,"[u'point_of_interest', u'establishment']"
0,43.7423054,5.0857044,Opticien Vision Plus Senas,ChIJOVHVhcYAyhIRBPj5KOqRvnQ,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.7421147,5.0820944,Cellier Saint-Augustin,ChIJLUOoE8cAyhIRGXTEpKY2tTQ,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7407437,5.0903064,McDonald's,ChIJeY6_5MYAyhIRtnNwh6JnBT4,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.741995,5.086272,MAT'SERV,ChIJV7InL8QAyhIRCPXMD5C5bJo,"[u'clothing_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.7446247,5.0911062,N.H.B.,ChIJAQAAANAAyhIRrYemSPvgs9c,"[u'store', u'point_of_interest', u'establishment']"
0,43.7417386,5.0823918,Mas et Maisons du Sud,ChIJg5P2Nv0CyhIRcgPorMZvdXY,"[u'point_of_interest', u'establishment']"
0,43.7418575,5.0864226,Simply Market,ChIJYzWGL8QAyhIRdPCvNk4QIcw,"[u'gas_station', u'shopping_mall', u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7438765,5.0777126,Jean Chapel - Blue Fox,ChIJh5i1t7kAyhIR7KhTm0YMecU,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.747343,5.093891,Les Brayettes,ChIJ59pVBtEAyhIR4ajDpLYY7-8,"[u'sublocality_level_1', u'sublocality', u'political']"
