,Latitude,Longitude,Name,Place_id,Type
0,43.806044,4.65752,Tarascon,ChIJ49cp50zctRIR0P6W_aUZCAQ,"[u'locality', u'political']"
0,43.7952432,4.6952126,Lemon Hotel Tarascon,ChIJq6JZCWHctRIRRX8d9sggsgM,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.794858,4.690421,Imprimeries Les Presses de la Tarasque & La Parfaite,ChIJZQl-DLTdtRIRoXo4nV6a6PU,"[u'point_of_interest', u'establishment']"
0,43.7958068,4.6917965,Bricomarché,ChIJT7e5BE3ctRIRx4tvmivTIBg,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.794075,4.691537,Fit'n Pulse,ChIJ_1XUH7TdtRIRJprb4l4ZUn0,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.7906386,4.684006,Kiabi,ChIJ8Qm3fjXctRIRVgGn9LPP3cs,"[u'clothing_store', u'shoe_store', u'store', u'point_of_interest', u'establishment']"
0,43.795707,4.6900903,"Agence d’intérim Manpower Tarascon Recrutement, offres d’emploi/jobs, CDI, CDD",ChIJpWMJ2QjbtRIRiqR0EVIPi1Y,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.7943061,4.695349,Masterceram,ChIJJ1C3L7fdtRIR6qWP1yYvVb8,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.795319,4.689009,Intégral Pêche,ChIJIdLbgFnctRIR3-CFYZY3KzE,"[u'store', u'point_of_interest', u'establishment']"
0,43.7975794,4.6881458,Rubis Matériaux Tarascon,ChIJI2dMHLPdtRIRSFcr5TchrfE,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.7903,4.68404,Le Carré des Sens,ChIJdU0gzLXdtRIRRVfkP2caWKE,"[u'beauty_salon', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.793893,4.6927394,Intermarché Super,ChIJUevcAGTctRIRpU7nuUa98Eg,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.7958304,4.6900679,Matmut,ChIJA39gCWHctRIRBGOrAHxI8fI,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.794989,4.694111,UNION-MATERIAUX TARASCON,ChIJQ1OxsrbdtRIRvFFGc72-zj4,"[u'store', u'point_of_interest', u'establishment']"
0,43.79566,4.690556,Côté Sports,ChIJq0E47GfctRIRGJ8HpFB1bXw,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.7924478,4.6926324,BCS Panita,ChIJI2dMHLPdtRIRC040FnjJh_k,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.79497,4.69215,Homea Groupe,ChIJMy6wjrTdtRIRsPwEDt3IhZY,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.794716,4.689268,First Electronics,ChIJdU0gzLXdtRIR97fmRdJBnQg,"[u'point_of_interest', u'establishment']"
0,43.795,4.6933,Sécuritest - Provence auto controle,ChIJUevcAGTctRIRnKIIPCPlask,"[u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.7975794,4.6881458,Eco Jardin,ChIJI2dMHLPdtRIRWOkOOgEBPZE,"[u'florist', u'store', u'point_of_interest', u'establishment']"
