,Latitude,Longitude,Name,Place_id,Type
0,43.555284,5.602142,Vauvenargues,ChIJNzNcnT6EyRIRoP6W_aUZCAQ,"[u'locality', u'political']"
0,43.555217,5.6171712,Di Meo Jean Marc Herve,ChIJr3Af3UaEyRIRZ2wr3itpouU,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.554914,5.6171451,Di-meo Michael,ChIJr8IZ_kaEyRIRiso6zF-OlXk,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.555988,5.602458,Peintre Aix en Provence - Arc en ciel,ChIJ9woEIrWFyRIRmnNknvEoAU4,"[u'painter', u'point_of_interest', u'establishment']"
0,43.5539484,5.6037998,Château of Vauvenargues,ChIJB0in0rSFyRIR51cqy0dqwkI,"[u'point_of_interest', u'establishment']"
0,43.5559702,5.6133026,Gite l'Isolade,ChIJJ6q3bkiEyRIRFHXibQQBkic,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5552363,5.607138,Sadosky Guillaume,ChIJzW_yskuEyRIRlnhjFnmDwB8,"[u'point_of_interest', u'establishment']"
0,43.5555555,5.6067527,Marciano Duvivier Michelle Aline,ChIJneySskuEyRIRfHD034fpfYA,"[u'health', u'point_of_interest', u'establishment']"
0,43.5550799,5.60549,13126,ChIJW4G0G0uEyRIRMwEbTWCANtE,"[u'parking', u'point_of_interest', u'establishment']"
0,43.554183,5.606095,13126,ChIJFy6QdEuEyRIRiNwqu_Ry8K4,"[u'point_of_interest', u'establishment']"
0,43.555365,5.603912,13126,ChIJi9OfK0uEyRIRPb_gkXk4okE,"[u'park', u'point_of_interest', u'establishment']"
0,43.5553577,5.6036067,Louis Jean-Baptiste,ChIJnTyP1LSFyRIRIoQnFkIoeus,"[u'point_of_interest', u'establishment']"
0,43.5542816,5.6044134,plomberie sainte victoire,ChIJW-eISEuEyRIRjU2AV3djgnw,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.5553742,5.6033438,Reymond Jacky,ChIJ5_m41rSFyRIR37jXkuC3ZDs,"[u'point_of_interest', u'establishment']"
0,43.555385,5.6031158,Arnal Gueug-jaselme Christine,ChIJyf9n17SFyRIR3J5JCZOE73U,"[u'point_of_interest', u'establishment']"
0,43.5553499,5.6026749,Jouhaud Christophe,ChIJ1_-L3rSFyRIRu0mMaI8s5Qk,"[u'electrician', u'point_of_interest', u'establishment']"
0,43.555284,5.602142,clim & automatisme service,ChIJPw1kNUqEyRIRJbJ4AckBoNA,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.553847,5.617126,Les Mattes,ChIJdaTs9EaEyRIRdPPDMKtYDv0,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.5549121,5.5976663,En ville à Vauvenargues,ChIJf9LTlraFyRIRxC-CHXMr3j8,"[u'point_of_interest', u'establishment']"
0,43.5552576,5.5995526,Mairie,ChIJTdLTlraFyRIRzkes7DERpeQ,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.55535,5.6009,Vauvenargues Gestion,ChIJSZfuVrSFyRIRyrvyoK2LYk4,"[u'health', u'point_of_interest', u'establishment']"
0,43.5552608,5.6009416,Maison du Grand Site Sainte-Victoire,ChIJ48iQoT6EyRIRxN23j8RLzng,"[u'museum', u'point_of_interest', u'establishment']"
0,43.55535,5.6009,Arc en Ciel,ChIJSZfuVrSFyRIR653pY3nDLn4,"[u'painter', u'point_of_interest', u'establishment']"
0,43.5553378,5.600371,Spar,ChIJTdLTlraFyRIRfGqkBDlMr9w,"[u'convenience_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.55534,5.601167,Eglise Saint Sidoine,ChIJezOX-LSFyRIR2pMaeT1PZsc,"[u'point_of_interest', u'establishment']"
0,43.553744,5.59644,Les Mégeans,ChIJn4dd0raFyRIR_CH83unroOs,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.5252229,5.672943,Puyloubier,ChIJbW9CdhCDyRIRjzouofs5FGA,"[u'locality', u'political']"
0,43.549624,5.629684,Guérin,ChIJWwCLKWmEyRIRzfqmxVOvJaQ,"[u'premise', u'point_of_interest', u'establishment']"
0,43.554331,5.599383,13126,ChIJRwbLFrSFyRIR41EKa1fd7rM,"[u'stadium', u'point_of_interest', u'establishment']"
0,43.5816651,5.621054,La Valensole,ChIJSZfuVrSFyRIRS7jITlxuXos,"[u'point_of_interest', u'establishment']"
0,43.5827457,5.6196249,EURL SPARK MOTORSPORT,ChIJzXw4YpmGyRIRcuoAE4S_3KA,"[u'point_of_interest', u'establishment']"
0,43.5827963,5.619472,Circuit Du Grand Sambuc,ChIJN0vbYZmGyRIRPu-HkFOrUL8,"[u'point_of_interest', u'establishment']"
0,43.5551925,5.5876342,Chenil des Romarins,ChIJSZfuVrSFyRIR57pDUBZTD7k,"[u'point_of_interest', u'establishment']"
0,43.5546832,5.5860249,PURJUS COMMUNICATION,ChIJ6V8-JweQyRIRMKGPTI68q_Y,"[u'point_of_interest', u'establishment']"
0,43.5549867,5.5976427,Boguslaw Yvan,ChIJgXvRlraFyRIR8JcTkpeSNF8,"[u'store', u'point_of_interest', u'establishment']"
0,43.5549121,5.5976663,Les Pitchounets,ChIJTdLTlraFyRIRB-V48ll5RD8,"[u'point_of_interest', u'establishment']"
0,43.555195,5.599196,13126,ChIJgTelOrSFyRIRQit9R11xE5A,"[u'point_of_interest', u'establishment']"
0,43.5554429,5.599647,13126,ChIJjbVhNrSFyRIRxUrWEh3ugLo,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.555023,5.599011,13126,ChIJQQvzJLSFyRIRHI7M-rOj8T0,"[u'fire_station', u'point_of_interest', u'establishment']"
0,43.555211,5.599578,13126,ChIJvVffObSFyRIRvtXCkturBTY,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.554377,5.597686,13126,ChIJw6B5u7aFyRIRSBuGHb-eYQE,"[u'parking', u'point_of_interest', u'establishment']"
0,43.555429,5.599992,Le Couscoussier,ChIJN_RNUbSFyRIR339o6ndtwkw,"[u'restaurant', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.53028,5.618865,Refuge Barthélémy Baudino,ChIJ8Sr8j_GEyRIRwVJKahTGFtw,"[u'point_of_interest', u'establishment']"
0,43.54556,5.596085,Le Delubre,ChIJy-7G466FyRIR5xJ3oRe_ltA,"[u'premise', u'point_of_interest', u'establishment']"
0,43.5535498,5.5969661,Theisohn Thomas,ChIJ9-kby7aFyRIR_wroLmScz-0,"[u'point_of_interest', u'establishment']"
0,43.636647,5.63955,Jouques,ChIJd0Vr3MaAyRIRkAKX_aUZCAQ,"[u'locality', u'political']"
0,43.591776,5.616563,Sainte-Consorce,ChIJNa_9M5KGyRIRc1AnJBWsJOI,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.5919096,5.6054194,parking du toscan,ChIJmaqHJIqGyRIRBf9AnFwDZZs,"[u'park', u'point_of_interest', u'establishment']"
0,43.648169,5.5836499,Peyrolles-en-Provence,ChIJk3FegJKHyRIRYcTNc-P_rno,"[u'locality', u'political']"
0,43.5558788,5.6488366,Hamon Olivier,ChIJoYuA0_SDyRIRvmUf6N_ibi8,"[u'point_of_interest', u'establishment']"
0,43.5542628,5.5792271,Chez le Garde,ChIJR5ULJcWMyRIR1lJdqq20Tkc,"[u'meal_takeaway', u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5526611,5.5839727,Place au Commerce,ChIJcX0Llr2FyRIRGJmzZtrI4Zg,"[u'point_of_interest', u'establishment']"
0,43.5526611,5.5839727,Prosadis,ChIJSZfuVrSFyRIRlNkhjP7nfpc,"[u'point_of_interest', u'establishment']"
0,43.5561118,5.5779386,Kerlann Pierre,ChIJvf7UcJSFyRIRmSsoY-bjPUA,"[u'point_of_interest', u'establishment']"
0,43.5538858,5.5792046,Venturiers,ChIJk1JBmpaFyRIRUxoYfncA640,"[u'parking', u'point_of_interest', u'establishment']"
0,43.5556491,5.5764144,La Treille,ChIJR1MT65OFyRIR2Q0tBW2qnWQ,"[u'point_of_interest', u'establishment']"
0,43.555086,5.586524,Corse,ChIJs5Srlb6FyRIRfbBW5hEenBU,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.518757,5.583172,Saint-Antonin-sur-Bayon,ChIJH-NIECKFyRIR8P-W_aUZCAQ,"[u'locality', u'political']"
0,43.534216,5.637783,Ermitage de Saint-Ser,ChIJ5Q-aV4aEyRIR2KMSRYtLROc,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.57943,5.592141,Le Jas Neuf,ChIJm6cRl3eGyRIRQo1ycHAJX38,"[u'premise', u'point_of_interest', u'establishment']"
0,43.570889,5.5776009,France,ChIJQ8fCeOaFyRIRt6MbSoqe0VE,"[u'premise', u'point_of_interest', u'establishment']"
0,43.5557232,5.5740803,Robert Sarl,ChIJZ95_StiJyRIRJA08PpWy-ZA,"[u'point_of_interest', u'establishment']"
0,43.5576693,5.571563,La Repentance,ChIJ661EeZKFyRIRrl3mEL_pSh0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.556777,5.566866,Korian L'Agora,ChIJK-QRSGqEyRIR1cA-xLwNrsY,"[u'health', u'point_of_interest', u'establishment']"
0,43.557842,5.573533,Dionne communication,ChIJ1wYrk5KFyRIRJ-VQtuVqeYM,"[u'point_of_interest', u'establishment']"
0,43.5573872,5.5732835,Capus Nicolas,ChIJ23WljpKFyRIR1WmoXPJQxcQ,"[u'point_of_interest', u'establishment']"
0,43.558635,5.5703616,Bianco Laurent,ChIJRTHpPI2FyRIRmHTYq6oJyRc,"[u'point_of_interest', u'establishment']"
0,43.5554276,5.5719673,Zanolla Marianne,ChIJK4XI8I2FyRIRccZ91YisQB4,"[u'point_of_interest', u'establishment']"
0,43.5571014,5.5704683,Au Havre de Paix,ChIJLVgbp42FyRIRQ6uNMLq1lzo,"[u'spa', u'lodging', u'point_of_interest', u'establishment']"
0,43.5581328,5.5698316,Leconte,ChIJz7RMHI2FyRIRaw5C7H_WH88,"[u'point_of_interest', u'establishment']"
0,43.5581328,5.5698316,Dietz Bertrand,ChIJfbNMHI2FyRIRd5onkIocbjU,"[u'point_of_interest', u'establishment']"
0,43.555092,5.5740809,Repentance,ChIJ2wymJZKFyRIRttPmAMEJ9z8,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.635993,5.528175,Meyrargues,ChIJHbED9EiIyRIRtQi7JcNlvnA,"[u'locality', u'political']"
0,43.606476,5.7565929,Rians,ChIJK0ERQnx_yRIRQMqP_aUZCAQ,"[u'locality', u'political']"
0,43.5568323,5.5660533,Agencement F Jacquet,ChIJlbCmkIuFyRIRTt22a37T6jk,"[u'point_of_interest', u'establishment']"
0,43.5568323,5.5660533,Burgun Jean-François,ChIJlbCmkIuFyRIRz5Xya8TE7Tg,"[u'point_of_interest', u'establishment']"
0,43.556576,5.568043,Les Plaines,ChIJS3AiaYyFyRIRuHt-9Pe3P3k,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.5317269,5.578322,Le Prieuré,ChIJsZ-cPXKFyRIRCvwvaQ8Mw5c,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.532764,5.647124,Oppidum de Bramefan,ChIJ9XOybH6DyRIRCQKVzYeRH7k,"[u'point_of_interest', u'establishment']"
0,43.5114189,5.546729,Beaurecueil,ChIJaQQRqe2PyRIR0ASX_aUZCAQ,"[u'locality', u'political']"
0,43.547599,5.523524,Saint-Marc-Jaumegarde,ChIJSS2FYfiOyRIRY0G3rc559SM,"[u'locality', u'political']"
0,43.5608643,5.6708765,Astronomes Amateurs Aixois,ChIJSZfuVrSFyRIRNI7UcVPfdx4,"[u'point_of_interest', u'establishment']"
0,43.565729,5.554903,Le Jas de la Keyrié,ChIJGcvtjVuPyRIR5gDi6w9YM2w,"[u'premise', u'point_of_interest', u'establishment']"
0,43.528829,5.569738,Refuge Cézanne,ChIJA98uAmWFyRIRh2DNugtmgms,"[u'point_of_interest', u'establishment']"
0,43.5300956,5.5710799,Sainte victoire,ChIJF8yqR2WFyRIRqThZP-le_xE,"[u'park', u'point_of_interest', u'establishment']"
0,43.549832,5.542049,"""la charlotte"" chambre d' hôtes",ChIJndLY6XKPyRIRjIBZMMKjbNY,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5524356,5.5387961,Wolford,ChIJ79Y4jhKPyRIRzBuAcmeboXw,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.5498836,5.5420796,La Charlotte,ChIJVzGVeRKPyRIRFGU33Jh0mMU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5502533,5.5418741,C.A.P.I.V. Consulting,ChIJiRsIv3KPyRIRqovRP2No51k,"[u'point_of_interest', u'establishment']"
0,43.550518,5.541056,Le jardin aquatique,ChIJqZuat3KPyRIR-54jowWP-O0,"[u'health', u'point_of_interest', u'establishment']"
0,43.5515272,5.5425169,Bonnel François,ChIJY-WTYm2PyRIRMka5UKF7ubY,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.549832,5.5420498,Sci Marie Schmitt,ChIJndLY6XKPyRIRWgKMsCTxp5c,"[u'point_of_interest', u'establishment']"
0,43.5492151,5.5408258,Zoccola Yves Jean Marius,ChIJFzoZ1XKPyRIRJ1QHffJSqdE,"[u'point_of_interest', u'establishment']"
0,43.55239,5.5386891,Scm Viola,ChIJ79Y4jhKPyRIRwpcEq_uRXmg,"[u'point_of_interest', u'establishment']"
