,Latitude,Longitude,Name,Place_id,Type
0,43.598546,5.4847245,Venelles,ChIJ4WY7nDiJyRIRgP6W_aUZCAQ,"[u'locality', u'political']"
0,43.589648,5.489354,La Bastide de Venelles,ChIJEWMyq02JyRIR3MxQSTMCpRg,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5968299,5.4868074,Fascination,ChIJlYJaZ1uJyRIRUuTP1AagtAA,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.5971232,5.4855508,Optic 2000,ChIJawXcfluJyRIRkxItlLewiyc,"[u'health', u'store', u'point_of_interest', u'establishment']"
0,43.5911972,5.4794666,Société Générale,ChIJ6b6tu1eJyRIRjJmpjKVkhwI,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.5962889,5.4867614,Le comptoir aux mille arômes,ChIJa7u1-xMnyhIR5qPiFOQd1BM,"[u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5965741,5.4845597,D.l. Immobilier (Sarl),ChIJs0lskluJyRIRkuTUWL5ztEg,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.598951,5.485248,Au Bon Coin,ChIJH7FPWlyJyRIR795a4jF_QuU,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.596966,5.485514,Nordaix Immobilier,ChIJlYJaZ1uJyRIRx4bcA0ONaBs,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5979167,5.4848062,Post Office,ChIJB66tb1yJyRIRXyDukg3Js-k,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.595383,5.491639,Pays D Aix Venelles Volley Ball,ChIJd218RESJyRIRh7qvuOEq4KA,"[u'point_of_interest', u'establishment']"
0,43.596253,5.4850897,BNP Paribas - Venelles,ChIJGTKRmVuJyRIRyRu3frxvNX0,"[u'bank', u'finance', u'point_of_interest', u'establishment']"
0,43.5983237,5.4843879,Mairie,ChIJk4hFIVyJyRIRKKzfJ5j4DdQ,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5979991,5.4844327,Youth Center And De La Culture,ChIJWf8abFyJyRIRh1NoDq95e0o,"[u'point_of_interest', u'establishment']"
0,43.5929328,5.4962027,Domaine de l'Olibaou,ChIJrelQy0eJyRIRp8N2CFPjsTw,"[u'food', u'point_of_interest', u'establishment']"
0,43.5959449,5.4994802,Association Vénelloise De Tennis,ChIJExVuxUKJyRIRSPF9ULM04L0,"[u'health', u'point_of_interest', u'establishment']"
0,43.598159,5.484631,Salle des Fêtes Venelles,ChIJWf8abFyJyRIRfzfZwFWlbvk,"[u'point_of_interest', u'establishment']"
0,43.5979716,5.4848301,2LBP Immo,ChIJawXcfluJyRIRFz159jjX0Sw,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5989393,5.4852091,Crédit Agricole Alpes Provence,ChIJTaICW1yJyRIRJ1Zmb3k-wxc,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.596857,5.485347,David Céline,ChIJH2tuWlyJyRIRpVStG-zk89U,"[u'health', u'point_of_interest', u'establishment']"
0,43.583805,5.492746,FABRICANT Escalier et Meubles en bois COLOMBARD,ChIJtxi_7k2JyRIRypMRhTEgXCI,"[u'general_contractor', u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.579803,5.497642,"Entreprise C Terrassement, Mr et Mme Gibert Cédric et Julie",ChIJCbb_fTaJyRIRuS6T6xRTJwI,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.583748,5.492788,Sarl SUD RENOVATION,ChIJI9vhl0yJyRIRUKERW6CPuMM,"[u'plumber', u'general_contractor', u'point_of_interest', u'establishment']"
0,43.58668,5.4891842,Colombard Christophe,ChIJtxi_7k2JyRIRsv92GDqwqMM,"[u'point_of_interest', u'establishment']"
0,43.5813353,5.4819628,Gp Jardin,ChIJw7oHbauOyRIRVyrO_RY_1L8,"[u'general_contractor', u'store', u'point_of_interest', u'establishment']"
0,43.5813353,5.4819628,Beauvois Nicolas Richard,ChIJw7oHbauOyRIRzGrZ1wGzUsc,"[u'point_of_interest', u'establishment']"
0,43.586835,5.481755,Côté Garrigue,ChIJbf7v3QaMyRIRRtTGc4fPeNk,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5869243,5.4817663,Vidal,ChIJP7ScFVSJyRIRaB7PY5JA3K8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.592189,5.488686,Top garage,ChIJhd3g-E-JyRIRLdfg9PBlI1M,"[u'car_repair', u'point_of_interest', u'establishment']"
0,43.58668,5.4891842,Sud Textile,ChIJtxi_7k2JyRIRePcvNXHvmPU,"[u'point_of_interest', u'establishment']"
0,43.58668,5.4891842,Del Vecchio Aline,ChIJtxi_7k2JyRIRM-nW7_uqeBo,"[u'point_of_interest', u'establishment']"
0,43.580197,5.48816,13770,ChIJuaHxgK2OyRIRMSVVkbTs3v8,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.580222,5.486396,13770,ChIJxaJrpq2OyRIRnN-ci-t8kOc,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.579815,5.497562,LA FEE DE L EAU,ChIJGQzUb7WOyRIRm8Hd3U-ze2k,"[u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.5868303,5.4991686,Gaymard Frederic Georges Etienne,ChIJ5U37_DWJyRIR6aSO_keNwHY,"[u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.5868303,5.4991686,Collin Salvado Mireille Chantal,ChIJ5U37_DWJyRIRGiAO2qDLzGU,"[u'point_of_interest', u'establishment']"
0,43.5868303,5.4991686,Duhamel Olivier,ChIJ5U37_DWJyRIRB0P55RaewQM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.579153,5.497782,Les Terrassiers de Provence,ChIJ9wUrkbWOyRIR4hFha6tRJDc,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.6010352,5.4850776,Logis Hôtel le Mas et la Flambée du Luberon,ChIJyW_jl12JyRIRDexJ6TljjPA,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6013631,5.4811264,Les volets bleus,ChIJEapJOl6JyRIRkCfNA6bmEiw,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.6010309,5.4849394,La Flambée du Luberon,ChIJyW_jl12JyRIRRTZJK5AoqBc,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5988394,5.4852277,Café des Alpes,ChIJ-VyKXFyJyRIR7Te_A1odKiQ,"[u'cafe', u'bar', u'food', u'point_of_interest', u'establishment']"
0,43.5981433,5.4844821,C.C.A.S. (Centre Communal d'Action Sociale),ChIJk4hFIVyJyRIRS_MExli4uig,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5999313,5.4918491,Les Rugissants,ChIJSSTsRUKJyRIRuvc-HfyK6LI,"[u'point_of_interest', u'establishment']"
0,43.588586,5.5075111,AMBULANCES ATS,ChIJ4UaRCBqMyRIRzY1SodySOvk,"[u'health', u'point_of_interest', u'establishment']"
0,43.5931039,5.496073,Irrigation Service,ChIJ_5sLQUTtyRIRSM3tlCWyl-M,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5931039,5.496073,Transports Funeraire Genty Genty Magali,ChIJR6m4S0iIyRIRCapmtkYJhrs,"[u'funeral_home', u'point_of_interest', u'establishment']"
0,43.5955512,5.4942525,Parc Municipal des Sports,ChIJGfe8oT6JyRIR2MJICyLMMBM,"[u'point_of_interest', u'establishment']"
0,43.587029,5.500418,Fugier Paccini Renee Laure Henriette,ChIJhwQMdjaJyRIRkdmL1NyBpO0,"[u'point_of_interest', u'establishment']"
0,43.595447,5.491727,Centre Aquatique Sainte-Victoire,ChIJd218RESJyRIRlGGFRxJpTls,"[u'point_of_interest', u'establishment']"
0,43.590883,5.491232,Lou Ravi,ChIJw6CDDE-JyRIRIVmnGq8RE8E,"[u'campground', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.5851266,5.5035045,La Pichonière,ChIJu-xYcDSJyRIRVxLmeK9eXl0,"[u'point_of_interest', u'establishment']"
0,43.5873606,5.4758103,LCL - Le Crédit Lyonnais,ChIJbcYqaf6LyRIR4onGtjGHQBM,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.5899483,5.4763302,SURPLUS MILITAIRE LE MARSOUIN,ChIJoeKUof2LyRIRI1NV_pSUtXU,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.598457,5.48003,B and B Chambres d'Hôtes Krystyl / KRYSTYL CREATION,ChIJq27wI1-JyRIR_068UQa_ECc,"[u'painter', u'lodging', u'florist', u'store', u'point_of_interest', u'establishment']"
0,43.5867443,5.4759839,Fongecif Paca,ChIJ2eq-MlaJyRIREJEf5fqWg-Q,"[u'point_of_interest', u'establishment']"
0,43.5903063,5.4785761,Gitem Stanelec,ChIJ2eq-MlaJyRIRWRqYdwpuqI4,"[u'electronics_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.5885986,5.4755983,Urban Kids,ChIJh1u77_2LyRIR7EbcOyiha9s,"[u'amusement_park', u'point_of_interest', u'establishment']"
0,43.5897892,5.4781721,Together Training And Consultancy,ChIJ2eq-MlaJyRIRr_gI5fgEo0o,"[u'point_of_interest', u'establishment']"
0,43.592768,5.477084,L'entrepôt Space Choreographic And Cultural,ChIJzV_oruKLyRIRDuSCyMN4nQY,"[u'point_of_interest', u'establishment']"
0,43.5903063,5.4785761,Carton Attitude,ChIJ2eq-MlaJyRIRihMz2_q0Wdc,"[u'point_of_interest', u'establishment']"
0,43.5928409,5.4789178,Piboules Racing,ChIJHwKvu1eJyRIRpCM99jKKS3Q,"[u'store', u'point_of_interest', u'establishment']"
0,43.5905748,5.4790146,Les Quatre Tours,ChIJ6fk6cleJyRIRtNOvk6oytHs,"[u'natural_feature', u'food', u'point_of_interest', u'establishment']"
0,43.529742,5.447427,Aix-en-Provence,ChIJWRK5BKONyRIRo4i2yL5TuVw,"[u'locality', u'political']"
0,43.5735477,5.4938338,Canezza Philippe,ChIJhxP9TbeOyRIRXE34C9Lw8O4,"[u'point_of_interest', u'establishment']"
0,43.5735477,5.4938338,Moulin Philippe Claude Henrico,ChIJhxP9TbeOyRIR3SFAdV-u12c,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5735527,5.4939577,Arthaud Francis,ChIJhxP9TbeOyRIRruosLMkHRj0,"[u'food', u'point_of_interest', u'establishment']"
0,43.5735527,5.4939577,Coulet Marc Pierre Vincent,ChIJhxP9TbeOyRIRMMTvUWWf9xI,"[u'point_of_interest', u'establishment']"
0,43.5735527,5.4939577,Gustavia Consulting,ChIJhxP9TbeOyRIRVanwmK7kEQc,"[u'point_of_interest', u'establishment']"
0,43.5755204,5.4840466,P'tits D'hommes,ChIJ8TZ_Ia-OyRIRwJPCeHvD6OU,"[u'point_of_interest', u'establishment']"
0,43.568687,5.485801,13100,ChIJ-7H9gKSOyRIR6vRz3xlsinQ,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.5775356,5.5010099,Michel Chaze Magali Christine,ChIJPw-uKcqOyRIRiGP58z7GVbc,"[u'point_of_interest', u'establishment']"
