,Latitude,Longitude,Name,Place_id,Type
0,43.538685,5.292962,Ventabren,ChIJxygC7IXxyRIRcP6W_aUZCAQ,"[u'locality', u'political']"
0,43.5434752,5.2997145,La Villa Rosalie,ChIJZ5CkFIXxyRIRl1b36FLsmqU,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5414827,5.3040412,Samkalpa,ChIJA5OlmojxyRIRDP7yxFYxD5g,"[u'point_of_interest', u'establishment']"
0,43.5416326,5.3037361,Pharmacie De Mortain,ChIJcYliMo_xyRIR54feKY_7mq8,"[u'pharmacy', u'health', u'store', u'point_of_interest', u'establishment']"
0,43.54136,5.30667,Pupa Noctum,ChIJxSHW4IjxyRIRweoAJSFXrhY,"[u'point_of_interest', u'establishment']"
0,43.545429,5.30837,(MTCR) Maçonnerie Terrassement Construction Rénovation,ChIJsakKpofxyRIRpz4XgBagnqM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5453198,5.3089449,Maçonnerie Tradition Construction et Renfort M.T.C.R,ChIJcYliMo_xyRIRuzCoTYEvYG8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.545282,5.301656,Demeestere Philippe,ChIJHU0dEYXxyRIRGpfEj6KFvtE,"[u'insurance_agency', u'point_of_interest', u'establishment']"
0,43.5413454,5.3054666,Cognault-Ortoli Ginette,ChIJvxNH0YjxyRIRkUjUhUd6Gms,"[u'point_of_interest', u'establishment']"
0,43.5437284,5.2997959,Société JULIARD,ChIJ2f___4_xyRIRjxWanjeqfEg,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.5472979,5.3048206,PRO NET SERVICES,ChIJG3a6HoTxyRIR36kc4p-q-aw,"[u'laundry', u'point_of_interest', u'establishment']"
0,43.538537,5.304925,RG SPA,ChIJc8v1AIzxyRIRpWSy0vH6bzM,"[u'store', u'point_of_interest', u'establishment']"
0,43.5389905,5.3016651,Nursery School Edouard Peisson,ChIJm2Lb1TbyyRIRH6qGpNZC_5A,"[u'school', u'point_of_interest', u'establishment']"
0,43.546199,5.313885,Valdesign-decoration.fr,ChIJL18vFynyyRIRo1RAvvIOzGU,"[u'point_of_interest', u'establishment']"
0,43.546961,5.311793,art&volution,ChIJe7RHlCnyyRIRo1sOIK9Z9uM,"[u'point_of_interest', u'establishment']"
0,43.5414101,5.2966102,Sérénité Conseil Sarl,ChIJC4KjApHxyRIRk57ECRFywn4,"[u'point_of_interest', u'establishment']"
0,43.5419413,5.2964084,Dr Claire Para - Dentiste - Ventabren,ChIJE0kd5ZDxyRIRmp6Z134YYsY,"[u'dentist', u'doctor', u'health', u'point_of_interest', u'establishment']"
0,43.5489387,5.3108195,J.C Créations,ChIJI2ApDCryyRIRa77-6J_sH7c,"[u'point_of_interest', u'establishment']"
0,43.542453,5.294988,Coiffure Studio A,ChIJMc7SsSjwyRIRoDtCYDi-r-s,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.543875,5.312631,Le Pechou,ChIJx1AKYyjyyRIRq1S7XMvmkLo,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.5294096,5.3095818,La Viciente,ChIJn6f95PXxyRIRii36_JO1CP0,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.530035,5.310601,Coaching Référentiel,ChIJEZOpGB7yyRIRg8p1F0U6VG0,"[u'point_of_interest', u'establishment']"
0,43.5350613,5.2960393,Tennis Club Ventabrennais,ChIJJ-5535LxyRIRushSwFPhxNQ,"[u'point_of_interest', u'establishment']"
0,43.535572,5.295301,L'éouvé Restaurant,ChIJJ-5535LxyRIR0GVDveD8NNs,"[u'restaurant', u'cafe', u'food', u'point_of_interest', u'establishment']"
0,43.535254,5.297419,Salle Sainte Victoire,ChIJPQzt3pLxyRIRle7Q_za82-Y,"[u'point_of_interest', u'establishment']"
0,43.5346848,5.3064896,Lamiaux Jean-Louis,ChIJN6RVQYvxyRIR_DBjQw2Qglw,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.530035,5.310601,Palma Jean Marc,ChIJEZOpGB7yyRIR6f5Vno0d3NQ,"[u'point_of_interest', u'establishment']"
0,43.530035,5.310601,AJC Consultant Jean Claude,ChIJEZOpGB7yyRIRX7aiE7yTzBA,"[u'point_of_interest', u'establishment']"
0,43.5374467,5.3025545,Guy Jean Josette Georgette Lucienne,ChIJPctdSozxyRIRxLQQe2iEnAI,"[u'point_of_interest', u'establishment']"
0,43.5385418,5.3049287,Charrel Jean,ChIJxZn1AIzxyRIRzIwRfwpCeCM,"[u'point_of_interest', u'establishment']"
0,43.538546,5.304958,generation-flip.fr,ChIJL-RhAIzxyRIRU-mI5WF2Dx0,"[u'point_of_interest', u'establishment']"
0,43.5387594,5.3059369,Donnelly Chaar Fiona,ChIJ889ZWInxyRIRvqXDqYU2VtI,"[u'point_of_interest', u'establishment']"
0,43.5278229,5.308891,mapetitentreprise,ChIJK4clFfbxyRIRgaVeiYWHurc,"[u'health', u'point_of_interest', u'establishment']"
0,43.5494766,5.2994182,Le Moulin de la Recense,ChIJyQ3bipPxyRIRGUWakvgRg_8,"[u'point_of_interest', u'establishment']"
0,43.553681,5.296151,Accro Photo,ChIJSRs7IXbxyRIRKv53srIbZR4,"[u'point_of_interest', u'establishment']"
0,43.5551856,5.2995972,Association Lulubellule,ChIJlRQ3hnfxyRIRiwvQl5nAYmE,"[u'store', u'point_of_interest', u'establishment']"
0,43.5499303,5.3102778,Clerget Jean,ChIJpWVxeCryyRIRbVew8Aa-D0s,"[u'point_of_interest', u'establishment']"
0,43.5477704,5.3064846,Christol Appenzeller Celine Laurence,ChIJyeSqyYbxyRIRZTVd6LYJl7U,"[u'point_of_interest', u'establishment']"
0,43.5476834,5.3106668,Wauters Chantal,ChIJpWVxeCryyRIR2tBS422QZf8,"[u'health', u'point_of_interest', u'establishment']"
0,43.5530801,5.2995148,Mougin Marcel,ChIJ3e99VJ3xyRIRzlszysY0G5M,"[u'point_of_interest', u'establishment']"
0,43.5460054,5.3085179,Guermoud Sarl,ChIJcYliMo_xyRIRm2r2DNnq_hI,"[u'point_of_interest', u'establishment']"
0,43.5453198,5.3089449,Allo Taxi Thierry,ChIJcYliMo_xyRIRxpTfp3YmDhM,"[u'point_of_interest', u'establishment']"
0,43.5455538,5.3016385,Joly Marc Joseph,ChIJ3V_lGoXxyRIRclCV-S3gcgs,"[u'point_of_interest', u'establishment']"
0,43.549008,5.3071849,Le Puits de la Bastidasse,ChIJAeZnJIHxyRIRX_xytrNVQqo,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.544992,5.326229,Mairie,ChIJm2Lb1TbyyRIRpqSDYKz_Tv0,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5422781,5.3103272,Herubel Patrick,ChIJR-T4Op_xyRIRM99qXClh11U,"[u'point_of_interest', u'establishment']"
0,43.539978,5.30977,Faraud Brigitte,ChIJK6qB24nxyRIRSZlAj0TrTRY,"[u'health', u'point_of_interest', u'establishment']"
0,43.5427927,5.3070313,Vizcaino Faustine,ChIJgZSlmojxyRIRrmfA2kMb5_o,"[u'point_of_interest', u'establishment']"
0,43.5427927,5.3070313,Juliard Edmond,ChIJA5OlmojxyRIRi5qfZWxfZPo,"[u'point_of_interest', u'establishment']"
0,43.546574,5.294562,Intermarché Contact,ChIJrVURdoL6yRIR90Pj95U0T_8,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.538926,5.292031,La Table de Ventabren,ChIJx3v2JzHwyRIRGIYbELz2_l4,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.5381585,5.2943301,Post Office,ChIJJUmCjJPxyRIRj8TYIsRUAww,"[u'post_office', u'finance', u'point_of_interest', u'establishment']"
0,43.538834,5.292631,Mairie de Ventabren,ChIJYUuYM3XzyRIRLuH7L8G83dg,"[u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5391598,5.2926588,Office Municipal de la Culture,ChIJkcMNnpbxyRIR68yniyiHD_Y,"[u'point_of_interest', u'establishment']"
0,43.546557,5.293693,CARNOT IMMOBILIER,ChIJTalYdpnxyRIREyhhSlxzFkY,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5431827,5.2945794,Ventabren Piscines Multiservices,ChIJsajbVJfxyRIROiCNsbr8hI8,"[u'store', u'point_of_interest', u'establishment']"
0,43.5384399,5.2939333,Mairie,ChIJq6rJD5TxyRIRM1HHivrZN6s,"[u'point_of_interest', u'establishment']"
0,43.529742,5.447427,Aix-en-Provence,ChIJWRK5BKONyRIRo4i2yL5TuVw,"[u'locality', u'political']"
0,43.5163929,5.3127623,Aqueduc de Roquefavour,ChIJzXWtUADyyRIR3l4zsjaVRgg,"[u'premise', u'point_of_interest', u'establishment']"
0,43.519589,5.313047,Le Camp Marius,ChIJSZ9U0gPyyRIRDj_mxL6wxUw,"[u'point_of_interest', u'establishment']"
0,43.521634,5.307553,Ecole de pilotage EMX Yvan Giorgio,ChIJncmwL7vxyRIR313bo9flKwI,"[u'point_of_interest', u'establishment']"
0,43.525493,5.309055,Houvenaghel Didier,ChIJyQ3bipPxyRIR6dOlkIeY6Ks,"[u'point_of_interest', u'establishment']"
0,43.5024315,5.3625516,Grand Sud,ChIJQxv3eRbtyRIRmCVYKX_yVBw,"[u'neighborhood', u'political']"
0,43.5334843,5.2900556,Oyant Pierre-Jean,ChIJy6GmverxyRIRFN43uPv-Sc4,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5334843,5.2900556,Batimodel,ChIJy6GmverxyRIR1DfIswWp3j8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.537919,5.294704,Arcade,ChIJh6LbipPxyRIRUIJ1YdwWM6s,"[u'point_of_interest', u'establishment']"
0,43.539044,5.292081,Ma Maison Zen,ChIJleKYK5TxyRIRzAH9S_SjLg4,"[u'spa', u'point_of_interest', u'establishment']"
0,43.5384256,5.2939008,Centre Communal d'Action Sociale (C.C.A.S.),ChIJh5RGHpTxyRIRyFAulMmgK9A,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.5362061,5.294112,salle reine jeanne,ChIJHeXShJTxyRIRPXkesAU_CBI,"[u'gym', u'health', u'point_of_interest', u'establishment']"
0,43.523013,5.253467,Velaux,ChIJHzYUOR_wyRIRkP6W_aUZCAQ,"[u'locality', u'political']"
0,43.5686589,5.354234,Éguilles,ChIJ3f6pBw3zyRIR6gAWHy_Esjw,"[u'locality', u'political']"
0,43.549664,5.325795,Centaure Provence - Méditerranée,ChIJlwwVaaXxyRIRCCqUTPzML0Q,"[u'point_of_interest', u'establishment']"
0,43.550332,5.3188449,13122,ChIJkUPLCC3yyRIRKCqvqqRpEnU,"[u'point_of_interest', u'establishment']"
0,43.551312,5.320789,Aires de Repos de Ventabren,ChIJG6v0oDLyyRIRJL3y0Gl0-D8,"[u'point_of_interest', u'establishment']"
0,43.54766,5.32101,Sci Mceg,ChIJ1cyFATLyyRIRKWcwRshxZYU,"[u'point_of_interest', u'establishment']"
0,43.55826,5.2931176,R.b.t.p.,ChIJu0QzdHTxyRIRJSmhMW8PB8A,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.552632,5.294068,E.t.j.m.e.,ChIJHYnMDZ7xyRIRFSW2QufnmfE,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5512424,5.2932632,Sci Nicolas-blondel,ChIJdVYHYJ7xyRIRGQczP890Q4o,"[u'point_of_interest', u'establishment']"
0,43.548372,5.297489,Bt Menuiserie,ChIJyQ3bipPxyRIRGJD1Scw3k90,"[u'point_of_interest', u'establishment']"
0,43.5516128,5.2919036,Guillard Franck,ChIJMWAyU57xyRIRygzjfTmNaCA,"[u'point_of_interest', u'establishment']"
0,43.5496474,5.2911482,ALK Consultant,ChIJR-T4Op_xyRIRoIrhiRTbXxQ,"[u'point_of_interest', u'establishment']"
0,43.558086,5.251238,Coudoux,ChIJQ7WWPovwyRIR11_4Wew9ol8,"[u'locality', u'political']"
0,43.544992,5.326229,Town Hall Primary School E.peisson,ChIJm2Lb1TbyyRIR355PDqiZ4jk,"[u'school', u'point_of_interest', u'establishment']"
0,43.545083,5.326259,L'Atelier gourmand de Fanny,ChIJTQko1DbyyRIRZ9hJmfXet4c,"[u'bakery', u'restaurant', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.5445,5.32906,Girard Philippe Michel,ChIJZ4JOrDfyyRIRmKUNbighW-0,"[u'point_of_interest', u'establishment']"
0,43.546369,5.330513,Sud-Est Piscines,ChIJyQ3bipPxyRIRgrYos0uHI_s,"[u'store', u'point_of_interest', u'establishment']"
0,43.5485491,5.2818289,chez aline et françois,ChIJUfplMKTxyRIR_NOZJIyX4mk,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5406033,5.2825772,Optimoine Conseil Et Realisation,ChIJv2kVSrzxyRIReZwkxg687tE,"[u'point_of_interest', u'establishment']"
0,43.5465532,5.2859678,Apsara L Eveil Des Sens,ChIJUSvrzvvyyRIRnfp8fqV7APo,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.5395783,5.2818165,Forum Media Conseil,ChIJd03cw7vxyRIRHoWf0G3SpFk,"[u'point_of_interest', u'establishment']"
0,43.5440972,5.2820633,Decovert Design,ChIJA9K0L7vxyRIRJcO1ySDyrXc,"[u'point_of_interest', u'establishment']"
0,43.516308,5.316264,Logis Hôtel Arquier,ChIJB-EHjAfyyRIR037tqXpUL_4,"[u'restaurant', u'lodging', u'food', u'point_of_interest', u'establishment']"
0,43.5165647,5.313274,LE CABANON DE LA PINEDE,ChIJhQhvYC3wyRIRMmpn16U3jGw,"[u'point_of_interest', u'establishment']"
