,Latitude,Longitude,Name,Place_id,Type
0,43.685526,5.170198,Vernègues,ChIJT3z3E28CyhIR0I1hB37sq50,"[u'locality', u'political']"
0,43.67948,5.1906,Commanderie Des Taillades,ChIJMTKbI4QCyhIRivfQZ0m8vJg,"[u'night_club', u'bar', u'point_of_interest', u'establishment']"
0,43.683523,5.195909,Château Bas,ChIJaz0f2YUCyhIRsxvIREk6InA,"[u'food', u'point_of_interest', u'establishment']"
0,43.68189,5.19189,Via Panini,ChIJya06kYUCyhIR71wkxEHfoac,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.68189,5.19189,Raynaud Victoire,ChIJtTRmloUCyhIRu0PZpsTOalE,"[u'point_of_interest', u'establishment']"
0,43.68189,5.19189,D Abel de Libran Raynaud Dominique,ChIJtTRmloUCyhIR4CDGOl_fqhc,"[u'point_of_interest', u'establishment']"
0,43.6841643,5.1950049,Bernabeu Eric,ChIJtTRmloUCyhIRTz7F6H8OY4k,"[u'painter', u'point_of_interest', u'establishment']"
0,43.68209,5.196574,Temple de Diane,ChIJj-tfopoCyhIR-GUyfvjU264,"[u'point_of_interest', u'establishment']"
0,43.681931,5.19719,Chapelle Saint-Césaire,ChIJl0ybmpoCyhIRb5L5A04ASjw,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.686898,5.1776288,Dbi,ChIJRddHSGQCyhIR9y8w8Fvh0n4,"[u'point_of_interest', u'establishment']"
0,43.687608,5.190138,Produits Reconditionnés,ChIJEVVVVYkCyhIRSRwI4uwOQa8,"[u'store', u'point_of_interest', u'establishment']"
0,43.653995,5.261712,Lambesc,ChIJDRzny8v3yRIRyMIsggV0Ksg,"[u'locality', u'political']"
0,43.703713,5.161234,Alleins,ChIJrfAxsTACyhIRjWNQgBC6SQ4,"[u'locality', u'political']"
0,43.694592,5.197926,Chapelle Saint-Symphorien,ChIJBbAoq-0CyhIRmkH_5RppTtY,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.69183,5.19763,Tinoco Miguel Ragel,ChIJk-eK05ICyhIRV7ZdcqjhbPQ,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.69183,5.19763,Tinoco Jose,ChIJk-eK05ICyhIRHj4QjTETFEw,"[u'point_of_interest', u'establishment']"
0,43.69183,5.19763,Gomez Serge,ChIJk-eK05ICyhIRnLNf3cj7Gio,"[u'point_of_interest', u'establishment']"
0,43.6917079,5.2014685,Trempadou,ChIJnbF3vZMCyhIRDUxupIZXwS8,"[u'point_of_interest', u'establishment']"
0,43.6881952,5.2063412,LUCKY PÉDADOG,ChIJz1kYUJICyhIRT_BJsp_-wUw,"[u'point_of_interest', u'establishment']"
0,43.688726,5.199668,FerAluConcept,ChIJmYdBkZMCyhIR8AweWtf1o8U,"[u'point_of_interest', u'establishment']"
0,43.688904,5.199396,Araquelle,ChIJBZiil5MCyhIRkj9iUNo7PF8,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.68588,5.20448,La Mas De Gancel,ChIJ1ejSapYCyhIRrHLd-wn-rqo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.686899,5.206521,Ted,ChIJBxoYCL4CyhIR0LOhR-HSWek,"[u'point_of_interest', u'establishment']"
0,43.691581,5.201087,Araquelle,ChIJrT15rpQCyhIR-DzZfZ3-MyE,"[u'point_of_interest', u'establishment']"
0,43.6881952,5.2063412,Cazan,ChIJR42Yj70CyhIRVKq_PQlw5-w,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.6830923,5.1745077,Stade Vernègues,ChIJOZfUqXoCyhIRiMRMPs_yCfc,"[u'point_of_interest', u'establishment']"
0,43.6841043,5.1737668,DJA Logigroupe,ChIJ3bcA8G8CyhIRhqqnYZmqMuM,"[u'point_of_interest', u'establishment']"
0,43.685897,5.171817,Beneyto Decroix Josette,ChIJ0a5qVG4CyhIRNBGsWtpLadY,"[u'point_of_interest', u'establishment']"
0,43.685897,5.171817,Moreaux Catherine,ChIJY17fVG4CyhIRfouIG_ZKZac,"[u'point_of_interest', u'establishment']"
0,43.685526,5.170198,earl georges de blanquet,ChIJbzz2ZW4CyhIRF3IZu88blbU,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.687603,5.168605,PONEY EXPRESS ATTELAGE,ChIJyddgF2wCyhIRlm29vvwzTlg,"[u'transit_station', u'point_of_interest', u'establishment']"
0,43.682441,5.1758369,13116,ChIJ-ZqIwHoCyhIRmG6t_YejTF4,"[u'point_of_interest', u'establishment']"
0,43.6841666,5.1738565,Levacher Stephane Xavier,ChIJ3bcA8G8CyhIRcNxfJy5EJ8g,"[u'point_of_interest', u'establishment']"
0,43.6841043,5.1737668,Dravet Emmanuel Yves,ChIJ3bcA8G8CyhIRtMG5Ojwplcg,"[u'food', u'point_of_interest', u'establishment']"
0,43.6863532,5.1733373,Decorde Symphorien Henri Mar,ChIJoTbicm8CyhIR3WGSNCcOGPo,"[u'food', u'point_of_interest', u'establishment']"
0,43.6828392,5.1723807,Levy Montagnon Teresa Edith,ChIJrexjMHACyhIRSjDS58L0P5o,"[u'point_of_interest', u'establishment']"
