,Latitude,Longitude,Name,Place_id,Type
0,43.877232,4.902065,Noves,ChIJq6xTMzzwtRIRcAGX_aUZCAQ,"[u'locality', u'political']"
0,43.8411032,4.9222059,Alpilles Luberon Piscines,ChIJc64F3HzwtRIRO_17PNxruFM,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.83769,4.918884,LE K-BARET,ChIJRcW1BJ76tRIREElOI51eF7I,"[u'point_of_interest', u'establishment']"
0,43.8403847,4.9206198,Au Panier Provencal,ChIJiyt6inbwtRIR4TMZjwesh2U,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8431028,4.9242911,Taxi Sisco,ChIJt5SeBHrwtRIR8Ds-lcj-gfk,"[u'point_of_interest', u'establishment']"
0,43.84317,4.92537,Jmo Prim,ChIJt5SeBHrwtRIR160ys1h59d4,"[u'grocery_or_supermarket', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.843175,4.925372,Sarl CNA Distribution,ChIJt5SeBHrwtRIRiTnW6hVR62I,"[u'store', u'point_of_interest', u'establishment']"
0,43.843175,4.925372,Security Handling Sarl,ChIJt5SeBHrwtRIRpgJIq-OCaU8,"[u'point_of_interest', u'establishment']"
0,43.843175,4.925372,Challenger Chantier,ChIJt5SeBHrwtRIRs3mAtI4Sk9E,"[u'point_of_interest', u'establishment']"
0,43.835822,4.9276548,Germinal,ChIJsZs1KXjwtRIRTx_CP8izH3M,"[u'bakery', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.8357624,4.9275614,Clg,ChIJ72YhV4L6tRIR5DX9P38VnLw,"[u'school', u'point_of_interest', u'establishment']"
0,43.843661,4.926463,Temaco Contenants,ChIJt5SeBHrwtRIRqB2Ch5zxSWE,"[u'store', u'point_of_interest', u'establishment']"
0,43.835822,4.9276548,Toulon Michel,ChIJ72YhV4L6tRIRBhsPP9rIphE,"[u'dentist', u'health', u'point_of_interest', u'establishment']"
0,43.8388382,4.9192356,Lanzalavi Eric,ChIJWQlx43XwtRIRmMvnldT46p4,"[u'point_of_interest', u'establishment']"
0,43.839387,4.919303,13670,ChIJcav33nXwtRIRu6nEk08T6qk,"[u'point_of_interest', u'establishment']"
0,43.8390784,4.917717,Marcel Anne Laure,ChIJfWwfl3XwtRIRg4lEdxEwNrc,"[u'point_of_interest', u'establishment']"
0,43.8390784,4.917717,Rémi MOREL,ChIJfWwfl3XwtRIR13jBZuv694A,"[u'health', u'point_of_interest', u'establishment']"
0,43.839677,4.918954,13670,ChIJKTwf23XwtRIRz9OOH6yRXjM,"[u'church', u'place_of_worship', u'point_of_interest', u'establishment']"
0,43.8397066,4.9189464,Layre Katia,ChIJb5672nXwtRIRN5Ugz8LLKJU,"[u'hair_care', u'point_of_interest', u'establishment']"
0,43.835465,4.944566,Saint-Andiol,ChIJ9-2LsHb6tRIRAACX_aUZCAQ,"[u'locality', u'political']"
0,43.828268,4.924707,Garage Halleur,ChIJTQAAAJD6tRIRQx-QcYnrH6U,"[u'car_dealer', u'car_repair', u'store', u'point_of_interest', u'establishment']"
0,43.82839,4.92625,Traiteur Girard,ChIJrVJig_jutRIRq1X7QhkilSY,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8283439,4.9253854,A.d.m.r,ChIJz40MWIX6tRIR7T8s7nJ8K8s,"[u'point_of_interest', u'establishment']"
0,43.826809,4.921311,Pro Expa T.t.,ChIJgTW475D6tRIRTCKl9u-yGMA,"[u'point_of_interest', u'establishment']"
0,43.8282598,4.9254295,ADMR 13,ChIJz40MWIX6tRIRGCJN9lztqr0,"[u'point_of_interest', u'establishment']"
0,43.830804,4.908195,Chambres d'hôtes Lou Galinié,ChIJU1jly6j6tRIRwvPkrA3dkkM,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.829739,4.919617,Roubaud Frederic,ChIJnUc5IJr6tRIRMT7kyTwC3q4,"[u'point_of_interest', u'establishment']"
0,43.829739,4.919617,Albugues Serge,ChIJpUw5IJr6tRIRKGG8mS40a2E,"[u'point_of_interest', u'establishment']"
0,43.829739,4.919617,Ricard Michel,ChIJnUc5IJr6tRIRERNVxpAHbDw,"[u'point_of_interest', u'establishment']"
0,43.8267309,4.9213718,Massemin Jean Pierre,ChIJgTW475D6tRIRa0o1knQWAtY,"[u'food', u'point_of_interest', u'establishment']"
0,43.8282894,4.9136886,La Bergerie de Castellan (chez Valérie & Fred),ChIJMxErUL36tRIRWlne5RAc-Fo,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.8283439,4.9253854,Allaert Thierry,ChIJz40MWIX6tRIRZuYlWB1bb9k,"[u'restaurant', u'food', u'point_of_interest', u'establishment']"
0,43.8283439,4.9253854,Mathieu Pleindoux Suzanne Paulette,ChIJz40MWIX6tRIRs7qi0VU5bII,"[u'point_of_interest', u'establishment']"
0,43.8283439,4.9253854,Earl Mas Saint Joseph,ChIJz40MWIX6tRIRjUxdlgd2HG8,"[u'point_of_interest', u'establishment']"
0,43.8283439,4.9253854,Nebbiai Jouve Yolande Vilna,ChIJz40MWIX6tRIRGrIuJ0Hlwzo,"[u'point_of_interest', u'establishment']"
0,43.851202,4.918645,Camping le Pilon d'Agel,ChIJAQAAADDwtRIR3PwNqs3HHVU,"[u'campground', u'rv_park', u'park', u'lodging', u'point_of_interest', u'establishment']"
0,43.8548426,4.9198366,Scania Méditérranée,ChIJEQbxYDfwtRIRIH_dLRr00Qc,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
