,Latitude,Longitude,Name,Place_id,Type
0,43.458598,5.249703,Vitrolles,ChIJJdMaTCbvyRIRQP6W_aUZCAQ,"[u'locality', u'political']"
0,43.45161,5.259404,Fleurogolf,ChIJ4QLsGCXvyRIRp__Jr3uPY0Q,"[u'point_of_interest', u'establishment']"
0,43.4496688,5.2579969,Romana Giachino,ChIJI9pqmTuNyRIRo_wFjcaug0U,"[u'point_of_interest', u'establishment']"
0,43.449668,5.258232,Lafarge Bétons centrale BPE VITROLLES,ChIJ-QCLVSXvyRIRomr1c7tqcY8,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.449699,5.258082,Boutique Orange,ChIJDY5z2URm5kcR8CGsMRWvV9U,"[u'store', u'point_of_interest', u'establishment']"
0,43.450481,5.272836,TIMING EVENT,ChIJbcfVk9nuyRIRUOgBN0lcbpQ,"[u'point_of_interest', u'establishment']"
0,43.4459926,5.2552468,ORPEA - Bastide des Oliviers,ChIJV5gVnzHvyRIRX37oB60NNjQ,"[u'health', u'point_of_interest', u'establishment']"
0,43.4470826,5.2536861,ACP,ChIJJ6PMJTHvyRIRSR5IHtpeqR4,"[u'point_of_interest', u'establishment']"
0,43.4483938,5.2530727,Centre Social le Bartas,ChIJnzyfzjDvyRIRJXWdxgbUFk8,"[u'point_of_interest', u'establishment']"
0,43.4445345,5.255148,Eurl Cezanne Etancheite,ChIJ6_YI0zPvyRIRYn4L2kXQbrU,"[u'roofing_contractor', u'point_of_interest', u'establishment']"
0,43.445791,5.253576,Mission Locale Pays d'Aix,ChIJSaEDRTHvyRIR0XlDGeOQsP0,"[u'point_of_interest', u'establishment']"
0,43.445791,5.253576,Aupa,ChIJSaEDRTHvyRIR3dn71Qw1TvQ,"[u'point_of_interest', u'establishment']"
0,43.445791,5.253576,Albisser,ChIJSaEDRTHvyRIRy9WXpyGx3_E,"[u'point_of_interest', u'establishment']"
0,43.445791,5.253576,Societe Nationale de Gestion,ChIJSaEDRTHvyRIRp5VERd7Sp3E,"[u'point_of_interest', u'establishment']"
0,43.445791,5.253576,CNFPT,ChIJSaEDRTHvyRIRfvMD8CmIN0o,"[u'point_of_interest', u'establishment']"
0,43.4457371,5.2534768,Mathieu De Bénédictis et Coéffard,ChIJSaEDRTHvyRIRwvuRfiK3Tfk,"[u'lawyer', u'finance', u'point_of_interest', u'establishment']"
0,43.442539,5.25723,Logis Mediterranee,ChIJ_WaQYjLvyRIRinhPegV9XUg,"[u'point_of_interest', u'establishment']"
0,43.4474678,5.2520298,Affilia-Web,ChIJva7QHDfvyRIRhvLRcKNKr5o,"[u'clothing_store', u'store', u'point_of_interest', u'establishment']"
0,43.446175,5.252407,NERSES IMMOBILIER,ChIJ7yKXK7TAyRIRcjce99CQsOY,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.4427823,5.2561359,Giuliano Nicolas,ChIJS2xjVzLvyRIR2dsRO0mO7rY,"[u'point_of_interest', u'establishment']"
0,43.433589,5.26282,Autour de Bébé,ChIJBa-gOtHoyRIROeuyIpZCcYw,"[u'clothing_store', u'furniture_store', u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
0,43.4358142,5.2583515,Randstad Vitrolles,ChIJcZ29vc3oyRIRAc2FCQO2Ce0,"[u'point_of_interest', u'establishment']"
0,43.4384427,5.2555802,Randstad Vitrolles,ChIJ9URjGc3oyRIR7_PD6mhule4,"[u'point_of_interest', u'establishment']"
0,43.434964,5.2597909,Chaussland,ChIJYSJeiNHoyRIRiiGu_U-OvgQ,"[u'shoe_store', u'store', u'point_of_interest', u'establishment']"
0,43.4354754,5.2588819,Crédit Mutuel,ChIJSTCfbdHoyRIRUjYlBXMMdho,"[u'bank', u'atm', u'finance', u'point_of_interest', u'establishment']"
0,43.4353079,5.259771,ELECTRO DEPOT MARSEILLE,ChIJEy90KdLoyRIROJNcKhewoT0,"[u'home_goods_store', u'store', u'point_of_interest', u'establishment']"
