,Latitude,Longitude,Name,Place_id,Type
0,43.5686589,5.354234,Éguilles,ChIJ3f6pBw3zyRIR6gAWHy_Esjw,"[u'locality', u'political']"
0,43.5694842,5.3362805,Use Once et Smile,ChIJxxhIdb7zyRIRgRl19dd0Fpk,"[u'point_of_interest', u'establishment']"
0,43.5763236,5.3285002,Barle Alexia,ChIJ1VYKfuzzyRIRDKhYHw_F4mQ,"[u'point_of_interest', u'establishment']"
0,43.5753503,5.3333059,Fabex,ChIJa3n9TevzyRIROtejh5KSEoY,"[u'point_of_interest', u'establishment']"
0,43.5672776,5.3244485,Speeg Marc,ChIJz4UKk8PzyRIRbU4Ap3iR08U,"[u'point_of_interest', u'establishment']"
0,43.5745023,5.3378929,écoANNUAIRES,ChIJY5EwwZbzyRIRV5eXe1Ki6lQ,"[u'point_of_interest', u'establishment']"
0,43.568437,5.320387,Speeg & Michel Et Associes - Conception Lumière,ChIJz4UKk8PzyRIRgGHzMSnVc5k,"[u'point_of_interest', u'establishment']"
0,43.5726888,5.3388587,Gawthorpe Nicola,ChIJ399EU5bzyRIRSL70RHaRFvs,"[u'point_of_interest', u'establishment']"
0,43.5734331,5.3387521,Philippe Olivier,ChIJ0_g7_JbzyRIR8Mk2r6s1ku0,"[u'point_of_interest', u'establishment']"
0,43.574345,5.3394621,MP Comm Monique PAWLAK,ChIJuUivI5fzyRIRruIET1PUBS8,"[u'point_of_interest', u'establishment']"
0,43.5718158,5.3299065,Tpbr Service,ChIJz9xwverzyRIRTpIw_pGsifc,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5692294,5.3298914,Domaine St Martin,ChIJQVryZ8DzyRIRz5MZkrixzyA,"[u'food', u'point_of_interest', u'establishment']"
0,43.5714004,5.332962,Ulys,ChIJFaGqZZXzyRIR4XpRWv3EE9A,"[u'point_of_interest', u'establishment']"
0,43.567484,5.326329,Le Bris Christophe Pierre,ChIJJyA3XMHzyRIR0V4N9SeXkpw,"[u'point_of_interest', u'establishment']"
0,43.575355,5.330811,Gassier Thierry,ChIJa3n9TevzyRIR_qw2ldI819c,"[u'plumber', u'point_of_interest', u'establishment']"
0,43.567064,5.33228,ARGOS Education Pension Canine,ChIJAYbpG7zzyRIRFfGt-ZxihRA,"[u'point_of_interest', u'establishment']"
0,43.5688547,5.3347204,Recommend Nicolas,ChIJBYeNW77zyRIRey5vNAdxpB4,"[u'point_of_interest', u'establishment']"
0,43.5754574,5.3323704,Rabe Bruno Veronique Pascale Jeany,ChIJgTxKopTzyRIRnrhcQMQNQBQ,"[u'beauty_salon', u'point_of_interest', u'establishment']"
0,43.5762394,5.3284801,Centre Equestre le Haras Des Oliviers,ChIJt1YKfuzzyRIRcZkqAbJdFr8,"[u'point_of_interest', u'establishment']"
0,43.569227,5.335486,La Bastidasse,ChIJWf3Cbr7zyRIR85sh4kuV4Lg,"[u'sublocality_level_1', u'sublocality', u'political']"
0,43.5696647,5.3358137,Dieudonne Adrian Nathalie,ChIJuwNHDb7zyRIRk5KqZ_9OWWg,"[u'point_of_interest', u'establishment']"
0,43.5688288,5.3359322,Malvern Instruments,ChIJ7flHer7zyRIRM4vWL_FDWtA,"[u'point_of_interest', u'establishment']"
0,43.5695569,5.3363136,Carpentier Charlet Brou Marie Pascale,ChIJGwJIdb7zyRIRSPGKN_1_J70,"[u'point_of_interest', u'establishment']"
0,43.5694834,5.336284,Brunel Arenes Dorothee Aude,ChIJhdItdb7zyRIRMxqO_BOUIjU,"[u'store', u'point_of_interest', u'establishment']"
0,43.5694607,5.3374138,Violle Valerie,ChIJbzrUw73zyRIRvMl6x4yBn0Y,"[u'health', u'point_of_interest', u'establishment']"
0,43.5766291,5.3226399,Entreprise Giraud,ChIJ4W_aMe_zyRIRpfAgt_mSNxA,"[u'store', u'point_of_interest', u'establishment']"
0,43.5766538,5.3226395,Garcia Florent,ChIJrcjTMe_zyRIRahtleJY1w6Q,"[u'store', u'point_of_interest', u'establishment']"
0,43.5667906,5.3371672,Marti Mireille,ChIJR9zCELzzyRIRek0MSXAymH0,"[u'point_of_interest', u'establishment']"
0,43.5746524,5.3380764,Herblot Maelle Barbara,ChIJo3P8w5bzyRIRx3Yz-EJ0RtY,"[u'store', u'point_of_interest', u'establishment']"
0,43.5727637,5.3390844,Rudisuhli Lorenz,ChIJx79RU5bzyRIRi16CRMRlLv8,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.5767008,5.3366329,Falque Julien,ChIJn00-XpHzyRIRPb7KNKJfzls,"[u'point_of_interest', u'establishment']"
0,43.5724112,5.3397255,Bourgain Jean Louis,ChIJuQ88pZfzyRIRJwTcZUuC_2g,"[u'point_of_interest', u'establishment']"
0,43.5650281,5.3371079,Jauffret Jean Paul,ChIJmYGD6LvzyRIRJxoZQ7D9qLw,"[u'food', u'point_of_interest', u'establishment']"
0,43.538685,5.292962,Ventabren,ChIJxygC7IXxyRIRcP6W_aUZCAQ,"[u'locality', u'political']"
0,43.555051,5.333319,Carrière des Ponteils,ChIJPdwssbXzyRIR7S1rqMhkiCs,"[u'point_of_interest', u'establishment']"
0,43.5864046,5.3292757,Domaine de Camaïssette,ChIJdc7YsAf0yRIRnFvQNEqLtUk,"[u'liquor_store', u'food', u'store', u'point_of_interest', u'establishment']"
0,43.580375,5.330129,Domaine Fredavelle,ChIJB7qrXfzzyRIRfOcWNvDWTo8,"[u'food', u'point_of_interest', u'establishment']"
0,43.5826242,5.3204388,Parisot Claude,ChIJMz0cnPrzyRIR2PPr65Lqxl0,"[u'point_of_interest', u'establishment']"
0,43.5865708,5.3332256,Ma Vie en Livre,ChIJNzNVDYvzyRIRlm_VrSMA1gg,"[u'point_of_interest', u'establishment']"
0,43.5856439,5.3310435,Albarda Hendrik,ChIJqc6nrPTzyRIR_-cBnSqLrMc,"[u'food', u'point_of_interest', u'establishment']"
0,43.5857144,5.3311207,SCF Turfait,ChIJqc6nrPTzyRIRyo-M4itfOK4,"[u'point_of_interest', u'establishment']"
0,43.5888074,5.3321268,Cryderman Curd Ester,ChIJCRV124rzyRIRDwXYy0kMFFM,"[u'travel_agency', u'point_of_interest', u'establishment']"
0,43.5726115,5.3445117,Amicale Bouliste D Eguilles,ChIJBUOsC5_zyRIR8csWZpHFpEA,"[u'point_of_interest', u'establishment']"
0,43.574475,5.344787,Stade Gilles JOYE,ChIJw2BPcJnzyRIRLzzgcSTD9TM,"[u'city_hall', u'local_government_office', u'point_of_interest', u'establishment']"
0,43.568032,5.346114,DEMARAIX,ChIJE5zsMqLzyRIRnbZir_wa848,"[u'store', u'point_of_interest', u'establishment']"
0,43.573348,5.3463855,ARTEACOM,ChIJ3SfGpCXtyRIRP2m4_ffOknU,"[u'point_of_interest', u'establishment']"
0,43.573193,5.346715,ARTEACOM Rédacteur web et print,ChIJRTYPLZnzyRIR_isOW6SnJCU,"[u'point_of_interest', u'establishment']"
0,43.5733959,5.3488662,un lit en provence,ChIJ01dr957zyRIR0bgSjlTDzro,"[u'lodging', u'point_of_interest', u'establishment']"
0,43.5728048,5.3411844,Rousse Martial,ChIJzS_ggpfzyRIRKyd-btv8lyA,"[u'point_of_interest', u'establishment']"
0,43.5736841,5.3413512,Bbvm,ChIJo9B2Y5fzyRIRWbzRC7q9rQI,"[u'car_dealer', u'store', u'point_of_interest', u'establishment']"
0,43.5702112,5.3427533,Olivaux-lenoir Michalon Charlotte,ChIJOUl5oaLzyRIRj3Q1xUcx7GA,"[u'point_of_interest', u'establishment']"
0,43.5702112,5.3427533,Maudet Corso Murielle,ChIJOUl5oaLzyRIRBlfFSJ6MrRs,"[u'point_of_interest', u'establishment']"
0,43.5701753,5.3428671,Corso Jean Marc,ChIJOUl5oaLzyRIR7VOU8DW5c_o,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5701753,5.3428671,Corso Stephane,ChIJOUl5oaLzyRIR_Y8VaE8C8Jk,"[u'general_contractor', u'point_of_interest', u'establishment']"
0,43.5745922,5.3405841,Campagnoli Jean,ChIJq_6lRpfzyRIRjjr9SuG0fbo,"[u'point_of_interest', u'establishment']"
0,43.5740926,5.3420986,Patané Marie Madeleine,ChIJs8JW6JnzyRIRacRDUqhCsHQ,"[u'real_estate_agency', u'point_of_interest', u'establishment']"
0,43.575221,5.3399801,Gmy-conseil,ChIJgYmIM5fzyRIRhpkI73XEq2Q,"[u'point_of_interest', u'establishment']"
0,43.575221,5.3399801,Brunet Franck,ChIJgYmIM5fzyRIRWEp73wvK0QU,"[u'point_of_interest', u'establishment']"
0,43.574368,5.3422902,Campagnoli Beatrice,ChIJ1YGo6JnzyRIRIHk4mUEqro4,"[u'point_of_interest', u'establishment']"
0,43.5741554,5.3433548,TCM Éguilles,ChIJ67lDlpnzyRIRXorqs4rCh1I,"[u'point_of_interest', u'establishment']"
0,43.5727654,5.3463268,Markarian Markar,ChIJ12O5KZnzyRIRI7uenas5Pn4,"[u'point_of_interest', u'establishment']"
